BOX,SeaCube Container Leasing Ltd.  
CHS,Chico's FAS Inc. Common 
CRM,Salesforce.com Inc Common 
CTRP,Ctrip.com International Ltd. 
GEF,Greif Inc. Class A Common 
GLNG,Golar LNG Limited 
MAGS,Magal Security Systems Ltd. 
NAV,Navistar International Corporat 
OXM,Oxford Industries Inc. Common  
SBLK,Star Bulk Carriers Corp. 
SCVL,Shoe Carnival Inc. 
SFL,Ship Finance International Limi 
SMTC,Semtech Corporation 
BLOX, Infoblox Inc. Common 
FIVE, Five Below  Inc. 
GEC, General Electric Capital Corpor 
GMLP, Golar LNG Partners LP 
LFVN, Lifevantage Corporation 
QUNR,Qunar Cayman Islands Limited 
IKGH,Iao Kun Group Holding Company Limited 
KANG,iKang Healthcare Group Inc. 
ASND,Ascendis Pharma
OLLI,Ollies Bargain Outlet Holdings  Inc.
