AVGO,Avago Technologies Limited 
BEBE,bebe stores inc. 
CGI,Celadon Group Inc. Common Stoc 
CIEN,Ciena Corporation 
GCO,Genesco Inc. Common 
ITRI,Itron Inc. 
LULU,lululemon athletica inc. 
MEI,Methode Electronics Inc. Commo 
NAV,Navistar International Corporat 
PAY,Verifone Systems Inc. Common S 
SBLK,Star Bulk Carriers Corp. 
SEAC,SeaChange International Inc. 
SWHC,Smith & Wesson Holding Corporat 
VRA,Vera Bradley Inc. 
AMBA, Ambarella  Inc. 
JOY, Joy Global Inc. Common 
LFVN, Lifevantage Corporation 
IKGH,Iao Kun Group Holding Company Limited 
LE,Lands' End Inc. 
IMPR,Imprivata Inc. Common
XCRA,Xcerra Corporation
