ABM,ABM Industries Incorporated Com 
BV,Bazaarvoice Inc. 
FARM,Farmer Brothers Company 
FCEL,FuelCell Energy Inc. 
GWRE,Guidewire Software Inc. Common 
MIND,Mitcham Industries Inc. 
OPTT,Ocean Power Technologies Inc. 
PCYG,Park City Group Inc. Common St 
PSDV,pSivida Corp. 
SHLO,Shiloh Industries Inc. 
STRM,Streamline Health Solutions In 
TIVO,TiVo Inc. 
VAL,Valspar Corporation (The) Commo 
VRNT,Verint Systems Inc. 
FRAN, Francesca's Holdings Corporatio 
GEC, General Electric Capital Corpor 
HURC, Hurco Companies  Inc. 
LFVN, Lifevantage Corporation 
MGCD,MGC Diagnostics Corporation 
HDS,HD Supply Holdings Inc. 
MBUU,Malibu Boats  Inc. 
IMPR,Imprivata Inc. Common
DTEA,DAVIDsTEA Inc.
HPE,Hewlett Packard Enterprise Company
