BANF,BancFirst Corporation 
BCBP,BCB Bancorp Inc. (NJ) 
BKMU,Bank Mutual Corporation 
BSRR,Sierra Bancorp 
CPHD,CEPHEID 
CZNC,Citizens & Northern Corp 
DAL,Delta Air Lines Inc. (New) Comm 
ENZ,Enzo Biochem Inc. Common 
FBMS,The First Bancshares Inc. 
FRC,FIRST REPUBLIC BANK Common Stoc 
GBNK,Guaranty Bancorp 
GFED,Guaranty Federal Bancshares In 
KTCC,Key Tronic Corporation 
LION,Fidelity Southern Corporation 
LNN,Lindsay Corporation Common Stoc 
OPOF,Old Point Financial Corporation 
PACW,PacWest Bancorp 
PGR,Progressive Corporation (The) C 
REED,Reeds Inc. 
SKY,Skyline Corporation Common Stoc 
TAYD,Taylor Devices Inc. 
WGO,Winnebago Industries Inc. Comm 
GEC, General Electric Capital Corpor 
KMG, KMG Chemicals  Inc. Common Stoc 
UBFO, United Security Bancshares 
VAC, Marriot Vacations Worldwide Cor 
MYCC,ClubCorp Holdings Inc. 
ONCS,OncoSec Medical Incorporated
AJRD,Aerojet Rocketdyne Holdings  Inc.
DZSI,DASAN Zhone Solutions  Inc. 
