ANCX,Access National Corporation 
ATLO,Ames National Corporation 
BANF,BancFirst Corporation 
BCBP,BCB Bancorp Inc. (NJ) 
BKMU,Bank Mutual Corporation 
C,Citigroup Inc. Common 
CAW,CCA Industries Inc. Common Sto 
CBSH,Commerce Bancshares Inc. 
CPHD,CEPHEID 
CZNC,Citizens & Northern Corp 
FHN,First Horizon National Corporat 
GBNK,Guaranty Bancorp 
GFED,Guaranty Federal Bancshares In 
JPM,JP Morgan Chase & Co. Common St 
LION,Fidelity Southern Corporation 
OPOF,Old Point Financial Corporation 
PACW,PacWest Bancorp 
PNC,PNC Financial Services Group I 
TAYD,Taylor Devices Inc. 
WFC,Wells Fargo & Company Common St 
WYNN,Wynn Resorts Limited 
DFRG, Del Frisco's Restaurant Group   
UBFO, United Security Bancshares 
AJRD,Aerojet Rocketdyne Holdings  Inc.
DZSI,DASAN Zhone Solutions  Inc. 
