ABT,Abbott Laboratories Common Stoc 
APH,Amphenol Corporation Common Sto 
AROW,Arrow Financial Corporation 
AXP,American Express Company Common 
BABY,Natus Medical Incorporated 
BANF,BancFirst Corporation 
BBT,BB&T Corporation Common 
BDN,Brandywine Realty Trust Common  
BJRI,BJ's Restaurants Inc. 
BKOR,Oak Ridge Financial Services I 
BLX,Banco Latinoamericano de Comerc 
BRKL,Brookline Bancorp Inc. 
BXS,BancorpSouth Inc. Common 
CATY,Cathay General Bancorp 
CCBG,Capital City Bank Group 
CCK,Crown Holdings Inc. 
CLB,Core Laboratories N.V. Common S 
CMRE,Costamare Inc. Common 
CNS,Cohn & Steers Inc Common 
CTBI,Community Trust Bancorp Inc. 
CTXS,Citrix Systems Inc. 
CVLY,Codorus Valley Bancorp Inc 
CVTI,Covenant Transportation Group  
CYS,CYS Investments Inc. Common St 
DOV,Dover Corporation Common 
DTLK,Datalink Corporation 
EBAY,eBay Inc. 
EGBN,Eagle Bancorp Inc. 
EGP,EastGroup Properties Inc. Comm 
ESBK,Elmira Savings Bank NY (The) 
EWBC,East West Bancorp Inc. 
EXPO,Exponent Inc. 
FLXS,Flexsteel Industries Inc. 
FNB,F.N.B. Corporation Common 
FNLC,First Bancorp Inc (ME) 
FTI,FMC Technologies Inc. Common S 
FTK,Flotek Industries Inc. Common  
GGG,Graco Inc. Common 
GPC,Genuine Parts Company Common St 
KALU,Kaiser Aluminum Corporation 
LHO,LaSalle Hotel Properties Common 
LRCX,Lam Research Corporation 
LSTR,Landstar System Inc. 
MAT,Mattel Inc. 
MKTX,MarketAxess Holdings Inc. 
MLI,Mueller Industries Inc. Common 
MRTN,Marten Transport Ltd. 
MS,Morgan Stanley Common 
MSA,Mine Safety Appliances Company  
NTRS,Northern Trust Corporation 
NVEC,NVE Corporation 
NVR,NVR Inc. Common 
OFLX,Omega Flex Inc. 
ORRF,Orrstown Financial Services Inc 
OSBC,Old Second Bancorp Inc. 
OVLY,Oak Valley Bancorp (CA) 
PFBC,Preferred Bank 
PKG,Packaging Corporation of Americ 
PPBI,Pacific Premier Bancorp Inc 
QCRH,QCR Holdings Inc. 
RAI,Reynolds American Inc Common St 
RBPAA,Royal Bancshares of Pennsylvani 
RCKY,Rocky Brands Inc. 
RHI,Robert Half International Inc.  
RLI,RLI Corp. Common 
SCSS,Select Comfort Corporation 
SFNC,Simmons First National Corporat 
SLG,SL Green Realty Corporation Com 
SLM,SLM Corporation 
STJ,St. Jude Medical Inc. Common S 
STLD,Steel Dynamics Inc. 
STX,Seagate Technology. 
SVU,SuperValu Inc. Common 
TBI,TrueBlue Inc. Common 
TEX,Terex Corporation Common 
TSCO,Tractor Supply Company 
TUP,Tupperware Brands Corporation C 
UFI,Unifi Inc. New Common 
UNF,Unifirst Corporation Common Sto 
URI,United Rentals Inc. Common Sto 
USB,U.S. Bancorp Common 
VMI,Valmont Industries Inc. Common 
WDFC,WD-40 Company 
XLNX,Xilinx Inc. 
ANGI, Angie's List  Inc. 
BOTJ, Bank of the James Financial Gro 
CVCY, Central Valley Community Bancor 
FBNK, First Connecticut Bancorp  Inc. 
FBRC, FBR & Co 
FMNB, Farmers National Banc Corp. 
HAL, Halliburton Company Common Stoc 
HCCI, Heritage-Crystal Clean  Inc. 
HNI, HNI Corp Common 
HXL, Hexcel Corporation Common 
KMI, Kinder Morgan  Inc. Common Stoc 
PEBK, Peoples Bancorp of North Caroli 
PLBC, Plumas Bancorp 
SIFY, Sify Technologies Limited 
WAFD, Washington Federal  Inc. 
TSC,Tristate Capital Holdings Inc. 
HMNF,HMN Financial Inc. 
FCCO,First Community Corporation 
CART,Carolina Trust Bank 
PARN,Parnell Pharmaceuticals Holding
CARO,Carolina Financial Corporation
ICBK,County Bancorp Inc.
LSBG,Lake Sunapee Bank Group
