ACAT,Arctic Cat Inc. 
ACOR,Acorda Therapeutics Inc. 
AMD,Advanced Micro Devices Inc. Co 
AMNB,American National Bankshares I 
AMRB,American River Bankshares 
APOL,Apollo Group Inc. 
AROW,Arrow Financial Corporation 
ASPS,Altisource Portfolio Solutions  
ATHN,athenahealth Inc. 
AWRE,Aware Inc. 
BHE,Benchmark Electronics Inc. Com 
BK,Bank of New York Mellon Corpora 
BKOR,Oak Ridge Financial Services I 
BPFH,Boston Private Financial Holdin 
BRO,Brown & Brown Inc. Common Stoc 
BYD,Boyd Gaming Corporation Common  
CASS,Cass Information Systems Inc 
CBAN,Colony Bankcorp Inc. 
CCI,Crown Castle International Corp 
CCNE,CNB Financial Corporation 
CHCO,City Holding Company 
CLW,Clearwater Paper Corporation Co 
COBZ,CoBiz Financial Inc. 
CWBC,Community West Bancshares 
DAN,Dana Holding Corporation Common 
DGX,Quest Diagnostics Incorporated  
DHR,Danaher Corporation Common Stoc 
DNBF,DNB Financial Corp 
DST,DST Systems Inc. Common 
DV,DeVry Inc. Common 
ETFC,E*TRADE Financial Corporation 
FCCY,1st Constitution Bancorp (NJ) 
FFIN,First Financial Bankshares Inc 
FRBK,Republic First Bancorp Inc. 
FTK,Flotek Industries Inc. Common  
FWRD,Forward Air Corporation 
GBCI,Glacier Bancorp Inc. 
GPI,Group 1 Automotive Inc. Common 
ITW,Illinois Tool Works Inc. Common 
IVC,Invacare Corporation Common Sto 
JAKK,JAKKS Pacific Inc. 
KCG,Knight Capital Group Inc. Clas 
KLAC,KLA-Tencor Corporation 
KNL,Knoll Inc. Common 
LAD,Lithia Motors Inc. Common Stoc 
LAWS,Lawson Products Inc. 
LVS,Las Vegas Sands Corp. Common St 
MBFI,MB Financial Inc. 
MCBC,Macatawa Bank Corporation 
MLI,Mueller Industries Inc. Common 
MNI,McClatchy Company (The) Common  
MNRO,Monro Muffler Brake Inc. 
MRTN,Marten Transport Ltd. 
MSFG,MainSource Financial Group Inc 
MSFT,Microsoft Corporation 
MXIM,Maxim Integrated Products Inc. 
N,Netsuite Inc Common 
NUE,Nucor Corporation Common 
NURO,NeuroMetrix Inc. 
NVR,NVR Inc. Common 
NWE,NorthWestern Corporation Common 
ORRF,Orrstown Financial Services Inc 
OVLY,Oak Valley Bancorp (CA) 
PBCT,People's United Financial Inc. 
PHM,PulteGroup Inc. Common 
PKBK,Parke Bancorp Inc. 
PLD,ProLogis Inc. Common 
POOL,Pool Corporation 
PPG,PPG Industries Inc. Common Sto 
PVTB,PrivateBancorp Inc. 
QCRH,QCR Holdings Inc. 
RBPAA,Royal Bancshares of Pennsylvani 
SAM,Boston Beer Company Inc. (The) 
SASR,Sandy Spring Bancorp Inc. 
SBNY,Signature Bank 
SEIC,SEI Investments Company 
SFST,Southern First Bancshares Inc. 
SGC,Superior Uniform Group Inc. 
SHBI,Shore Bancshares Inc 
SIVB,SVB Financial Group 
SKX,Skechers U.S.A. Inc. Common St 
SLB,Schlumberger N.V. Common 
SNA,Snap-On Incorporated Common Sto 
SON,Sonoco Products Company Common  
SONA,Southern National Bancorp of Vi 
SSBI,Summit State Bank 
STBA,S&T Bancorp Inc. 
STC,Stewart Information Services Co 
STS,Supreme Industries Inc. Common 
SWN,Southwestern Energy Company Com 
SXT,Sensient Technologies Corporati 
SYNT,Syntel Inc. 
TCBI,Texas Capital Bancshares Inc. 
TOWN,Towne Bank 
TRV,The Travelers Companies Inc. C 
TXT,Textron Inc. Common 
UBSH,Union First Market Bankshares C 
UNP,Union Pacific Corporation Commo 
UTEK,Ultratech Inc. 
UTL,UNITIL Corporation Common 
UTMD,Utah Medical Products Inc. 
VZ,Verizon Communications Inc. Com 
WABC,Westamerica Bancorporation 
WERN,Werner Enterprises Inc. 
WIRE,Encore Wire Corporation 
WNS,WNS (Holdings) Limited Sponsore 
BANC, First PacTrust Bancorp  Inc. 
BKU, BankUnited  Inc. Common 
BLMT, BSB Bancorp  Inc. 
CBF, Capital Bank Financial Corp. 
CBNK, Chicopee Bancorp  Inc. 
DNKN, Dunkin' Brands Group  Inc. 
FBRC, FBR & Co 
FITB, Fifth Third Bancorp 
FMNB, Farmers National Banc Corp. 
HBNC, Horizon Bancorp (IN) 
HIMX, Himax Technologies  Inc. 
HOMB, Home BancShares  Inc. 
HURN, Huron Consulting Group Inc. 
ICLR, ICON plc 
IIIN, Insteel Industries  Inc. 
IMAX, Imax Corporation Common 
LODE, Comstock Mining  Inc. Common St 
MDGN, Medgenics  Inc. Common 
MORN, Morningstar  Inc. 
NBHC, National Bank Holdings Corporat 
PEBK, Peoples Bancorp of North Caroli 
PFPT, Proofpoint  Inc. 
ROYT, Pacific Coast Oil Trust Units o 
SXC, SunCoke Energy  Inc. Common Sto 
TCFC,The Community Financial Corp. 
SXCP,Suncoke Energy Partners L.P. 
SPCB,SuperCom Ltd. 
SBFG,SB Financial Group Inc. 
KODK,Eastman Kodak Co. 
INBK,First Internet Bancorp 
EVHC,Envision Healthcare Holdings Inc. 
CART,Carolina Trust Bank 
AAL,American Airlines Group Inc. 
