AIMC,Altra Holdings Inc. 
AWRE,Aware Inc. 
BAS,Basic Energy Services Inc. Com 
BNCN,BNC Bancorp 
BOCH,Bank of Commerce Holdings (CA) 
BYD,Boyd Gaming Corporation Common  
CCBG,Capital City Bank Group 
CHCO,City Holding Company 
CWBC,Community West Bancshares 
EEFT,Euronet Worldwide Inc. 
EVBS,Eastern Virginia Bankshares In 
FCCY,1st Constitution Bancorp (NJ) 
FFNM,First Federal of Northern Michi 
FRBK,Republic First Bancorp Inc. 
FTK,Flotek Industries Inc. Common  
GE,General Electric Company Common 
IPG,Interpublic Group of Companies 
LECO,Lincoln Electric Holdings Inc. 
MAN,ManpowerGroup Common 
MCD,McDonald's Corporation Common S 
MCO,Moody's Corporation Common Stoc 
MLI,Mueller Industries Inc. Common 
MSFG,MainSource Financial Group Inc 
MWW,Monster Worldwide Inc. Common  
N,Netsuite Inc Common 
OFG,Oriental Financial Group Inc.  
ORRF,Orrstown Financial Services Inc 
OVLY,Oak Valley Bancorp (CA) 
PCH,Potlatch Corporation 
PH,Parker-Hannifin Corporation Com 
PKBK,Parke Bancorp Inc. 
PMBC,Pacific Mercantile Bancorp 
QCRH,QCR Holdings Inc. 
RCL,Royal Caribbean Cruises Ltd. Co 
RRGB,Red Robin Gourmet Burgers Inc. 
SFST,Southern First Bancshares Inc. 
SSBI,Summit State Bank 
STI,SunTrust Banks Inc. Common Sto 
SVBI,Severn Bancorp Inc 
TCB,TCF Financial Corporation Commo 
TEX,Terex Corporation Common 
TOWN,Towne Bank 
TRST,TrustCo Bank Corp NY 
UBOH,United Bancshares Inc. 
UTMD,Utah Medical Products Inc. 
WBS,Webster Financial Corporation C 
WLB,Westmoreland Coal Company 
WSBF,Waterstone Financial Inc. 
BOTJ, Bank of the James Financial Gro 
CBNK, Chicopee Bancorp  Inc. 
CIZN, Citizens Holding Company 
FBRC, FBR & Co 
HBNC, Horizon Bancorp (IN) 
HON, Honeywell International Inc. Co 
ROYT, Pacific Coast Oil Trust Units o 
UNTY, Unity Bancorp  Inc. 
KODK,Eastman Kodak Co. 
HMNF,HMN Financial Inc. 
CZFC,Citizens First Corporation 
CNOB,ConnectOne Bancorp Inc. 
PFIS,Peoples Financial Services Corp. 
CFG,Citizens Financial Group Inc.
MBCN,Middlefield Banc Corp.
PARN,Parnell Pharmaceuticals Holding
SSB,South State Corporation
SYF,Synchrony Financial Common Stoc
CHEK,Check-Cap Ltd.
CIVB,Civista Bancshares  Inc.
TLGT,Teligent  Inc.
