ACC,American Campus Communities Inc 
ADC,Agree Realty Corporation Common 
AGII,Argo Group International Holdin 
AGNC,American Capital Agency Corp. 
AMTD,TD Ameritrade Holding Corporati 
AUBN,Auburn National Bancorporation 
AVB,AvalonBay Communities Inc. Com 
BEAV,BE Aerospace Inc. 
BHLB,Berkshire Hills Bancorp Inc. 
BOH,Bank of Hawaii Corporation Comm 
CBU,Community Bank System Inc. Com 
CDNS,Cadence Design Systems Inc. 
CLGX,CoreLogic Inc. Common 
CMP,Compass Minerals Intl Inc Commo 
CR,Crane Company Common 
CYOU,Changyou.com Limited 
DRQ,Dril-Quip Inc. Common 
EFII,Electronics for Imaging Inc. 
EFSC,Enterprise Financial Services C 
EFUT,eFuture Information Technology  
ELGX,Endologix Inc. 
ELY,Callaway Golf Company Common St 
EVBS,Eastern Virginia Bankshares In 
EXP,Eagle Materials Inc Common Stoc 
FFNM,First Federal of Northern Michi 
FIBK,First Interstate BancSystem In 
GABC,German American Bancorp Inc. 
GHL,Greenhill Common 
ISIL,Intersil Corporation 
KMB,Kimberly-Clark Corporation Comm 
NBTB,NBT Bancorp Inc. 
NWBI,Northwest Bancshares Inc. 
ORIT,Oritani Financial Corp. 
OVBC,Ohio Valley Banc Corp. 
PCAR,PACCAR Inc. 
PETS,PetMed Express Inc. 
PMBC,Pacific Mercantile Bancorp 
PTSI,P.A.M. Transportation Services 
RE,Everest Re Group Ltd. Common S 
RMBS,Rambus Inc. 
SCCO,Southern Copper Corporation Com 
SMMF,Summit Financial Group Inc. 
SOHU,Sohu.com Inc. 
SONC,Sonic Corp. 
SPN,Superior Energy Services Inc.  
STND,Standard Financial Corp. 
SVBI,Severn Bancorp Inc 
SWFT,Swift Transportation Company Cl 
SYBT,S.Y. Bancorp Inc. 
V,Visa Inc. 
VASC,Vascular Solutions Inc. 
VFC,V.F. Corporation Common 
VNR,Vanguard Natural Resources LLC  
WAL,Western Alliance Bancorporation 
WNC,Wabash National Corporation Com 
WSBF,Waterstone Financial Inc. 
ZION,Zions Bancorporation 
ACCO, Acco Brands Corporation Common  
ALSN, Allison Transmission Holdings   
HCLP, Hi-Crush Partners LP Common Uni 
HIHO, Highway Holdings Limited 
HMST, HomeStreet  Inc. 
HSII, Heidrick & Struggles Internatio 
SMBC, Southern Missouri Bancorp  Inc. 
TMUS,T-Mobile US Inc. 
KODK,Eastman Kodak Co. 
IBTX,Independent Bank Group Inc. 
BCC,Boise Cascade Company 
BRX,Brixmor Property Group Inc. Com 
KN,Knowles Corporation 
OPB,Opus Bank 
ERI,Eldorado Resorts Inc.
BABA,Alibaba Group Holding Limited A
OPGN,OpGen  Inc.
SCNB,Suffolk Bancorp
