ABAX,ABAXIS Inc. 
ABG,Asbury Automotive Group Inc Com 
AI,Arlington Asset Investment Corp 
AIZ,Assurant Inc. Common 
AKAM,Akamai Technologies Inc. 
AKR,Acadia Realty Trust Common Stoc 
AKS,AK Steel Holding Corporation Co 
AMP,Ameriprise Financial Inc. Comm 
ASTE,Astec Industries Inc. 
ATI,Allegheny Technologies Incorpor 
AXE,Anixter International Inc. Comm 
BAS,Basic Energy Services Inc. Com 
BAX,Baxter International Inc. Commo 
BCR,C.R. Bard Inc. Common 
BDGE,Bridge Bancorp Inc. 
BHI,Baker Hughes Incorporated Commo 
BPOP,Popular Inc. 
BXP,Boston Properties Inc. Common  
CAC,Camden National Corporation 
CAT,Caterpillar Inc. Common 
CB,Chubb Corporation (The) Common  
CCBG,Capital City Bank Group 
CINF,Cincinnati Financial Corporatio 
CLI,Mack-Cali Realty Corporation Co 
CMG,Chipotle Mexican Grill Inc. Co 
COF,Capital One Financial Corporati 
CPLA,Capella Education Company 
CSL,Carlisle Companies Incorporated 
CSS,CSS Industries Inc. Common Sto 
CSV,Carriage Services Inc. Common  
CVA,Covanta Holding Corporation Com 
CVLT,CommVault Systems Inc. 
CYBE,CyberOptics Corporation 
CYNO,Cynosure Inc. 
DD,E.I. du Pont de Nemours and Com 
DGI,DigitalGlobe Inc Common 
DRQ,Dril-Quip Inc. Common 
DXYN,The Dixie Group Inc. 
EAT,Brinker International Inc. Com 
EBMT,Eagle Bancorp Montana Inc. 
EBSB,Meridian Interstate Bancorp In 
EBTC,Enterprise Bancorp Inc 
EDU,New Oriental Education & Techno 
EQR,Equity Residential Common Share 
ESRX,Express Scripts Holding Company 
ETH,Ethan Allen Interiors Inc. Comm 
ETR,Entergy Corporation Common Stoc 
EW,Edwards Lifesciences Corporatio 
FBC,Flagstar Bancorp Inc. New Comm 
FBNC,First Bancorp 
FBP,First BanCorp. New Common 
FCX,Freeport-McMoRan Copper & Gold 
FELE,Franklin Electric Co. Inc. 
FFIC,Flushing Financial Corporation 
FRME,First Merchants Corporation 
GBX,Greenbrier Companies Inc. (The 
GLW,Corning Incorporated Common Sto 
GM,General Motors Company Common S 
GPK,Graphic Packaging Holding Compa 
IPI,Intrepid Potash Inc Common Sto 
IRBT,iRobot Corporation 
JBLU,JetBlue Airways Corporation 
JMP,JMP Group Inc Common 
JNPR,Juniper Networks Inc. Common S 
KEY,KeyCorp Common 
KKR,KKR & Co. L.P. Common Units Rep 
LBAI,Lakeland Bancorp Inc. 
LKFN,Lakeland Financial Corporation 
LMT,Lockheed Martin Corporation Com 
LXK,Lexmark International Inc. Com 
MDR,McDermott International Inc. C 
MFSF,MutualFirst Financial Inc. 
MINI,Mobile Mini Inc. 
MMC,Marsh & McLennan Companies Inc 
MMM,3M Company Common 
MRCY,Mercury Computer Systems 
MRK,Merck & Company Inc. Common St 
NBR,Nabors Industries Ltd. 
NCI,Navigant Consulting Inc. Commo 
NCR,NCR Corporation Common 
NRIM,Northrim BanCorp Inc 
NUVA,NuVasive Inc. 
OI,Owens-Illinois Inc. Common Sto 
ORIT,Oritani Financial Corp. 
OVBC,Ohio Valley Banc Corp. 
PEGA,Pegasystems Inc. 
PG,Procter & Gamble Company (The)  
PII,Polaris Industries Inc. Common  
PNR,Pentair Inc. Common 
PRK,Park National Corporation Commo 
PROV,Provident Financial Holdings I 
PSB,PS Business Parks Inc. Common  
PTSI,P.A.M. Transportation Services 
R,Ryder System Inc. Common 
RCKY,Rocky Brands Inc. 
RMD,ResMed Inc. Common 
ROIC,Retail Opportunity Investments  
RPT,Ramco-Gershenson Properties Tru 
RRC,Range Resources Corporation Com 
RSYS,RadiSys Corporation 
RTIX,RTI Biologics Inc. 
S,Sprint  Nextel Corporation Comm 
SCCO,Southern Copper Corporation Com 
SCKT,Socket Mobile Inc. 
SGB,Southwest Georgia Financial Cor 
SHW,Sherwin-Williams Company (The)  
SKT,Tanger Factory Outlet Centers  
SMTX,SMTC Corporation 
ST,Sensata Technologies Holding N. 
STL,Sterling Bancorp Common 
STLY,Stanley Furniture Company Inc. 
STND,Standard Financial Corp. 
SYBT,S.Y. Bancorp Inc. 
T,AT&T Inc. 
TMK,Torchmark Corporation Common St 
TNC,Tennant Company Common 
TR,Tootsie Roll Industries Inc. C 
TRIB,Trinity Biotech plc 
TRMK,Trustmark Corporation 
TRNS,Transcat Inc. 
TRU,Torch Energy Royalty Trust Comm 
TSS,Total System Services Inc. Com 
TWIN,Twin Disc Incorporated 
UA,Under Armour Inc. Class A Comm 
UBCP,United Bancorp Inc. 
UDR,UDR Inc. Common 
UIS,Unisys Corporation New Common S 
USNA,USANA Health Sciences Inc. Com 
UTHR,United Therapeutics Corporation 
UTX,United Technologies Corporation 
VICR,Vicor Corporation 
VRTX,Vertex Pharmaceuticals Incorpor 
WAB,Westinghouse Air Brake Technolo 
WAT,Waters Corporation Common 
WDR,Waddell & Reed Financial Inc.  
WHR,Whirlpool Corporation Common St 
WMAR,West Marine Inc. 
XCO,EXCO Resources Inc. Exco Resou 
ZIXI,Zix Corporation 
CHFC, Chemical Financial Corporation 
CUNB, CU Bancorp (CA) 
FBRC, FBR & Co 
HBCP, Home Bancorp  Inc. 
HCLP, Hi-Crush Partners LP Common Uni 
HIHO, Highway Holdings Limited 
HIW, Highwoods Properties  Inc. Comm 
HLIT, Harmonic Inc. 
HT, Hersha Hospitality Trust Class  
HTA, Healthcare Trust of America  In 
HTBK, Heritage Commerce Corp 
HTLD, Heartland Express  Inc. 
IIVI, II-VI Incorporated 
LLY, Eli Lilly and Company Common St 
P, Pandora Media  Inc. Common Stoc 
PNBK, Patriot National Bancorp Inc. 
SAVE, Spirit Airlines  Inc. 
SCHN, Schnitzer Steel Industries  Inc 
SIR, Select Income REIT Common Share 
UNTY, Unity Bancorp  Inc. 
ZLTQ, ZELTIQ Aesthetics  Inc. 
QTS,QTS Realty Trust Inc. 
GTWN,Georgetown Bancorp Inc. 
FUEL,Rocket Fuel Inc. 
BXMT,Blackstone Mortgage Trust Inc. 
ASC,Ardmore Shipping Corporation 
LPT,Liberty Property Trust 
MDWD,MediWound Ltd. 
TRCB,Two River Bancorp 
ISTR,Investar Holding Corporation
VBTX,Veritex Holdings Inc.
NHTC,NATURAL HEALTH TREND
NCOM,NATIONAL COMMERCE CORP
HLG,Hailiang Education Group Inc.
ABTX,Allegiance Bancshares  Inc.
AGR,Avangrid  Inc.
HUBB,Hubbell Inc.
SCNB,Suffolk Bancorp
