ABMD,ABIOMED Inc. 
ACOR,Acorda Therapeutics Inc. 
ACTG,Acacia Research Corporation 
AET,Aetna Inc. Common 
AGEN,Agenus Inc. 
AIV,Apartment Investment and Manage 
AJG,Arthur J. Gallagher & Co. Commo 
ALEX,Alexander & Baldwin Inc. Commo 
ALJ,Alon USA Energy Inc. common st 
ALV,Autoliv Inc. Common 
AMCC,Applied Micro Circuits Corporat 
AMGN,Amgen Inc. 
AMT,American Tower Corporation (REI 
APD,Air Products and Chemicals Inc 
ARAY,Accuray Incorporated 
ARII,American Railcar Industries In 
ASGN,On Assignment Inc. 
ASPS,Altisource Portfolio Solutions  
ATRC,AtriCure Inc. 
AVT,Avnet Inc. Common 
BC,Brunswick Corporation Common St 
BDGE,Bridge Bancorp Inc. 
BELFA,Bel Fuse Inc. 
BFS,Saul Centers Inc. Common 
BGCP,BGC Partners Inc. 
BGS,B&G Foods Inc. B&G Foods Inc. 
BHB,Bar Harbor Bankshares Inc. Com 
BIDU,Baidu Inc. 
BMRN,BioMarin Pharmaceutical Inc. 
BMS,Bemis Company Inc. Common Stoc 
BMY,Bristol-Myers Squibb Company Co 
BOFI,BofI Holding Inc. 
BWA,BorgWarner Inc. Common 
BX,The Blackstone Group L.P. Commo 
BYFC,Broadway Financial Corporation 
CA,CA Inc. 
CAMT,Camtek Ltd. 
CBG,CBRE Group Inc Common 
CBI,Chicago Bridge & Iron Company N 
CBL,CBL & Associates Properties In 
CCMP,Cabot Microelectronics Corporat 
CELG,Celgene Corporation 
CENX,Century Aluminum Company 
CFX,Colfax Corporation Common 
CHDN,Churchill Downs Incorporated 
CHH,Choice Hotels International In 
CKH,SEACOR Holdings Inc. Common Sto 
CL,Colgate-Palmolive Company Commo 
CLD,Cloud Peak Energy Inc Common St 
CLF,Cliffs Natural Resources Inc Co 
CLS,Celestica Inc. Common 
CME,CME Group Inc. 
CMS,CMS Energy Corporation Common S 
CNMD,CONMED Corporation 
COHU,Cohu Inc. 
COLB,Columbia Banking System Inc. 
COLM,Columbia Sportswear Company 
COR,CoreSite Realty Corporation Com 
COWN,Cowen Group Inc. 
CPF,Central Pacific Financial Corp  
CPT,Camden Property Trust Common St 
