AAON,AAON Inc. 
ABC,AmerisourceBergen Corporation ( 
ACAS,American Capital Ltd. 
ACLS,Axcelis Technologies Inc. 
ACUR,Acura Pharmaceuticals Inc. 
ADP,Automatic Data Processing Inc. 
AEL,American Equity Investment Life 
ALG,Alamo Group Inc. Common 
ALIM,Alimera Sciences Inc. 
ALKS,Alkermes plc 
ALNY,Alnylam Pharmaceuticals Inc. 
ALR,Alere Inc. Common 
ALSK,Alaska Communications Systems G 
AMRN,Amarin Corporation plc 
APT,Alpha Pro Tech Ltd. Common Sto 
AREX,Approach Resources Inc. 
ARTNA,Artesian Resources Corporation 
ASH,Ashland Inc. (NEW) Common 
AVD,American Vanguard Corporation C 
AWK,American Water Works Company I 
BAH,Booz Allen Hamilton Holding Cor 
BBGI,Beasley Broadcast Group Inc. 
BBRG,Bravo Brio Restaurant Group In 
BCOV,Brightcove Inc. 
BDC,Belden Inc Common 
BEAT,CardioNet Inc. 
BG,Bunge Limited Bunge Limited 
BGC,General Cable Corporation Commo 
BKCC,BlackRock Kelso Capital Corpora 
BKH,Black Hills Corporation Common  
BRKR,Bruker Corporation 
CAR,Avis Budget Group Inc. 
CBB,Cincinnati Bell Inc. Common Sto 
CBMX,CombiMatrix Corporation 
CBPO,China Biologic Products Inc. 
CCRN,Cross Country Healthcare Inc. 
CDI,CDI Corporation Common 
CEVA,CEVA Inc. 
CF,CF Industries Holdings Inc. Co 
CGI,Celadon Group Inc. Common Stoc 
CLCT,Collectors Universe Inc. 
CLH,Clean Harbors Inc. Common Stoc 
CLR,Continental Resources Inc. Com 
CLX,Clorox Company (The) Common Sto 
CODI,Compass Diversified Holdings Sh 
COHR,Coherent Inc. 
CPE,Callon Petroleum Company Common 
CRL,Charles River Laboratories Inte 
CSGS,CSG Systems International Inc. 
CTL,CenturyLink Inc. Common 
CWEI,Clayton Williams Energy Inc. 
CXW,Corrections Corporation of Amer 
CYTR,CytRx Corporation 
DAC,Danaos Corporation Common 
DAVE,Famous Dave's of America Inc. 
DMRC,Digimarc Corporation 
DVA,DaVita Inc. Common 
DWCH,Datawatch Corporation 
EE,El Paso Electric Company Common 
EL,Estee Lauder Companies Inc. (T 
ENSG,The Ensign Group Inc. 
EPAY,Bottomline Technologies Inc. 
EQIX,Equinix Inc. 
ERII,Energy Recovery Inc. 
ES,EnergySolutions Inc Common Stoc 
ESSX,Essex Rental Corporation 
ETP,Energy Transfer Partners L.P.  
EXAR,Exar Corporation 
FBSS,Fauquier Bankshares Inc. 
FLOW,Flow International Corporation 
FLWS,1-800 FLOWERS.COM Inc. 
FMC,FMC Corporation Common 
FNF,Fidelity National Financial In 
FOE,Ferro Corporation Common 
FRT,Federal Realty Investment Trust 
FSLR,First Solar Inc. 
FUN,Cedar Fair L.P. Common 
GAIN,Gladstone Investment Corporatio 
GLDD,Great Lakes Dredge & Dock Corpo 
GNCMA,General Communication Inc. 
GNK,Genco Shipping & Trading Limite 
GORO,Gold Resource Corporation Commo 
GPOR,Gulfport Energy Corporation 
IO,Ion Geophysical Corporation Com 
ITIC,Investors Title Company 
IXYS,IXYS Corporation 
JCS,Communications Systems Inc. 
JLL,Jones Lang LaSalle Incorporated 
KCAP,KCAP Financial Inc. 
KEYW,The KEYW Holding Corporation 
KTOS,Kratos Defense & Security Solut 
KVHI,KVH Industries Inc. 
LHCG,LHC Group 
LNC,Lincoln National Corporation Co 
LOPE,Grand Canyon Education Inc. 
LPLA,LPL Financial Holdings Inc. 
LSI,LSI Corporation Common 
LTBR,Lightbridge Corporation 
LTC,LTC Properties Inc. Common Sto 
MANT,ManTech International Corporati 
MASI,Masimo Corporation 
MCF,Contango Oil & Gas Company Comm 
MCHX,Marchex Inc. 
MET,MetLife Inc. Common 
MGPI,MGP Ingredients Inc. 
MHGC,Morgans Hotel Group Co. 
MHLD,Maiden Holdings Ltd. 
MKL,Markel Corporation Common 
MLP,Maui Land & Pineapple Company  
MLR,Miller Industries Inc. Common  
MMP,Magellan Midstream Partners L.P 
MNTA,Momenta Pharmaceuticals Inc. 
MNTX,Manitex International Inc. 
MRO,Marathon Oil Corporation Common 
MUSA,Metals USA Holdings Corp. Commo 
MVIS,Microvision Inc. 
MWA,MUELLER WATER PRODUCTS Common S 
NATH,Nathan's Famous Inc. 
NBIX,Neurocrine Biosciences Inc. 
NEWS,NewStar Financial Inc. 
NEWT,Newtek Business Services Inc. 
NLY,Annaly Capital Management Inc C 
NNBR,NN Inc. 
NPO,Enpro Industries Inc 
NS,Nustar Energy L.P.  Common Unit 
NSM,Nationstar Mortgage Holdings In 
NSYS,Nortech Systems Incorporated 
NVMI,Nova Measuring Instruments Ltd. 
NWN,Northwest Natural Gas Company C 
NYT,New York Times Company (The) Co 
OB,OneBeacon Insurance Group Ltd. 
ODP,Office Depot Inc. Common 
OME,Omega Protein Corporation Commo 
ORBK,Orbotech Ltd. 
OSUR,OraSure Technologies Inc. 
OTTR,Otter Tail Corporation 
OZM,Och-Ziff Capital Management Gro 
PAA,Plains All American Pipeline L 
PACB,Pacific Biosciences of Californ 
PEGA,Pegasystems Inc. 
PEI,Pennsylvania Real Estate Invest 
PEIX,Pacific Ethanol Inc. 
PESI,Perma-Fix Environmental Service 
PICO,PICO Holdings Inc. 
PKOH,Park-Ohio Holdings Corp. 
PRA,ProAssurance Corporation Common 
PRU,Prudential Financial Inc. Comm 
QCOM,QUALCOMM Incorporated 
QGEN,Qiagen N.V. 
QUIK,QuickLogic Corporation 
RIG,Transocean Ltd (Switzerland) Co 
RRGB,Red Robin Gourmet Burgers Inc. 
RSO,Resource Capital Corp. Resource 
RWC,RELM Wireless Corporation Commo 
RYN,Rayonier Inc. REIT Common 
SBGI,Sinclair Broadcast Group Inc. 
SBRA,Sabra Healthcare REIT Inc. 
SCMP,Sucampo Pharmaceuticals Inc. 
SE,Spectra Energy Corp Common Stoc 
SENEA,Seneca Foods Corp. 
SF,Stifel Financial Corporation Co 
SGI,Silicon Graphics International  
SNHY,Sun Hydraulics Corporation 
SRE,Sempra Energy Common 
STE,STERIS Corporation Common 
STNG,Scorpio Tankers Inc. Common Sha 
STWD,STARWOOD PROPERTY TRUST INC. S 
STXS,Stereotaxis Inc. 
SUN,Sunoco Inc. Common 
SWM,Schweitzer-Mauduit Internationa 
SWX,Southwest Gas Corporation Commo 
SXL,Sunoco Logistics Partners LP Co 
TACT,TransAct Technologies Incorpora 
THLD,Threshold Pharmaceuticals Inc. 
TNH,Terra Nitrogen Company L.P. Co 
TOWR,Tower International Inc. Commo 
TPC,Tutor Perini Corporation Common 
TRGP,Targa Resources Inc. Common St 
TTWO,Take-Two Interactive Software  
TWO,Two Harbors Investment Corp 
TWX,Time Warner Inc. New Common Sto 
UCBA,United Community Bancorp 
UFCS,United Fire Group Inc 
UFPT,UFP Technologies Inc. 
UVE,UNIVERSAL INSURANCE HOLDINGS IN 
VBFC,Village Bank and Trust Financia 
VMC,Vulcan Materials Company (Holdi 
VNDA,Vanda Pharmaceuticals Inc. 
VSI,Vitamin Shoppe Inc Common Stoc 
WD,Walker & Dunlop Inc Common Sto 
WLFC,Willis Lease Finance Corporatio 
WMGI,Wright Medical Group Inc. 
WTI,W&T Offshore Inc. Common 
WTM,White Mountains Insurance Group 
WTS,Watts Water Technologies Inc.  
WYNN,Wynn Resorts Limited 
XEC,Cimarex Energy Co Common 
XPO,XPO Logistics Inc. 
ZIOP,ZIOPHARM Oncology Inc 
ARCC, Ares Capital Corporation 
ARCO, Arcos Dorados Holdings Inc. Cla 
ARR, ARMOUR Residential REIT  Inc. 
