ABR,Arbor Realty Trust Common 
ACAT,Arctic Cat Inc. 
AEGR,Aegerion Pharmaceuticals Inc. 
AGM,Federal Agricultural Mortgage C 
AGYS,Agilysys Inc. 
APU,AmeriGas Partners L.P. Common  
ASTC,Astrotech Corporation 
ATAI,ATA Inc. 
ATHX,Athersys Inc. 
ATO,Atmos Energy Corporation Common 
AVID,Avid Technology Inc. 
BBSI,Barrett Business Services Inc. 
BDSI,BioDelivery Sciences Internatio 
BIOC,BioClinica Inc 
BITA,Bitauto Holdings Limited Americ 
BORN,China New Borun Corporation Ame 
BR,Broadridge Financial Solutions 
BSTC,BioSpecifics Technologies Corp 
BVSN,BroadVision Inc. 
CALL,magicJack VocalTec Ltd 
CARV,Carver Bancorp Inc. 
CAS,Castle (A.M.) & Co. Common Stoc 
CCO,Clear Channel Outdoor Holdings 
CCUR,Concurrent Computer Corporation 
CIA,Citizens Inc. Class A Common S 
CPRX,Catalyst Pharmaceutical Partner 
CPST,Capstone Turbine Corporation 
CROX,Crocs Inc. 
CTIB,CTI Industries Corporation 
CWCO,Consolidated Water Co. Ltd. 
CXDC,China XD Plastics Company Limit 
CYD,China Yuchai International Limi 
CYTX,Cytori Therapeutics Inc 
DGLY,Digital Ally Inc. 
DIOD,Diodes Incorporated 
DISH,DISH Network Corporation 
DL,China Distance Education Holdin 
DRH,Diamondrock Hospitality Company 
EBIX,Ebix Inc 
ECPG,Encore Capital Group Inc 
ELOS,Syneron Medical Ltd. 
ENR,Energizer Holdings Inc. Common 
ETRM,EnteroMedics Inc. 
EVEP,EV Energy Partners L.P. 
FC,Franklin Covey Company Common S 
FLO,Flowers Foods Inc. Common Stoc 
FONR,Fonar Corporation 
GDOT,Green Dot Corporation Class A C 
GLF,GulfMark Offshore Inc. New Com 
INFI,Infinity Pharmaceuticals Inc. 
INO,Inovio Pharmaceuticals Inc. Co 
IPXL,Impax Laboratories Inc. 
ITG,Investment Technology Group In 
ITI,Iteris Inc. Common 
KNDI,Kandi Technolgies Corp. 
LABL,Multi-Color Corporation 
LIFE,Life Technologies Corporation 
LORL,Loral Space and Communications 
LUNA,Luna Innovations Incorporated 
LWAY,Lifeway Foods Inc. 
MBLX,Metabolix Inc. 
MEG,Media General Inc. Class A Com 
MLR,Miller Industries Inc. Common  
MNKD,MannKind Corporation 
MNTX,Manitex International Inc. 
MPAA,Motorcar Parts of America Inc. 
MYL,Mylan Inc. 
NTES,NetEase Inc. 
NVAX,Novavax Inc. 
OMER,Omeros Corporation 
OPXA,Opexa Therapeutics Inc. 
OSG,Overseas Shipholding Group Inc 
OTIV,On Track Innovations Ltd 
PCYO,Pure Cycle Corporation 
PDEX,Pro-Dex Inc. 
PFIN,P & F Industries Inc. 
PFSW,PFSweb Inc. 
PMC,Pharmerica Corporation Common S 
PRI,Primerica Inc. Common 
PSTI,Pluristem Therapeutics Inc. 
QNST,QuinStreet Inc. 
RAX,Rackspace Hosting Inc Common S 
RBCN,Rubicon Technology Inc. 
RDNT,RadNet Inc. 
RLOG,Rand Logistics Inc. 
SCLN,SciClone Pharmaceuticals Inc. 
SCMP,Sucampo Pharmaceuticals Inc. 
SNP,China Petroleum & Chemical Corp 
SPTN,Spartan Stores Inc. 
STRS,Stratus Properties Inc. 
SUN,Sunoco Inc. Common 
SVA,Sinovac Biotech Ltd. 
SXL,Sunoco Logistics Partners LP Co 
SYUT,Synutra International Inc. 
TASR,TASER International Inc. 
TAT,TransAtlantic Petroleum Ltd Ord 
TCRD,THL Credit Inc. 
TLF,Tandy Leather Factory Inc. 
TNP,Tsakos Energy Navigation Ltd Co 
TTEC,TeleTech Holdings Inc. 
TTEK,Tetra Tech Inc. 
TTGT,TechTarget Inc. 
TWER,Towerstream Corporation 
UG,United-Guardian Inc. 
UGI,UGI Corporation Common 
UHAL,Amerco 
ULTR,Ultrapetrol (Bahamas) Limited 
USAT,USA Technologies Inc. 
VRTU,Virtusa Corporation 
VVUS,VIVUS Inc. 
WEN,Wendy's Company (The) 
WYY,WidePoint Corporation Common St 
ATRS, Antares Pharma  Inc. 
CUI, CUI Global  Inc. 
EGAN, eGain Communications Corporatio 
FF, FutureFuel Corp.  Common shares 
GALE, Galena Biopharma  Inc. 
GURE, Gulf Resources  Inc. 
HK, Halcon Resources Corporation Co 
HLIT, Harmonic Inc. 
HMSY, HMS Holdings Corp 
HNR, Harvest Natural Resources Inc 
HPJ, Hong Kong Highpower Technology 
HPT, Hospitality Properites Trust Co 
ICUI, ICU Medical  Inc. 
IDSY, I.D. Systems  Inc. 
IHC, Independence Holding Company Co 
LMOS, Lumos Networks Corp. 
MACK, Merrimack Pharmaceuticals  Inc. 
MNGA, MagneGas Corporation 
MPO, Midstates Petroleum Company  In 
NEON, Neonode Inc. 
RLGT, Radiant Logistics  Inc. Common  
SGYP, Synergy Pharmaceuticals  Inc. 
SPWR, SunPower Corporation 
SREV, ServiceSource International  In 
SUPN, Supernus Pharmaceuticals  Inc. 
TROV, TrovaGene  Inc. 
VIAB, Viacom Inc. 
WAGE, WageWorks  Inc. Common 
ZLTQ, ZELTIQ Aesthetics  Inc. 
TNXP,Tonix Pharmaceuticals Holding Corp 
TIPT,Tiptree Financial Inc. 
TCS,The Container Store Group Inc. 
SCTY,SolarCity Corporation 
PME,Pingtan Marine Enterprise Ltd. 
PBYI,Puma Biotechnology Inc. 
ONTX,Onconova Therapeutics Inc. 
OAKS,Five Oaks Investment Corp. 
NCLH,Norwegian Cruise Line Holdings Ltd. 
MRIN,Marin Software Incorporated 
KODK,Eastman Kodak Co. 
GTT,GTT Communications Inc. 
EVOK,Evoke Pharma Inc. 
ELSE,Electro-Sensors Inc. 
COTY,Coty Inc. 
CHMI,Cherry Hill Mortgage Investment Corporation 
BDL,Flanigans Enterprises Inc. 
AXDX,Accelerate Diagnostics Inc. 
WWAV,The WhiteWave Foods Company 
XON,Intrexon Corporation 
XONE,The ExOne Company 
YUME,YuMe Inc. 
AKBA,Akebia Therapeutics Inc. 
AQXP,Aquinox Pharmaceuticals Inc. 
BPTH,Bio-Path Holdings Inc. 
CARA,Cara Therapeutics Inc. 
CELP,Cypress Energy Partners L.P. 
EGRX,Eagle Pharmaceuticals Inc. 
EVDY,Everyday Health Inc. 
FSIC,FS Investment Corporation Commo 
GARS,Garrison Capital Inc. 
ITCI,Intra-Cellular Therapies Inc. 
NYRT,New York REIT Inc. 
PLKI,Popeyes Louisiana Kitchen Inc. 
SC,Santander Consumer USA Holdings Inc. 
CDNA,CareDx Inc.
CHRS,Coherus BioSciences Inc.
FELP,Foresight Energy LP Common Unit
FNJN,Finjan Holdings Inc.
FOMX,Foamix Pharmaceuticals Ltd.
IMDZ,Immune Design Corp.
JUNO,JUNO THERAPEUTICS INC.
KITE,Kite Pharma Inc.
MTLS,Materialise NV
NAO,Nordic Amern Offshore Ltd Ordin
OCUL,Ocular Therapeutix Inc.
OXBR,Oxbridge Re Holdings Limited
PFNX,Pfenex Inc. Common
SNC,State National Companies Inc.
SPKE,Spark Energy Inc.
TRCO,Tribune Media Company Class A C
TUBE,TubeMogul Inc.
VRTV,Veritiv Corporation Common Stoc
WK,Workiva Inc. Class A Common Sto
ZFGN,Zafgen Inc.
CALA,Calithera Biosciences Inc.
BLCM,Bellicum Pharmaceuticals Inc.
ATTO,Atento S.A. Ordinary Shares
ARDM,Aradigm Corporation
AMTX,Aemetis Inc
ADMA,ADMA Biologics Inc
SHAK,Shake Shack Inc. Class A Commo
ITEK,Inotek Pharmaceuticals Corporation
HCHC,HC2 HOLDINGS INC
APPS,Digital Turbine Inc.
ZSAN,Zosano Pharma Corporation
RPD,Rapid7  Inc.
PIRS,Pieris Pharmaceuticals  Inc.
NTRA,Natera  Inc.
MLSS,Milestone Scientific Inc.
KRNT,Kornit Digital  Ltd.
KMPH,KemPharm  Inc.
GNL,Global Net Lease  Inc.
FBIO,Fortress Biotech  Inc.
