BECN,Beacon Roofing Supply Inc. 
BRCD,Brocade Communications Systems 
BSPM,Biostar Pharmaceuticals Inc. 
CISG,CNinsure Inc. 
CPRT,Copart Inc. 
CSIQ,Canadian Solar Inc. 
CUB,Cubic Corporation Common 
DY,Dycom Industries Inc. Common S 
GLAD,Gladstone Capital Corporation 
JACK,Jack In The Box Inc. 
LIVE,LiveDeal Inc. 
LORL,Loral Space and Communications 
NM,Navios Maritime Holdings Inc. C 
SBLK,Star Bulk Carriers Corp. 
SINA,Sina Corporation 
TSL,Trina Solar Limited Sponsored A 
TSN,Tyson Foods Inc. Common 
XNY,China Xiniya Fashion Limited Am 
BSD, BlackRock Strategic Municipal T 
IGT, International Game Technology C 
MPC, Marathon Petroleum Corporation  
MPO, Midstates Petroleum Company  In 
PANW, Palo Alto Networks  Inc. Common 
PNNT, PennantPark Investment Corporat 
VIPS, Vipshop Holdings Limited Americ 
PBIP,Prudential Bancorp Inc. 
ENTA,Enanta Pharmaceuticals Inc. 
YY,YY Inc. 
CORI,Corium International Inc. 
TEDU,Tarena International Inc. 
WB,Weibo Corporation 
CMCM,Cheetah Mobile Inc. American De
KZ,KongZhong Corporation
COE,China Online Education Group
