ADI,Analog Devices Inc. 
AMWD,American Woodmark Corporation 
BKS,Barnes & Noble Inc. Common Sto 
BORN,China New Borun Corporation Ame 
CBRL,Cracker Barrel Old Country Stor 
CHS,Chico's FAS Inc. Common 
CPB,Campbell Soup Company Common St 
DAKT,Daktronics Inc. 
DLTR,Dollar Tree Inc. 
DSW,DSW Inc. Common 
EV,Eaton Vance Corporation Common  
GME,Gamestop Corporation Common Sto 
GRVY,GRAVITY Co. Ltd. 
JEC,Jacobs Engineering Group Inc. C 
KIRK,Kirkland's Inc. 
LORL,Loral Space and Communications 
MDT,Medtronic Inc. Common 
MOV,Movado Group Inc. Common 
PDCO,Patterson Companies Inc. 
QADA,QAD Inc. 
RAVN,Raven Industries Inc. 
SDRL,Seadrill Limited Ordinary Share 
SFL,Ship Finance International Limi 
SIG,Signet Jewelers Limited Common  
TECD,Tech Data Corporation 
ULTR,Ultrapetrol (Bahamas) Limited 
URBN,Urban Outfitters Inc. 
VAL,Valspar Corporation (The) Commo 
VISN,VisionChina Media Inc. 
BSD, BlackRock Strategic Municipal T 
HPQ, Hewlett-Packard Company Common  
HRG, Harbinger Group Inc Common Stoc 
HRL, Hormel Foods Corporation Common 
LFVN, Lifevantage Corporation 
MPO, Midstates Petroleum Company  In 
PFLT, PennantPark Floating Rate Capit 
VEEV,Veeva Systems Inc. 
SDLP,Seadrill Partners LLC 
QUNR,Qunar Cayman Islands Limited 
NMBL,Nimble Storage Inc. 
BURL,Burlington Stores Inc. 
NADL,North Atlantic Drilling Limited 
EVLV,EVINE Live Inc.
FSAM,Fifth Street Asset Management I
INNL,Innocoll AG
KZ,KongZhong Corporation
SKYS,Sky Solar Holdings Ltd.
XCRA,Xcerra Corporation
HQCL,Hanwha Q CELLS Co. Ltd
GOGL,Golden Ocean Group Limited
CAL,Caleres  Inc.
HPE,Hewlett Packard Enterprise Company
SITO,SITO Mobile Ltd.
AGR,Avangrid  Inc.
FNCX,Function(x) Inc.
JMU,JM WOWO
