ALOT,Astro-Med Inc. 
CNTF,China TechFaith Wireless Commun 
CTRP,Ctrip.com International Ltd. 
DE,Deere & Company Common 
GASS,StealthGas Inc. 
GRVY,GRAVITY Co. Ltd. 
LORL,Loral Space and Communications 
RAVN,Raven Industries Inc. 
TSL,Trina Solar Limited Sponsored A 
ULTR,Ultrapetrol (Bahamas) Limited 
VAL,Valspar Corporation (The) Commo 
VISN,VisionChina Media Inc. 
QUNR,Qunar Cayman Islands Limited 
FWP,Forward Pharma A/S
SKYS,Sky Solar Holdings Ltd.
ZPIN,Zhaopin Limited American Deposi
SITO,SITO Mobile Ltd.
