ACTS,Actions Semiconductor Co. Ltd. 
AEO,American Eagle Outfitters Inc. 
BOX,SeaCube Container Leasing Ltd.  
BV,Bazaarvoice Inc. 
GES,Guess? Inc. Common 
GLNG,Golar LNG Limited 
GMAN,Gordmans Stores Inc. 
LORL,Loral Space and Communications 
LZB,La-Z-Boy Incorporated Common St 
MTSC,MTS Systems Corporation 
NWY,New York & Company Inc. New Yo 
PVH,PVH Corp. Common 
SMTC,Semtech Corporation 
SNPS,Synopsys Inc. 
VLGEA,Village Super Market Inc. 
VRNT,Verint Systems Inc. 
YGE,Yingli Green Energy Holding Com 
EXA, Exa Corporation 
GMLP, Golar LNG Partners LP 
NQ, NQ Mobile Inc. American Deposit 
ROSG, Rosetta Genomics Ltd. 
TLYS, Tilly's  Inc. Common 
TOUR,Tuniu Corporation
ASND,Ascendis Pharma
KEN,Kenon Holdings Ltd.
PSTG,Pure Storage  Inc.
