CASY,Caseys General Stores Inc. 
CMTL,Comtech Telecommunications Corp 
COST,Costco Wholesale Corporation 
EMKR,EMCORE Corporation 
EZPW,EZCORP Inc. 
FORD,Forward Industries Inc. 
GEF,Greif Inc. Class A Common 
INTL,INTL FCStone Inc. 
KFY,Korn/Ferry International Common 
LORL,Loral Space and Communications 
LULU,lululemon athletica inc. 
MFRI,MFRI Inc. 
MIND,Mitcham Industries Inc. 
SGU,Star Gas Partners L.P. Common  
STRM,Streamline Health Solutions In 
TCCO,Technical Communications Corpor 
UNFI,United Natural Foods Inc. 
VRA,Vera Bradley Inc. 
VRNT,Verint Systems Inc. 
FEIM, Frequency Electronics  Inc. 
HOFT, Hooker Furniture Corporation 
HRB, H&R Block  Inc. Common 
IDT, IDT Corporation New Preferred S 
OLLI,Ollies Bargain Outlet Holdings  Inc.
BNED,Barnes & Noble Education  Inc.
XCOM,Xtera Communications  Inc.
SCWX,SecureWorks Corp.
NXEO,Nexeo Solutions  Inc.
