AGX,Argan Inc. Common 
AVGO,Avago Technologies Limited 
CHKE,Cherokee Inc. 
CIEN,Ciena Corporation 
COO,Cooper Companies Inc. (The) Co 
DEST,Destination Maternity Corporati 
ENZ,Enzo Biochem Inc. Common 
FNSR,Finisar Corporation 
FORD,Forward Industries Inc. 
FRED,Fred's Inc. 
MEI,Methode Electronics Inc. Commo 
MFRI,MFRI Inc. 
NCS,NCI Building Systems Inc. New  
ODC,Oil-Dri Corporation Of America  
OSN,Ossen Innovation Co. Ltd. 
PHX,Panhandle Oil and Gas Inc Commo 
SHLD,Sears Holdings Corporation 
SOFO,Sonic Foundry Inc. 
TCCO,Technical Communications Corpor 
TTC,Toro Company (The) Common 
YGE,Yingli Green Energy Holding Com 
FEIM, Frequency Electronics  Inc. 
GTIM, Good Times Restaurants Inc. 
HOV, Hovnanian Enterprises  Inc. Cla 
SEV, Sevcon  Inc. 
TAX, JTH Holding Inc. D/B/A Liberty  
RH,Restoration Hardware Holdings Inc. 
OHRP,Ohr Pharmaceutical Inc. 
VNCE,Apparel Holding Corp. 
KLXI,KLX Inc.
SKIS,Peak Resorts Inc.
DTEA,DAVIDsTEA Inc.
XTLY,Xactly Corporation
BNED,Barnes & Noble Education  Inc.
DLTH,Duluth Holdings Inc.
XCOM,Xtera Communications  Inc.
DVMT,Dell Technologies Inc.
