AXR,AMREP Corporation Common 
FGP,Ferrellgas Partners L.P. Commo 
FORD,Forward Industries Inc. 
LEE,Lee Enterprises Incorporated C 
LORL,Loral Space and Communications 
MTN,Vail Resorts Inc. Common 
OSN,Ossen Innovation Co. Ltd. 
PHX,Panhandle Oil and Gas Inc Commo 
SGMA,SigmaTron International Inc. 
SOFO,Sonic Foundry Inc. 
FEIM, Frequency Electronics  Inc. 
IESC, Integrated Electrical Services  
MCC, Medley Capital Corporation Comm 
SEV, Sevcon  Inc. 
OHRP,Ohr Pharmaceutical Inc. 
XCOM,Xtera Communications  Inc.
