ARWR,Arrowhead Research Corporation 
ASFI,Asta Funding Inc. 
AXR,AMREP Corporation Common 
IRET,Investors Real Estate Trust 
JOUT,Johnson Outdoors Inc. 
LORL,Loral Space and Communications 
NX,Quanex Building Products Corpor 
OPTT,Ocean Power Technologies Inc. 
OSN,Ossen Innovation Co. Ltd. 
PAY,Verifone Systems Inc. Common S 
PPHM,Peregrine Pharmaceuticals Inc. 
RENN,Renren Inc. American Depositary 
SGMA,SigmaTron International Inc. 
VAL,Valspar Corporation (The) Commo 
KMG, KMG Chemicals  Inc. Common Stoc 
STRP,Straight Path Communications Inc. 
LITB,LightInTheBox Holding Co. Ltd. 
SBOT,Stellar Biotechnologies  Inc.
