APOG,Apogee Enterprises Inc. 
BLIN,Bridgeline Digital Inc. 
EEI,Ecology and Environment Inc. 
INTL,INTL FCStone Inc. 
ISSC,Innovative Solutions and Suppor 
LAKE,Lakeland Industries Inc. 
LDR,Landauer Inc. Common 
LORL,Loral Space and Communications 
LTRE,Learning Tree International In 
OSN,Ossen Innovation Co. Ltd. 
PGR,Progressive Corporation (The) C 
PIR,Pier 1 Imports Inc. Common Sto 
PURE,PURE Bioscience Inc. 
RENN,Renren Inc. American Depositary 
WOR,Worthington Industries Inc. Co 
FEIM, Frequency Electronics  Inc. 
JOY, Joy Global Inc. Common 
FSFR,Fifth Street Senior Floating Rate Corp. 
CIVI,Civitas Solutions Inc. Common
SBOT,Stellar Biotechnologies  Inc.
