AEPI,AEP Industries Inc. 
BAC,Bank of America Corporation Com 
CBAK,China BAK Battery Inc. 
CZNC,Citizens & Northern Corp 
EDUC,Educational Development Corpora 
FHN,First Horizon National Corporat 
FRC,FIRST REPUBLIC BANK Common Stoc 
FUL,H. B. Fuller Company Common Sto 
JCTCF,Jewett-Cameron Trading Company 
JPM,JP Morgan Chase & Co. Common St 
LBIX,Leading Brands Inc 
PNC,PNC Financial Services Group I 
SHLO,Shiloh Industries Inc. 
VSBN,VSB Bancorp Inc. (NY) 
WFC,Wells Fargo & Company Common St 
