ADTN,ADTRAN Inc. 
ASRV,AmeriServ Financial Inc. 
CMA,Comerica Incorporated Common St 
CNBKA,Century Bancorp Inc. 
CSX,CSX Corporation Common 
EDU,New Oriental Education & Techno 
FULT,Fulton Financial Corporation 
LLTC,Linear Technology Corporation 
MBWM,Mercantile Bank Corporation 
MS,Morgan Stanley Common 
OZRK,Bank of the Ozarks 
PNFP,Pinnacle Financial Partners In 
RNST,Renasant Corporation 
SHLO,Shiloh Industries Inc. 
SNV,Synovus Financial Corp. Common  
UAL,United Continental Holdings 
UNH,UnitedHealth Group Incorporated 
HBHC, Hancock Holding Company 
WAFD, Washington Federal  Inc. 
INFO,IHS Markit Ltd.
