ABCB,Ameris Bancorp 
ANCX,Access National Corporation 
AROW,Arrow Financial Corporation 
ASRV,AmeriServ Financial Inc. 
ATLO,Ames National Corporation 
BOCH,Bank of Commerce Holdings (CA) 
CFNL,Cardinal Financial Corporation 
COL,Rockwell Collins Inc. Common S 
CVLY,Codorus Valley Bancorp Inc 
DNBF,DNB Financial Corp 
GE,General Electric Company Common 
GSBC,Great Southern Bancorp Inc. 
KSU,Kansas City Southern Common Sto 
LM,Legg Mason Inc. Common 
OLBK,Old Line Bancshares Inc. 
PG,Procter & Gamble Company (The)  
RBCAA,Republic Bancorp Inc. 
RF,Regions Financial Corporation C 
SLB,Schlumberger N.V. Common 
SONA,Southern National Bancorp of Vi 
STI,SunTrust Banks Inc. Common Sto 
WABC,Westamerica Bancorporation 
GCBC, Greene County Bancorp  Inc. 
HFBL,Home Federal Bancorp Inc. of Louisiana 
CFG,Citizens Financial Group Inc.
SYF,Synchrony Financial Common Stoc
CARO,Carolina Financial Corporation
BSF,Bear State Financial Inc.
FCFP,First Community Financial Partners  Inc.
CIVB,Civista Bancshares  Inc.
PVBC,Provident Bancorp  Inc.
