ASH,Ashland Inc. (NEW) Common 
BKOR,Oak Ridge Financial Services I 
BNCN,BNC Bancorp 
BOH,Bank of Hawaii Corporation Comm 
BRO,Brown & Brown Inc. Common Stoc 
BSRR,Sierra Bancorp 
CBU,Community Bank System Inc. Com 
CSS,CSS Industries Inc. Common Sto 
CZWI,Citizens Community Bancorp Inc 
DNBF,DNB Financial Corp 
EFSC,Enterprise Financial Services C 
ELS,Equity Lifestyle Properties In 
FDEF,First Defiance Financial Corp. 
FRBK,Republic First Bancorp Inc. 
GABC,German American Bancorp Inc. 
JJSF,J & J Snack Foods Corp. 
MCD,McDonald's Corporation Common S 
MRCY,Mercury Computer Systems 
NBTB,NBT Bancorp Inc. 
NWBI,Northwest Bancshares Inc. 
PETS,PetMed Express Inc. 
RBCAA,Republic Bancorp Inc. 
RMBS,Rambus Inc. 
RMD,ResMed Inc. Common 
SANM,Sanmina-SCI Corporation 
SIMO,Silicon Motion Technology Corpo 
SMMF,Summit Financial Group Inc. 
TESS,TESSCO Technologies Incorporate 
TRNS,Transcat Inc. 
TRST,TrustCo Bank Corp NY 
YHOO,Yahoo! Inc. 
ZION,Zions Bancorporation 
CIZN, Citizens Holding Company 
GCBC, Greene County Bancorp  Inc. 
HAL, Halliburton Company Common Stoc 
HBNC, Horizon Bancorp (IN) 
PEBK, Peoples Bancorp of North Caroli 
TSBK, Timberland Bancorp  Inc. 
WWD, Woodward  Inc. 
MDWD,MediWound Ltd. 
NTP,Nam Tai Property Inc. 
OPB,Opus Bank 
TBK,Triumph Bancorp Inc.
MJCO,Majesco
CIVB,Civista Bancshares  Inc.
