AFCB,Athens Bancshares Corporation 
AMCC,Applied Micro Circuits Corporat 
APD,Air Products and Chemicals Inc 
BDGE,Bridge Bancorp Inc. 
BEN,Franklin Resources Inc. Common 
BHB,Bar Harbor Bankshares Inc. Com 
CASH,Meta Financial Group Inc. 
CASS,Cass Information Systems Inc 
CCNE,CNB Financial Corporation 
CL,Colgate-Palmolive Company Commo 
CVCO,Cavco Industries Inc. 
CVX,Chevron Corporation Common Stoc 
CWBC,Community West Bancshares 
GD,General Dynamics Corporation Co 
GNTX,Gentex Corporation 
JVA,Coffee Holding Co. Inc. 
LSBK,Lake Shore Bancorp Inc. 
MBRG,Middleburg Financial Corporatio 
NEE,NextEra Energy Inc. Common Sto 
NLS,Nautilus Inc. Common 
NWFL,Norwood Financial Corp. 
OPY,Oppenheimer Holdings Inc. Clas 
OVBC,Ohio Valley Banc Corp. 
PEBO,Peoples Bancorp Inc. 
PFS,Provident Financial Services I 
POL,PolyOne Corporation Common Stoc 
PROV,Provident Financial Holdings I 
RFIL,RF Industries Ltd. 
SBSI,Southside Bancshares Inc. 
SONA,Southern National Bancorp of Vi 
SVBI,Severn Bancorp Inc 
TCB,TCF Financial Corporation Commo 
TCBK,TriCo Bancshares 
TFSL,TFS Financial Corporation 
TMP,Tompkins Financial Corporation  
TOWN,Towne Bank 
TPL,Texas Pacific Land Trust Common 
UBSI,United Bankshares Inc. 
USLM,United States Lime & Minerals  
VASC,Vascular Solutions Inc. 
ANCB, Anchor Bancorp 
BOTJ, Bank of the James Financial Gro 
CFFN, Capitol Federal Financial  Inc. 
CLBH, Carolina Bank Holdings Inc. 
EMCF, Emclaire Financial Corp 
EVER, EverBank Financial Corp. Common 
HFBC, HopFed Bancorp  Inc. 
HON, Honeywell International Inc. Co 
HRC, Hill-Rom Holdings Inc Common St 
HTBI, HomeTrust Bancshares  Inc. 
INVN, InvenSense  Inc. Common 
WVFC, WVS Financial Corp. 
FCAP,First Capital Inc. 
CRVP,Crystal Rock Holdings Inc. 
ABBV,AbbVie Inc. 
AAL,American Airlines Group Inc. 
WBB,Westbury Bancorp Inc. 
YDKN,Yadkin Financial Corporation 
GLOP,GasLog Partners LP Common Units
MBCN,Middlefield Banc Corp.
SGBK,Stonegate Bank
SSB,South State Corporation
GDDY,GoDaddy Inc.
CAFD,8point3 Energy Partners LP
ACBI,Atlantic Capital Bancshares  Inc.
SCNB,Suffolk Bancorp
