ACET,Aceto Corporation 
AI,Arlington Asset Investment Corp 
AIV,Apartment Investment and Manage 
ALV,Autoliv Inc. Common 
AMGN,Amgen Inc. 
AMZN,Amazon.com Inc. 
AOS,A.O. Smith Corporation Common S 
ARRY,Array BioPharma Inc. 
ARTW,Art's-Way Manufacturing Co. In 
ASYS,Amtech Systems Inc. 
ATHN,athenahealth Inc. 
BDX,Becton Dickinson and Company C 
BECN,Beacon Roofing Supply Inc. 
BKJ,Bancorp of New Jersey Inc Comm 
BLL,Ball Corporation Common 
BNCL,Beneficial Mutual Bancorp Inc. 
BRS,Bristow Group Inc. Common 
BSX,Boston Scientific Corporation C 
CBLI,Cleveland BioLabs Inc. 
CCK,Crown Holdings Inc. 
CENT,Central Garden & Pet Company 
CFX,Colfax Corporation Common 
CLCT,Collectors Universe Inc. 
CME,CME Group Inc. 
CMG,Chipotle Mexican Grill Inc. Co 
CRS,Carpenter Technology Corporatio 
CSC,Computer Sciences Corporation C 
CY,Cypress Semiconductor Corporati 
DCT,DCT Industrial Trust Inc Common 
DECK,Deckers Outdoor Corporation 
DSPG,DSP Group Inc. 
EL,Estee Lauder Companies Inc. (T 
ELY,Callaway Golf Company Common St 
ENTG,Entegris Inc. 
EPM,Evolution Petroleum Corporation 
EQT,EQT Corporation Common 
ES,EnergySolutions Inc Common Stoc 
ESL,Esterline Technologies Corporat 
ESS,Essex Property Trust Inc. Comm 
EZPW,EZCORP Inc. 
FCCY,1st Constitution Bancorp (NJ) 
FCFS,First Cash Financial Services  
FHCO,Female Health Company (The) 
FLXS,Flexsteel Industries Inc. 
FTNT,Fortinet Inc. 
GPI,Group 1 Automotive Inc. Common 
INUV,Inuvo Inc New 
IP,International Paper Company Com 
IT,Gartner Inc. Common 
IXYS,IXYS Corporation 
KELYA,Kelly Services Inc. 
KEM,Kemet Corporation New Common St 
KIM,Kimco Realty Corporation Common 
KLIC,Kulicke and Soffa Industries I 
KMT,Kennametal Inc. Common 
KRG,Kite Realty Group Trust Common  
KRNY,Kearny Financial 
LAZ,Lazard LTD. Lazard LTD. Class  
LPTH,LightPath Technologies Inc. 
LRAD,LRAD Corporation 
MCZ,Mad Catz Interactive Inc Common 
MDU,MDU Resources Group Inc. Commo 
MHO,M/I Homes Inc. Common 
MINI,Mobile Mini Inc. 
MKSI,MKS Instruments Inc. 
MLI,Mueller Industries Inc. Common 
MMC,Marsh & McLennan Companies Inc 
MRK,Merck & Company Inc. Common St 
MSCI,MSCI Inc Common 
MTD,Mettler-Toledo International I 
MUSA,Metals USA Holdings Corp. Commo 
MWA,MUELLER WATER PRODUCTS Common S 
NLS,Nautilus Inc. Common 
NMM,Navios Maritime Partners LP Com 
NSR,Neustar Inc. Neustar Inc. Cla 
NYT,New York Times Company (The) Co 
ODFL,Old Dominion Freight Line Inc. 
OMCL,Omnicell Inc. 
PACB,Pacific Biosciences of Californ 
PBH,Prestige Brand Holdings Inc. C 
PENN,Penn National Gaming Inc. 
PH,Parker-Hannifin Corporation Com 
PJC,Piper Jaffray Companies Common  
PKI,PerkinElmer Inc. Common 
PLUS,ePlus inc. 
PM,Philip Morris International Inc 
PMT,PennyMac Mortgage Investment Tr 
PXLW,Pixelworks Inc. 
R,Ryder System Inc. Common 
RL,Ralph Lauren Corporation Common 
RRTS,Roadrunner Transportation Syste 
RTEC,Rudolph Technologies Inc. 
SBH,Sally Beauty Holdings Inc. (Na 
SIGI,Selective Insurance Group Inc. 
SIRI,Sirius XM Radio Inc. 
SKYW,SkyWest Inc. 
SNA,Snap-On Incorporated Common Sto 
SPH,Suburban Propane Partners L.P. 
SSD,Simpson Manufacturing Company  
ST,Sensata Technologies Holding N. 
TCBK,TriCo Bancshares 
TDY,Teledyne Technologies Incorpora 
TGI,Triumph Group Inc. Common Stoc 
THG,Hanover Insurance Group Inc 
TRR,TRC Companies Inc. Common Stoc 
UCBA,United Community Bancorp 
UTEK,Ultratech Inc. 
UTL,UNITIL Corporation Common 
V,Visa Inc. 
WFT,Weatherford International Ltd  
WSTG,Wayside Technology Group Inc. 
XEL,Xcel Energy Inc. Common 
EGAN, eGain Communications Corporatio 
EQM, EQT Midstream Partners  LP Comm 
ETN, Eaton Corporation Common 
HAYN, Haynes International  Inc. 
HBI, Hanesbrands Inc. Common 
HHS, Harte-Hanks  Inc. Common 
HIG, Hartford Financial Services Gro 
HIHO, Highway Holdings Limited 
HRS, Harris Corporation Common 
HUBG, Hub Group  Inc. 
HWKN, Hawkins  Inc. 
ICUI, ICU Medical  Inc. 
IDXX, IDEXX Laboratories  Inc. 
IMMU, Immunomedics  Inc. 
INGR, Ingredion Incorporated Common S 
INVN, InvenSense  Inc. Common 
MITK, Mitek Systems  Inc. 
MSI, Motorola Solutions  Inc. Common 
NGVC, Natural Grocers by Vitamin Cott 
OXLC, Oxford Lane Capital Corp. 
RGLD, Royal Gold  Inc. 
SEV, Sevcon  Inc. 
SPAN, Span-America Medical Systems  I 
XBKS, Xenith Bankshares  Inc. 
XYL, Xylem Inc. Common 
GLPI,Gaming and Leisure Properties Inc 
GIMO,Gigamon Inc. 
DATA,Tableau Software Inc. 
COTY,Coty Inc. 
ADHD,Alcobra Ltd. 
XPLR,Xplore Technologies Corp. 
PCTY,Paylocity Holding Corporation 
SNOW,Intrawest Resorts Holdings Inc. 
ENVA,Enova International Inc. Commo
NAO,Nordic Amern Offshore Ltd Ordin
FNBC,First NBC Bank Holding Company
EVA,Enviva Partners  LP
EQGP,EQT GP Holdings  LP
EPC,Edgewell Personal Care Company
VIRT,Virtu Financial  Inc.
MSGN,MSG Networks Inc.
RACE,Ferrari N.V.
SRTS,Sensus Healthcare  Inc.
