AN,AutoNation Inc. Common 
ASYS,Amtech Systems Inc. 
ATV,Acorn International Inc. ADS 
ATW,Atwood Oceanics Inc. Common St 
BEBE,bebe stores inc. 
BKJ,Bancorp of New Jersey Inc Comm 
CBM,Cambrex Corporation Common Stoc 
CGA,China Green Agriculture Inc. C 
CLX,Clorox Company (The) Common Sto 
CUB,Cubic Corporation Common 
EPM,Evolution Petroleum Corporation 
ES,EnergySolutions Inc Common Stoc 
FHCO,Female Health Company (The) 
GRC,Gorman-Rupp Company (The) Commo 
LPTH,LightPath Technologies Inc. 
LRAD,LRAD Corporation 
LYB,LyondellBasell Industries NV Or 
MLI,Mueller Industries Inc. Common 
MSG,The Madison Square Garden Compa 
NATH,Nathan's Famous Inc. 
NLS,Nautilus Inc. Common 
NMM,Navios Maritime Partners LP Com 
OB,OneBeacon Insurance Group Ltd. 
RGCO,RGC Resources Inc. 
RGS,Regis Corporation Common 
RRTS,Roadrunner Transportation Syste 
SAIA,Saia Inc. 
SEED,Origin Agritech Limited 
SXI,Standex International Corporati 
TUES,Tuesday Morning Corp. 
WTM,White Mountains Insurance Group 
WY,Weyerhaeuser Company Common Sto 
APO, Apollo Global Management  LLC C 
BERY, Berry Plastics Group  Inc. Comm 
CEB, Corporate Executive Board Compa 
HHS, Harte-Hanks  Inc. Common 
HSY, The Hershey Company Common Stoc 
HWKN, Hawkins  Inc. 
IMMU, Immunomedics  Inc. 
OXLC, Oxford Lane Capital Corp. 
PSX, Phillips 66 Common 
WETF, WisdomTree Investments  Inc. 
PSXP,Phillips 66 Partners LP 
HGSH,China HGS Real Estate Inc. 
BPY,Brookfield Property Partners L.P. 
ADHD,Alcobra Ltd. 
NAO,Nordic Amern Offshore Ltd Ordin
