ACM,Aecom Technology Corporation Co 
ADM,Archer-Daniels-Midland Company  
AI,Arlington Asset Investment Corp 
AME,AMETEK Inc. 
ARW,Arrow Electronics Inc. Common  
ASFI,Asta Funding Inc. 
ASTC,Astrotech Corporation 
ATO,Atmos Energy Corporation Common 
AWRE,Aware Inc. 
BKD,Brookdale Senior Living Inc. Co 
BWLD,Buffalo Wild Wings Inc. 
CAH,Cardinal Health Inc. Common St 
CALD,Callidus Software Inc. 
CHD,Church & Dwight Company Inc. C 
CLMS,Calamos Asset Management Inc. 
CNC,Centene Corporation Common Stoc 
CNO,CNO Financial Group Inc. Commo 
COHR,Coherent Inc. 
CPT,Camden Property Trust Common St 
CRWS,Crown Crafts Inc. 
CTO,Consolidated-Tomoka Land Co. Co 
CTS,CTS Corporation Common 
CYNO,Cynosure Inc. 
DEI,Douglas Emmett Inc. Common Sto 
DHX,Dice Holdings Inc. Common Stoc 
DIS,Walt Disney Company (The) Commo 
DJCO,Daily Journal Corp. (S.C.) 
DRYS,DryShips Inc. 
ELMD,Electromed Inc. Common 
EMKR,EMCORE Corporation 
EMR,Emerson Electric Company Common 
ESE,ESCO Technologies Inc. Common S 
EVBS,Eastern Virginia Bankshares In 
FARM,Farmer Brothers Company 
FIS,Fidelity National Information S 
FONR,Fonar Corporation 
FORD,Forward Industries Inc. 
GILD,Gilead Sciences Inc. 
GLT,Glatfelter Common 
INTL,INTL FCStone Inc. 
IPHI,Inphi Corporation Common 
JKHY,Jack Henry & Associates Inc. 
KFRC,Kforce Inc. 
LII,Lennox International Inc. Comm 
MCHP,Microchip Technology Incorporat 
MD,Mednax Inc. Common 
MOS,Mosaic Company (The) Common Sto 
MTSC,MTS Systems Corporation 
MYGN,Myriad Genetics Inc. 
NAII,Natural Alternatives Internatio 
NANO,Nanometrics Incorporated 
NOV,National Oilwell Varco Inc. Co 
NTGR,NETGEAR Inc. 
NUAN,Nuance Communications Inc. 
OB,OneBeacon Insurance Group Ltd. 
PAG,Penske Automotive Group Inc. C 
PNRA,Panera Bread Company 
POWL,Powell Industries Inc. 
PRO,PROS Holdings Inc. Common Stoc 
PTSI,P.A.M. Transportation Services 
PXD,Pioneer Natural Resources Compa 
PZN,Pzena Investment Management Inc 
RAVN,Raven Industries Inc. 
REGN,Regeneron Pharmaceuticals Inc. 
SCSC,ScanSource Inc. 
SGMO,Sangamo BioSciences Inc. 
SOHU,Sohu.com Inc. 
SPA,Sparton Corporation Common Stoc 
SPSC,SPS Commerce Inc. 
STE,STERIS Corporation Common 
TDG,Transdigm Group Incorporated Tr 
TDW,Tidewater Inc. Common 
TECH,Techne Corporation 
TEN,Tenneco Inc. Common 
THFF,First Financial Corporation Ind 
TRT,Trio-Tech International Common  
TTWO,Take-Two Interactive Software  
ULTI,The Ultimate Software Group In 
UQM,UQM TECHNOLOGIES INC Common Sto 
USAK,USA Truck Inc. 
USNA,USANA Health Sciences Inc. Com 
UVV,Universal Corporation Common St 
VMC,Vulcan Materials Company (Holdi 
VSH,Vishay Intertechnology Inc. Co 
WCG,Wellcare Health Plans Inc. Com 
WTM,White Mountains Insurance Group 
CEB, Corporate Executive Board Compa 
HCSG, Healthcare Services Group  Inc. 
HHS, Harte-Hanks  Inc. Common 
HIW, Highwoods Properties  Inc. Comm 
HRG, Harbinger Group Inc Common Stoc 
ICE, IntercontinentalExchange  Inc.  
IESC, Integrated Electrical Services  
INVN, InvenSense  Inc. Common 
JIVE, Jive Software  Inc. 
MDLZ, Mondelez International  Inc. 
NGL, NGL ENERGY PARTNERS LP Common U 
OAK, Oaktree Capital Group  LLC Clas 
RM, Regional Management Corp. Commo 
SAVE, Spirit Airlines  Inc. 
WAIR, Wesco Aircraft Holdings  Inc. C 
TCS,The Container Store Group Inc. 
PAGP,Plains GP Holdings L.P. 
NNVC,NanoViricides Inc. 
CDW,CDW Corporation 
ASC,Ardmore Shipping Corporation 
ARMK,ARAMARK Holdings Corporation 
YDKN,Yadkin Financial Corporation 
AMRK,A-Mark Precious Metals Inc. 
PFIE,Profire Energy Inc. 
SABR,Sabre Corporation 
CTRE,CareTrust REIT Inc.
MOBL,MobileIron Inc.
NEWR,New Relic Inc. Common
VTTI,VTTI Energy Partners LP Common 
PDVW,Pacific DataVision Inc.
KRNT,Kornit Digital  Ltd.
AXON,Axovant Sciences Ltd.
AVXL,Anavex Life Sciences Corp.
CYRX,Cryoport  Inc.
LITE,Lumentum Holdings Inc.
SBOT,Stellar Biotechnologies  Inc.
DRIO,LabStyle Innovations Corp.
CSRA,CSRA Inc.
SPGI,S&P Global  Inc.
ATKR,Atkore International Group Inc.
APFH,AdvancePierre Foods Holdings  Inc.
FTV,Fortive Corporation
TWLO,Twilio  Inc.
DXTR,Dextera Surgical Inc.
