ANH,Anworth Mortgage Asset Corporat 
AON,Aon plc Class A Ordinary Shares 
ARKR,Ark Restaurants Corp. 
ASFI,Asta Funding Inc. 
AXL,American Axle & Manufacturing H 
BBGI,Beasley Broadcast Group Inc. 
BPL,Buckeye Partners L.P. Common St 
CARV,Carver Bancorp Inc. 
CBG,CBRE Group Inc Common 
CLMS,Calamos Asset Management Inc. 
CPN,Calpine Corporation Common Stoc 
DYSL,Dynasil Corporation of America 
EMCI,EMC Insurance Group Inc. 
EML,Eastern Company (The) 
EVI,EnviroStar Inc.  Common 
FORD,Forward Industries Inc. 
G,Genpact Limited Common 
GRIF,Griffin Land & Nurseries Inc. 
IPG,Interpublic Group of Companies 
JMP,JMP Group Inc Common 
KNL,Knoll Inc. Common 
LIOX,Lionbridge Technologies Inc. 
MOSY,MoSys Inc. 
MTSC,MTS Systems Corporation 
NAII,Natural Alternatives Internatio 
NCIT,NCI Inc. 
NILE,Blue Nile Inc. 
NPK,National Presto Industries Inc 
PSTI,Pluristem Therapeutics Inc. 
SB,Safe Bulkers Inc Common 
SGMO,Sangamo BioSciences Inc. 
SINO,Sino-Global Shipping America L 
SXT,Sensient Technologies Corporati 
TRT,Trio-Tech International Common  
VTR,Ventas Inc. Common 
XRAY,DENTSPLY International Inc. 
FBRC, FBR & Co 
IEC, IEC Electronics Corp. Common St 
IGC, India Globalization Capital Inc 
NNVC,NanoViricides Inc. 
IPWR,Ideal Power Inc. 
ESNT,Essent Group Ltd. 
GNCA,Genocea Biosciences Inc. 
NAO,Nordic Amern Offshore Ltd Ordin
SAJA,Sajan Inc.
NVET,Nexvet Biopharma Public Limited Company
AXON,Axovant Sciences Ltd.
AEMD,Aethlon Medical  Inc.
CINR,OCI Resources LP
DRIO,LabStyle Innovations Corp.
