ACGL,Arch Capital Group Ltd. 
AGII,Argo Group International Holdin 
ALX,Alexander's Inc. Common 
AMKR,Amkor Technology Inc. 
BBGI,Beasley Broadcast Group Inc. 
BKD,Brookdale Senior Living Inc. Co 
BLIN,Bridgeline Digital Inc. 
BRKR,Bruker Corporation 
CYH,Community Health Systems Inc.  
DYNT,Dynatronics Corporation 
DYSL,Dynasil Corporation of America 
EFC,Ellington Financial LLC Common  
EVI,EnviroStar Inc.  Common 
FLO,Flowers Foods Inc. Common Stoc 
FRT,Federal Realty Investment Trust 
GPOR,Gulfport Energy Corporation 
KOOL,THERMOGENESIS Corp. 
LNCE,Snyder's-Lance Inc. 
MTSC,MTS Systems Corporation 
NNN,National Retail Properties Comm 
NPK,National Presto Industries Inc 
RAVN,Raven Industries Inc. 
RCII,Rent-A-Center Inc. 
RLOG,Rand Logistics Inc. 
RRTS,Roadrunner Transportation Syste 
SB,Safe Bulkers Inc Common 
SCI,Service Corporation Internation 
SINO,Sino-Global Shipping America L 
STNG,Scorpio Tankers Inc. Common Sha 
SYMX,Synthesis Energy Systems Inc. 
VNO,Vornado Realty Trust Common Sto 
WEX,Winland Electronics Inc. Commo 
CSOD, Cornerstone OnDemand  Inc. 
DCIX, Diana Containerships Inc. 
GIG, GigOptix  Inc. Common 
GUID, Guidance Software  Inc. 
HCP, HCP  Inc. Common 
HHS, Harte-Hanks  Inc. Common 
IGC, India Globalization Capital Inc 
NSP, Insperity  Inc. Common 
USAC,USA Compression Partners LP 
RNG,RingCentral Inc. 
CHGG,Chegg Inc. 
BRX,Brixmor Property Group Inc. Com 
CORI,Corium International Inc. 
TTOO,T2 Biosystems Inc.
ON,ON Semiconductor Corp.
TIER,TIER REIT  Inc
CSWI,CSW Industrials  Inc.
FDC,First Data Corporation
MPSX,Multi Packaging Solutions International Limited
TRTN,Triton International Limited
PTGX,Protagonist Therapeutics  Inc.
NBLX,Noble Midstream Partners LP 
NTB,BANK OF N.T. BUTTERFIELD & SON LTD 
