AEE,Ameren Corporation Common 
ALXN,Alexion Pharmaceuticals Inc. 
ARII,American Railcar Industries In 
AVP,Avon Products Inc. Common Stoc 
BBW,Build-A-Bear Workshop Inc. Com 
BCOV,Brightcove Inc. 
BWINB,Baldwin & Lyons Inc. 
CBR,Ciber Inc. Common 
CBZ,CBIZ Inc. Common 
CGNX,Cognex Corporation 
CHTR,Charter Communications Inc. 
CIR,CIRCOR International Inc. Comm 
COHU,Cohu Inc. 
CRAI,CRA InternationalInc. 
CRC,Chromcraft Revington Inc. Comm 
CVI,CVR Energy Inc. Common 
CVO,Cenveo Inc 
CYTK,Cytokinetics Incorporated 
DLR,Digital Realty Trust Inc. Comm 
DUK,Duke Energy Corporation (Holdin 
ECOL,US Ecology Inc. 
ED,Consolidated Edison Inc. Commo 
EEP,Enbridge Energy L.P. Class A C 
EEQ,Enbridge Energy Management LLC  
ESEA,Euroseas Ltd. 
FLS,Flowserve Corporation Common St 
GEL,Genesis Energy L.P. Common Uni 
GOOD,Gladstone Commercial Corporatio 
INAP,Internap Network Services Corpo 
LH,Laboratory Corporation of Ameri 
LOPE,Grand Canyon Education Inc. 
MCHX,Marchex Inc. 
MDCA,MDC Partners Inc. 
MDCO,The Medicines Company 
MDRX,Allscripts Healthcare Solutions 
MFA,MFA Financial Inc. 
MGM,MGM Resorts International Commo 
MPEL,Melco Crown Entertainment Limit 
NAVG,The Navigators Group Inc. 
NCI,Navigant Consulting Inc. Commo 
NUS,Nu Skin Enterprises Inc. Commo 
NWE,NorthWestern Corporation Common 
PATK,Patrick Industries Inc. 
PCG,Pacific Gas & Electric Co. Comm 
POOL,Pool Corporation 
RAVN,Raven Industries Inc. 
RCKY,Rocky Brands Inc. 
RRTS,Roadrunner Transportation Syste 
RS,Reliance Steel & Aluminum Co. C 
RSG,Republic Services Inc. Common  
RTIX,RTI Biologics Inc. 
SCG,SCANA Corporation Common 
SGMO,Sangamo BioSciences Inc. 
SMP,Standard Motor Products Inc. C 
STS,Supreme Industries Inc. Common 
SWC,Stillwater Mining Company Commo 
SYNT,Syntel Inc. 
TGH,Textainer Group Holdings Limite 
TGP,Teekay LNG Partners L.P. 
TK,Teekay Corporation Common 
TNH,Terra Nitrogen Company L.P. Co 
TOO,Teekay Offshore Partners L.P. C 
TPX,Tempur-pedic International Inc  
TRN,Trinity Industries Inc. Common 
UEIC,Universal Electronics Inc. 
UFCS,United Fire Group Inc 
VECO,Veeco Instruments Inc. 
WBMD,WebMD Health Corp 
WEN,Wendy's Company (The) 
WIRE,Encore Wire Corporation 
WM,Waste Management Inc. Common S 
WRE,Washington Real Estate Investme 
WST,West Pharmaceutical Services I 
YNDX,Yandex N.V. 
BCOR, Blucora  Inc. 
CUBE, CubeSmart Common Shares 
EPAM, EPAM Systems  Inc. Common 
GNC, GNC Holdings  Inc. Class A Comm 
HHS, Harte-Hanks  Inc. Common 
HII, Huntington Ingalls Industries   
HIMX, Himax Technologies  Inc. 
HPP, Hudson Pacific Properties  Inc. 
ICLR, ICON plc 
IIN, IntriCon Corporation 
IKNX, Ikonics Corporation 
INVN, InvenSense  Inc. Common 
IQNT, Neutral Tandem  Inc. 
MRC, MRC Global Inc. Common 
SIR, Select Income REIT Common Share 
STAG, Stag Industrial  Inc. Common St 
UAN, CVR Partners  LP Common Units r 
ORC,Orchid Island Capital Inc. 
EIGI,Endurance International Group Holdings Inc. 
CVRR,CVR Refining LP 
CTT,CatchMark Timber Trust Inc. 
CPS,Cooper-Standard Holdings Inc. 
ATHM,Autohome Inc. 
AMBC,Ambac Financial Group Inc. 
AGIO,Agios Pharmaceuticals Inc. 
WWAV,The WhiteWave Foods Company 
YDKN,Yadkin Financial Corporation 
YUME,YuMe Inc. 
ZTS,Zoetis Inc. 
AMBR,Amber Road Inc. 
BRG,Bluerock Residential Growth REIT  Inc. 
EPE,EP Energy Corporation 
FIVN,Five9 Inc. 
GNCA,Genocea Biosciences Inc. 
RARE,Ultragenyx Pharmaceutical Inc. 
SCAI,Surgical Care Affiliates  Inc. 
VSAR,Versartis Inc. 
XXII,22nd Century Group Inc. 
CNNX,Cone Midstream Partners LP Comm
GLOB,Globant S.A. Common Shares
KEYS,Keysight Technologies Inc. Comm
ONDK,On Deck Capital Inc. Common St
PBFX,PBF Logistics LP Common Units r
PRQR,ProQR Therapeutics N.V.
TMST,Timken Steel Corporation Common
TRUE,TrueCar Inc.
ANET,Arista Networks Inc. Common St
CPPL,Columbia Pipeline Partners LP C
TCON,TRACON Pharmaceuticals Inc.
UE,Urban Edge Properties Common Sh
TEGP,Tallgrass Energy GP  LP
TGNA,TEGNA Inc.
CINR,OCI Resources LP
MFIN,Medallion Financial Corp.
SHSP,SharpSpring  Inc.
MGP,MGM Growth Properties LLC
TRTN,Triton International Limited
AIRG,Airgain  Inc.
PI,Impinj  Inc.
PTGX,Protagonist Therapeutics  Inc.
VIVE,Viveve Medical  Inc. 
