AIRM,Air Methods Corporation 
ATAI,ATA Inc. 
ATRI,ATRION Corporation 
BH,Biglari Holdings Inc. 
CIE,Cobalt International Energy In 
CRMT,America's Car-Mart Inc. 
CYH,Community Health Systems Inc.  
DDS,Dillard's Inc. Common 
GEN,GenOn Energy Inc. Common 
NDSN,Nordson Corporation 
PRGO,Perrigo Company 
ROG,Rogers Corporation Common 
RRTS,Roadrunner Transportation Syste 
SGY,Stone Energy Corporation Common 
HLX, Helix Energy Solutions Group  I 
RGLS, Regulus Therapeutics Inc. 
VIPS, Vipshop Holdings Limited Americ 
UIHC,United Insurance Holdings Corp. 
I,Intelsat S.A. 
BCC,Boise Cascade Company 
YDKN,Yadkin Financial Corporation 
EVAR,Lombard Medical Inc. 
ZPIN,Zhaopin Limited American Deposi
CNFR,Conifer Holdings  Inc.
