AMSF,AMERISAFE Inc. 
ARRS,Arris Group Inc 
ATNI,Atlantic Tele-Network Inc. 
AVA,Avista Corporation Common 
AXTI,AXT Inc 
BEAT,CardioNet Inc. 
BYFC,Broadway Financial Corporation 
CAKE,The Cheesecake Factory Incorpor 
CBMX,CombiMatrix Corporation 
CHS,Chico's FAS Inc. Common 
CHSP,Chesapeake Lodging Trust Common 
CLGX,CoreLogic Inc. Common 
CLH,Clean Harbors Inc. Common Stoc 
CLR,Continental Resources Inc. Com 
CSGP,CoStar Group Inc. 
CTRP,Ctrip.com International Ltd. 
CVG,Convergys Corporation Common St 
CYD,China Yuchai International Limi 
DISH,DISH Network Corporation 
DORM,Dorman Products Inc. 
DRH,Diamondrock Hospitality Company 
DXYN,The Dixie Group Inc. 
EIG,Employers Holdings Inc Common S 
ES,EnergySolutions Inc Common Stoc 
ETE,Energy Transfer Equity L.P. En 
ETM,Entercom Communications Corpora 
ETP,Energy Transfer Partners L.P.  
EV,Eaton Vance Corporation Common  
FARO,FARO Technologies Inc. 
FR,First Industrial Realty Trust  
GDOT,Green Dot Corporation Class A C 
GEN,GenOn Energy Inc. Common 
GEO,Geo Group Inc (The) Common Stoc 
GLDD,Great Lakes Dredge & Dock Corpo 
GOV,Government Properties Income Tr 
GRMN,Garmin Ltd. 
INOD,Innodata Inc. 
JOBS,51job Inc. 
KAI,Kadant Inc Common 
LAMR,Lamar Advertising Company 
LB,L.B. Foster Company 
LDL,Lydall Inc. Common 
LHO,LaSalle Hotel Properties Common 
LORL,Loral Space and Communications 
LTC,LTC Properties Inc. Common Sto 
MANT,ManTech International Corporati 
MCRI,Monarch Casino & Resort Inc. 
MNDO,MIND C.T.I. Ltd. 
NBR,Nabors Industries Ltd. 
NI,NiSource Inc Common 
NM,Navios Maritime Holdings Inc. C 
NSM,Nationstar Mortgage Holdings In 
O,Realty Income Corporation Commo 
OAS,Oasis Petroleum Inc. Common Sto 
PRA,ProAssurance Corporation Common 
PSA,Public Storage Common 
QEP,QEP Resources Inc. Common Stoc 
RGEN,Repligen Corporation 
RGR,Sturm Ruger & Company Inc. Co 
ROIC,Retail Opportunity Investments  
RRC,Range Resources Corporation Com 
SAFT,Safety Insurance Group Inc. 
SAM,Boston Beer Company Inc. (The) 
SATS,EchoStar Corporation 
SBLK,Star Bulk Carriers Corp. 
SCL,Stepan Company Common 
SINA,Sina Corporation 
SIX,Six Flags Entertainment Corpora 
SM,SM Energy Company Common 
SPTN,Spartan Stores Inc. 
SUN,Sunoco Inc. Common 
SXL,Sunoco Logistics Partners LP Co 
TEX,Terex Corporation Common 
TJX,TJX Companies Inc. (The) Commo 
TSLA,Tesla Motors Inc. 
UCTT,Ultra Clean Holdings Inc. 
UFPI,Universal Forest Products Inc. 
UTHR,United Therapeutics Corporation 
WES,Western Gas Partners LP Limite 
WINA,Winmark Corporation 
WR,Westar Energy Inc. Common Stoc 
WWW,Wolverine World Wide Inc. Comm 
Y,Alleghany Corporation Common St 
ACCO, Acco Brands Corporation Common  
ARCC, Ares Capital Corporation 
CLVS, Clovis Oncology  Inc. 
HCN, Health Care REIT  Inc. Common S 
HFC, HollyFrontier Corporation Commo 
HPQ, Hewlett-Packard Company Common  
HSNI, HSN  Inc. 
HST, Host Hotels & Resorts  Inc. Com 
HT, Hersha Hospitality Trust Class  
ICON, Iconix Brand Group  Inc. 
MEMP, Memorial Production Partners LP 
MTDR, Matador Resources Company Commo 
RATE, Bankrate  Inc. Common 
RLJ, RLJ Lodging Trust Common Shares 
SLCA, U.S. Silica Holdings  Inc. Comm 
SLRC, Solar Capital Ltd. 
SN, Sanchez Energy Corporation Comm 
SRC, Spirit Realty Capital  Inc. Com 
TATT, TAT Technologies Ltd. 
TCAP, Triangle Capital Corporation Co 
TPH,TRI Pointe Homes Inc. 
TNDM,Tandem Diabetes Care Inc. 
TILE,Interface Inc. 
OPHT,Ophthotech Corporation 
NEO,Neogenomics Inc. 
NCLH,Norwegian Cruise Line Holdings Ltd. 
FMI,Foundation Medicine Inc. 
ESRT,Empire State Realty Trust Inc. 
ENZY,Enzymotec Ltd. 
DOOR,Masonite International Corporation 
CRTO,Criteo SA 
BLUE,bluebird bio Inc. 
ALDW,Alon USA Partners LP 
WLH,William Lyon Homes 
FPI,Farmland Partners Inc. 
NWHM,The New Home Company LLC 
OGS,ONE Gas  Inc. Common Stock 
PLKI,Popeyes Louisiana Kitchen Inc. 
RICE,Rice Energy Inc. Common Stock 
SCAI,Surgical Care Affiliates  Inc. 
SP,SP Plus Corporation 
TSLX,TPG Specialty Lending Inc. 
WB,Weibo Corporation 
MBLY,Mobileye N.V. Ordinary Shares
OUT,OUTFRONT Media Inc. Common Stoc
PGRE,Paramount Group Inc. Common St
PRAH,PRA Health Sciences Inc.
RMP,Rice Midstream Partners LP Comm
SPOK,Spok Holdings Inc.
TSE,Trinseo S.A. Ordinary Shares
WPG,Washington Prime Group Inc. Com
ADPT,Adeptus Health Inc. Common Stoc
ONCE,Spark Therapeutics Inc.
INOV,Inovalon Holdings Inc.
CPSH,CPS TECHNOLOGIES CP
SUM,SUMMIT MATERIALS INC.
FIT,Fitbit Inc.
UNVR,Univar Inc.
FCPT,Four Corners Property Trust  Inc.
SQ,Square  Inc.
NGVT,Ingevity Corporation
COTV,Cotiviti Holdings  Inc.
TRNC,tronc  Inc.
