ANAT,American National Insurance Com 
ARII,American Railcar Industries In 
ATV,Acorn International Inc. ADS 
CCC,Calgon Carbon Corporation Commo 
CLMT,Calumet Specialty Products Part 
COG,Cabot Oil & Gas Corporation Com 
CRK,Comstock Resources Inc. Common 
DEL,Deltic Timber Corporation Commo 
DGI,DigitalGlobe Inc Common 
DRAD,Digirad Corporation 
DXPE,DXP Enterprises Inc. 
EHTH,eHealth Inc. 
ENH,Endurance Specialty Holdings Lt 
ENV,Envestnet Inc Common 
FFNM,First Federal of Northern Michi 
FIG,Fortress Investment Group LLC C 
FL,Footlocker Inc. 
GLBZ,Glen Burnie Bancorp 
INAP,Internap Network Services Corpo 
INFI,Infinity Pharmaceuticals Inc. 
INOD,Innodata Inc. 
JCP,J.C. Penney Company Inc. Holdi 
KBR,KBR Inc. Common 
LUK,Leucadia National Corporation C 
MGLN,Magellan Health Services Inc. 
NKSH,National Bankshares Inc. 
PEG,Public Service Enterprise Group 
PMC,Pharmerica Corporation Common S 
PNW,Pinnacle West Capital Corporati 
RAS,RAIT Financial Trust New Common 
RBCN,Rubicon Technology Inc. 
RDC,Rowan Companies plc Class A Ord 
REV,Revlon Inc. New Common 
SATS,EchoStar Corporation 
SFUN,SouFun Holdings Limited America 
SHEN,Shenandoah Telecommunications C 
SHLD,Sears Holdings Corporation 
SJI,South Jersey Industries Inc. C 
SSP,E.W. Scripps Company (The) Comm 
TDS,Telephone and Data Systems Inc 
USM,United States Cellular Corporat 
VSEC,VSE Corporation 
WINA,Winmark Corporation 
WSBF,Waterstone Financial Inc. 
DFRG, Del Frisco's Restaurant Group   
HMSY, HMS Holdings Corp 
HNH, Handy & Harman Ltd. 
HSC, Harsco Corporation Common 
MEMP, Memorial Production Partners LP 
RLGY, Realogy Holdings Corp. Common S 
SGYP, Synergy Pharmaceuticals  Inc. 
TATT, TAT Technologies Ltd. 
STAR,iStar Financial Inc. 
ERA,Era Group Inc. 
CACQ,Caesars Acquisition Company 
BCC,Boise Cascade Company 
ADMS,Adamas Pharmaceuticals Inc. 
ALQA,Alliqua Inc. 
EVAR,Lombard Medical Inc. 
GHC,Graham Holdings 
NSEC,National Security Group Inc. 
NYRT,New York REIT Inc. 
SCAI,Surgical Care Affiliates  Inc. 
MTLS,Materialise NV
NAO,Nordic Amern Offshore Ltd Ordin
PRTK,Paratek Pharmaceuticals Inc. 
VWR,VWR Corporation
ARES,Ares Management L.P. Common Uni
ADPT,Adeptus Health Inc. Common Stoc
CPSH,CPS TECHNOLOGIES CP
MCRB,Seres Therapeutics  Inc.
