ACNB,ACNB Corporation 
AEO,American Eagle Outfitters Inc. 
AFAM,Almost Family Inc 
AGEN,Agenus Inc. 
AKRX,Akorn Inc. 
ALIM,Alimera Sciences Inc. 
ANW,Aegean Marine Petroleum Network 
AP,Ampco-Pittsburgh Corporation Co 
APT,Alpha Pro Tech Ltd. Common Sto 
AREX,Approach Resources Inc. 
ATAX,America First Tax Exempt Invest 
AVD,American Vanguard Corporation C 
AVGO,Avago Technologies Limited 
BBY,Best Buy Co. Inc. Common 
BFS,Saul Centers Inc. Common 
BITA,Bitauto Holdings Limited Americ 
BOX,SeaCube Container Leasing Ltd.  
CCRN,Cross Country Healthcare Inc. 
CDXS,Codexis Inc. 
CIX,CompX International Inc. Common 
CKH,SEACOR Holdings Inc. Common Sto 
CODI,Compass Diversified Holdings Sh 
CORE,Core-Mark Holding Company Inc. 
CORT,Corcept Therapeutics Incorporat 
CQP,Cheniere Energy Partners LP Ch 
CRIS,Curis Inc. 
CROX,Crocs Inc. 
CWST,Casella Waste Systems Inc. 
CYTX,Cytori Therapeutics Inc 
DCI,Donaldson Company Inc. Common  
DIN,DineEquity Inc Common 
DY,Dycom Industries Inc. Common S 
EDGW,Edgewater Technology Inc. 
ENG,ENGlobal Corporation 
ENV,Envestnet Inc Common 
ERII,Energy Recovery Inc. 
EVEP,EV Energy Partners L.P. 
FOLD,Amicus Therapeutics Inc. 
FVE,Five Star Quality Care Inc. Co 
GEF,Greif Inc. Class A Common 
GLF,GulfMark Offshore Inc. New Com 
GNCMA,General Communication Inc. 
GNK,Genco Shipping & Trading Limite 
IPXL,Impax Laboratories Inc. 
ISIG,Insignia Systems Inc. 
ISNS,Image Sensing Systems Inc. 
JSDA,Jones Soda Co. 
KERX,Keryx Biopharmaceuticals Inc. 
KOPN,Kopin Corporation 
LINC,Lincoln Educational Services Co 
LOV,Spark Networks Inc. Common Sto 
LXP,Lexington Realty Trust Common S 
MAYS,J. W. Mays Inc. 
MBI,MBIA Inc. Common 
MENT,Mentor Graphics Corporation 
MOCO,MOCON Inc. 
MYL,Mylan Inc. 
MYRG,MYR Group Inc. 
NC,NACCO Industries Inc. Common S 
NIHD,NII Holdings Inc. 
NKTR,Nektar Therapeutics 
NLST,Netlist Inc. 
NNBR,NN Inc. 
NOG,Northern Oil and Gas Inc. Comm 
ODP,Office Depot Inc. Common 
OPK,OPKO Health Inc. Common 
OREX,Orexigen Therapeutics Inc. 
PDLI,PDL BioPharma Inc. 
PEIX,Pacific Ethanol Inc. 
RCMT,RCM Technologies Inc. 
REIS,Reis Inc 
RMTI,Rockwell Medical Inc. 
RSO,Resource Capital Corp. Resource 
RWC,RELM Wireless Corporation Commo 
SFUN,SouFun Holdings Limited America 
SHLO,Shiloh Industries Inc. 
SNAK,Inventure Foods Inc. 
SNMX,Senomyx Inc. 
