ADSK,Autodesk Inc. 
AMRC,Ameresco Inc. Class A Common S 
ANF,Abercrombie & Fitch Company Com 
BBG,Bill Barrett Corporation Common 
BXC,Bluelinx Holdings Inc. Common S 
COO,Cooper Companies Inc. (The) Co 
COST,Costco Wholesale Corporation 
CTIC,Cell Therapeutics Inc. 
DWSN,Dawson Geophysical Company 
EVC,Entravision Communications Corp 
FOE,Ferro Corporation Common 
GWRE,Guidewire Software Inc. Common 
JAX,J. Alexander's Corporation 
JOE,St. Joe Company (The) Common St 
KR,Kroger Company (The) Common Sto 
KVHI,KVH Industries Inc. 
MEI,Methode Electronics Inc. Commo 
MRVL,Marvell Technology Group Ltd. 
PICO,PICO Holdings Inc. 
PLPC,Preformed Line Products Company 
PURE,PURE Bioscience Inc. 
SGMS,Scientific Games Corp 
SPLS,Staples Inc. 
SRI,Stoneridge Inc. Common 
STAA,STAAR Surgical Company 
SUP,Superior Industries Internation 
TAST,Carrols Restaurant Group Inc. 
TICC,TICC Capital Corp. 
ZEUS,Olympic Steel Inc. 
FDUS, Fidus Investment Corporation 
GTS, Triple-S Management Corporation 
HSON, Hudson Global  Inc. 
HURC, Hurco Companies  Inc. 
IDSY, I.D. Systems  Inc. 
JOY, Joy Global Inc. Common 
PNTR, Pointer Telocation Ltd. 
RGLS, Regulus Therapeutics Inc. 
ROYT, Pacific Coast Oil Trust Units o 
SSH, Sunshine Heart Inc 
SYN, Synthetic Biologics  Inc. Commo 
TNXP,Tonix Pharmaceuticals Holding Corp 
RMGN,RMG Networks Holding Corporation 
OVAS,OvaScience Inc. 
DVCR,Diversicare Healthcare Services Inc. 
CMRX,Chimerix Inc. 
BURL,Burlington Stores Inc. 
ANIP,ANI Pharmaceuticals Inc. 
CIO,City Office Reit Inc. 
WHF,WhiteHorse Finance  Inc. 
JASN,Jason Industries Inc.
JD,JD.com Inc.
NEFF,Neff Corporation Common
OTIC,Otonomy Inc.
SPKE,Spark Energy Inc.
DEA,Easterly Government Properties
NVIV,InVivo Therapeutics Holdings Corp.
WING,Wingstop Inc.
EDGE,Edge Therapeutics  Inc.
SNDX,Syndax Pharmaceuticals  Inc.
GCP,GCP Applied Technologies Inc.
NTNX,NUTANIX INC
