ADUS,Addus HomeCare Corporation 
ALOG,Analogic Corporation 
AVD,American Vanguard Corporation C 
BDE,Black Diamond Inc. 
CASY,Caseys General Stores Inc. 
CTHR,Charles & Colvard Ltd 
CVGW,Calavo Growers Inc. 
DAVE,Famous Dave's of America Inc. 
DCO,Ducommun Incorporated Common St 
DGLY,Digital Ally Inc. 
DXYN,The Dixie Group Inc. 
FLL,Full House Resorts Inc. Common 
IMN,Imation Corporation Common Stoc 
INFI,Infinity Pharmaceuticals Inc. 
KFY,Korn/Ferry International Common 
LOAN,Manhattan Bridge Capital Inc 
MNTX,Manitex International Inc. 
MVIS,Microvision Inc. 
NEWT,Newtek Business Services Inc. 
NTN,NTN Buzztime Inc. Common 
NX,Quanex Building Products Corpor 
OMER,Omeros Corporation 
PFBI,Premier Financial Bancorp Inc. 
PLOW,Douglas Dynamics Inc. Common S 
PLUG,Plug Power Inc. 
PRMW,Primo Water Corporation 
PRTS,U.S. Auto Parts Network Inc. 
RNET,RigNet Inc. 
RRTS,Roadrunner Transportation Syste 
SCLN,SciClone Pharmaceuticals Inc. 
SOL,Renesola Ltd. Common Shares of  
THO,Thor Industries Inc. Common St 
TISA,Top Image Systems Ltd. 
WLB,Westmoreland Coal Company 
WLFC,Willis Lease Finance Corporatio 
YORW,The York Water Company 
ASNA, Ascena Retail Group  Inc. 
ATRS, Antares Pharma  Inc. 
BKEP, Blueknight Energy Partners L.P. 
FRP, FairPoint Communications  Inc. 
HCOM, Hawaiian Telcom Holdco  Inc. 
IDT, IDT Corporation New Preferred S 
IFMI, Institutional Financial Markets 
MEET, MeetMe  Inc. Common 
MEMP, Memorial Production Partners LP 
TST, TheStreet  Inc. 
WMC, Western Asset Mortgage Capital  
ZLTQ, ZELTIQ Aesthetics  Inc. 
TGTX,TG Therapeutics Inc. 
PTCT,PTC Therapeutics Inc. 
OTEL,Otelco Inc. 
JONE,Jones Energy Inc. 
BRSS,Global Brass and Copper Holdings Inc. 
TRXC,TransEnterix Inc. 
KTWO,K2M Group Holdings Inc.
MRNS,Marinus Pharmaceuticals Inc.
SCYX,SCYNEXIS Inc.
XENE,Xenon Pharmaceuticals Inc.
AVGR,Avinger Inc.
RKDA,Arcadia Biosciences  Inc.
ONCS,OncoSec Medical Incorporated
ABEO,Abeona Therapeutics Inc. 
VKTX,Viking Therapeutics  Inc.
BGSF,BG Staffing  Inc.
NXRT,NexPoint Residential Trust  Inc. 
NOVT,Novanta Inc.
AFI,Armstrong Flooring  Inc.
COE,China Online Education Group
