APRI,Apricus Biosciences Inc. 
BKCC,BlackRock Kelso Capital Corpora 
BOBE,Bob Evans Farms Inc. 
BORN,China New Borun Corporation Ame 
BTN,Ballantyne Strong Inc. Common  
CBAK,China BAK Battery Inc. 
CDI,CDI Corporation Common 
CIEN,Ciena Corporation 
CLRO,ClearOne Communications Inc. 
CMLS,Cumulus Media Inc. 
CMT,Core Molding Technologies Inc C 
CMTL,Comtech Telecommunications Corp 
COKE,Coca-Cola Bottling Co. Consolid 
CSIQ,Canadian Solar Inc. 
DGLY,Digital Ally Inc. 
DVAX,Dynavax Technologies Corporatio 
ERII,Energy Recovery Inc. 
EXPR,Express Inc. Common 
FUNC,First United Corporation 
GLF,GulfMark Offshore Inc. New Com 
GNVC,GenVec Inc. 
INOD,Innodata Inc. 
INS,Intelligent Systems Corporation 
INVE,Identive Group Inc. 
IRIX,IRIDEX Corporation 
KCAP,KCAP Financial Inc. 
KEYW,The KEYW Holding Corporation 
KRO,Kronos Worldwide Inc Common Sto 
LHCG,LHC Group 
LMIA,LMI Aerospace Inc. 
LOAN,Manhattan Bridge Capital Inc 
MGPI,MGP Ingredients Inc. 
NL,NL Industries Inc. Common Stoc 
NSYS,Nortech Systems Incorporated 
NWPX,Northwest Pipe Company 
OMER,Omeros Corporation 
PCTI,PC-Tel Inc. 
PLCE,The Children's Place Retail Sto 
PTX,Pernix Therapeutics Holdings I 
RAVN,Raven Industries Inc. 
REFR,Research Frontiers Incorporated 
SCMP,Sucampo Pharmaceuticals Inc. 
SHEN,Shenandoah Telecommunications C 
SMRT,Stein Mart Inc. 
SMTC,Semtech Corporation 
SPPI,Spectrum Pharmaceuticals Inc. 
TACT,TransAct Technologies Incorpora 
TECD,Tech Data Corporation 
THLD,Threshold Pharmaceuticals Inc. 
TLP,Transmontaigne Partners L.P. Tr 
TTEC,TeleTech Holdings Inc. 
UBA,Urstadt Biddle Properties Inc.  
UMH,UMH Properties Inc. Common Sto 
UNFI,United Natural Foods Inc. 
VAL,Valspar Corporation (The) Commo 
VRA,Vera Bradley Inc. 
VVUS,VIVUS Inc. 
WEYS,Weyco Group Inc. 
WLDN,Willdan Group Inc. 
WLFC,Willis Lease Finance Corporatio 
WMK,Weis Markets Inc. Common 
WPCS,WPCS International Incorporated 
BIOL, Biolase  Inc. 
BKEP, Blueknight Energy Partners L.P. 
CEB, Corporate Executive Board Compa 
CRDS, Crossroads Systems  Inc. 
EXA, Exa Corporation 
FF, FutureFuel Corp.  Common shares 
GALE, Galena Biopharma  Inc. 
GNE, Genie Energy Ltd. Class B Commo 
HALL, Hallmark Financial Services  In 
HHS, Harte-Hanks  Inc. Common 
HIL, Hill International  Inc. Common 
HOV, Hovnanian Enterprises  Inc. Cla 
HWCC, Houston Wire & Cable Company 
ICAD, icad inc. 
IDRA, Idera Pharmaceuticals  Inc. 
IFMI, Institutional Financial Markets 
IFON, InfoSonics Corp 
III, Information Services Group  Inc 
IRG, Ignite Restaurant Group  Inc. 
OCC, Optical Cable Corporation 
ORBT, Orbit International Corporation 
RATE, Bankrate  Inc. Common 
TAX, JTH Holding Inc. D/B/A Liberty  
TST, TheStreet  Inc. 
VNET, 21Vianet Group  Inc. 
TTPH,Tetraphase Pharmaceuticals Inc. 
TNDM,Tandem Diabetes Care Inc. 
TGTX,TG Therapeutics Inc. 
PLPM,Planet Payment Inc. 
PME,Pingtan Marine Enterprise Ltd. 
OMED,OncoMed Pharmaceuticals Inc. 
MRTX,Mirati Therapeutics Inc. 
JONE,Jones Energy Inc. 
GTT,GTT Communications Inc. 
EVOK,Evoke Pharma Inc. 
CSTM,Constellium N.V 
CNAT,Conatus Pharmaceuticals Inc. 
CGIX,Cancer Genetics Inc. 
VTNR,Vertex Energy Inc. 
CERU,Cerulean Pharma Inc. 
DRNA,Dicerna Pharmaceuticals Inc. 
GPRK,GeoPark Limited 
HEAR,Parametric Sound Corporation 
LPCN,Lipocine Inc. 
TRVN,Trevena Inc. 
WATT,Energous Corporation 
CLRB,Cellectar Biosciences Inc.
GWGH,GWG Holdings Inc
HSGX,Histogenics Corporation
JPEP,JP Energy Partners LP Common un
MRNS,Marinus Pharmaceuticals Inc.
SCYX,SCYNEXIS Inc.
SFS,Smart & Final Stores Inc. Comm
USDP,USD Partners LP Common Units re
VISI,Volt Information Sciences Inc.
XENE,Xenon Pharmaceuticals Inc.
BCLI,Brainstorm Cell Therapeutics In
AGRX,Agile Therapeutics Inc.
ADPT,Adeptus Health Inc. Common Stoc
OA,Orbital ATK Inc. Common
MXPT,MaxPoint Interactive Inc. Comm
HCHC,HC2 HOLDINGS INC
FLKS,Flex Pharma Inc.
ZAIS,ZAIS Group Holdings Inc.
RKDA,Arcadia Biosciences  Inc.
PULM,Pulmatrix  Inc.
ONCS,OncoSec Medical Incorporated
ABEO,Abeona Therapeutics Inc. 
XTLY,Xactly Corporation
BETR,Amplify Snack Brands
RUN,Sunrun
PXS,Pyxis Tankers Inc.
WINS,Wins Finance Holdings Inc.
YIN,Yintech Investment Holdings Limited
TLRD,Tailored Brands  Inc.
