ABTL,Autobytel Inc. 
ACTG,Acacia Research Corporation 
AE,Adams Resources & Energy Inc.  
AGEN,Agenus Inc. 
AGM,Federal Agricultural Mortgage C 
AIQ,Alliance HealthCare Services I 
AREX,Approach Resources Inc. 
ATHX,Athersys Inc. 
BOOM,Dynamic Materials Corporation 
BTN,Ballantyne Strong Inc. Common  
BVX,Bovie Medical Corporation Commo 
CASM,CAS Medical Systems Inc. 
CDXS,Codexis Inc. 
CECE,CECO Environmental Corp. 
CLRO,ClearOne Communications Inc. 
CMLS,Cumulus Media Inc. 
CRIS,Curis Inc. 
CTHR,Charles & Colvard Ltd 
CYTR,CytRx Corporation 
DGLY,Digital Ally Inc. 
DSWL,Deswell Industries Inc. 
DVAX,Dynavax Technologies Corporatio 
EGT,Entertaining Gaming Asia Incorp 
FALC,FalconStor Software Inc. 
FCEL,FuelCell Energy Inc. 
FGP,Ferrellgas Partners L.P. Commo 
FIZZ,National Beverage Corp. 
FLY,Fly Leasing Limited 
FNSR,Finisar Corporation 
GCAP,GAIN Capital Holdings Inc. Com 
GLF,GulfMark Offshore Inc. New Com 
GLP,Global Partners LP Global Partn 
GMO,General Moly Inc. Common 
GNVC,GenVec Inc. 
GST,Gastar Exploration Ltd New Ordi 
INAP,Internap Network Services Corpo 
INS,Intelligent Systems Corporation 
INTT,inTest Corporation 
JVA,Coffee Holding Co. Inc. 
KRO,Kronos Worldwide Inc Common Sto 
LMIA,LMI Aerospace Inc. 
LOAN,Manhattan Bridge Capital Inc 
MED,MEDIFAST INC Common 
MLNK,ModusLink Global Solutions Inc 
MYRG,MYR Group Inc. 
NGS,Natural Gas Services Group Inc 
NL,NL Industries Inc. Common Stoc 
OMER,Omeros Corporation 
ORN,Orion Marine Group Inc Common 
PAY,Verifone Systems Inc. Common S 
PGNX,Progenics Pharmaceuticals Inc. 
PIP,PharmAthene Inc Common 
PKOH,Park-Ohio Holdings Corp. 
PLUG,Plug Power Inc. 
PRSC,The Providence Service Corporat 
PTX,Pernix Therapeutics Holdings I 
QADA,QAD Inc. 
REFR,Research Frontiers Incorporated 
REIS,Reis Inc 
SFUN,SouFun Holdings Limited America 
SHEN,Shenandoah Telecommunications C 
SHLO,Shiloh Industries Inc. 
SIG,Signet Jewelers Limited Common  
SMSI,Smith Micro Software Inc. 
SNSS,Sunesis Pharmaceuticals Inc. 
SPLS,Staples Inc. 
STRL,Sterling Construction Company I 
TCRD,THL Credit Inc. 
TEAR,TearLab Corporation 
THLD,Threshold Pharmaceuticals Inc. 
TISA,Top Image Systems Ltd. 
TLF,Tandy Leather Factory Inc. 
UBA,Urstadt Biddle Properties Inc.  
UEC,Uranium Energy Corp. Common Sto 
URRE,Uranium Resources Inc. 
VALU,Value Line Inc. 
VHI,Valhi Inc. Common 
VICL,Vical Incorporated 
WLDN,Willdan Group Inc. 
WLFC,Willis Lease Finance Corporatio 
WPCS,WPCS International Incorporated 
XCO,EXCO Resources Inc. Exco Resou 
XOMA,XOMA Corporation 
ZGNX,Zogenix Inc. 
ZUMZ,Zumiez Inc. 
CEB, Corporate Executive Board Compa 
CRDS, Crossroads Systems  Inc. 
EGL, Engility Holdings  Inc. Common  
ESTE, Earthstone Energy  Inc. Common  
FNHC, Federated National Holding Comp 
GALE, Galena Biopharma  Inc. 
GVP, GSE Systems  Inc. Common 
HALL, Hallmark Financial Services  In 
HBIO, Harvard Bioscience  Inc. 
HHS, Harte-Hanks  Inc. Common 
HRT, Arrhythmia Research Technology  
HWCC, Houston Wire & Cable Company 
IDRA, Idera Pharmaceuticals  Inc. 
IFMI, Institutional Financial Markets 
IFON, InfoSonics Corp 
IGT, International Game Technology C 
IMUC, ImmunoCellular Therapeutics  Lt 
MEMP, Memorial Production Partners LP 
MYE, Myers Industries  Inc. Common S 
ORBT, Orbit International Corporation 
SPLP, Steel Partners Holdings LP LTD  
TGTX,TG Therapeutics Inc. 
STRP,Straight Path Communications Inc. 
SGM,Stonegate Mortgage Corporation 
RVLT,Revolution Lighting Technologies Inc. 
PPSI,Pioneer Power Solutions Inc. 
NVEE,NV5 Holdings Inc. 
MRTX,Mirati Therapeutics Inc. 
MMI,Marcus & Millichap Inc. 
FCSC,Fibrocell Science Inc. 
EPZM,Epizyme Inc. 
CGIX,Cancer Genetics Inc. 
ARIS,ARI Network Services Inc. 
ACSF,American Capital Senior Floatin 
AQXP,Aquinox Pharmaceuticals Inc. 
BLFS,BioLife Solutions Inc. 
CARA,Cara Therapeutics Inc. 
CERU,Cerulean Pharma Inc. 
CRCM,Care.com Inc. 
EGLT,Egalet Ltd. 
FLXN,Flexion Therapeutics Inc. 
MRVC,MRV Communications Inc. 
RGSE,Real Goods Solar Inc. 
SCM,Stellus Capital Investment Corporation 
SYRX,Sysorex Global Holdings Corp. 
CLRB,Cellectar Biosciences Inc.
ERI,Eldorado Resorts Inc.
EYES,Second Sight Medical Products
FMSA,FMSA Holdings Inc. Common
FRPT,Freshpet Inc.
JPEP,JP Energy Partners LP Common un
JYNT,The Joint Corp.
LOCO,El Pollo Loco Holdings Inc.
MRNS,Marinus Pharmaceuticals Inc.
ROKA,Roka Bioscience Inc.
SCYX,SCYNEXIS Inc.
SKIS,Peak Resorts Inc.
ZFGN,Zafgen Inc.
BCLI,Brainstorm Cell Therapeutics In
ADPT,Adeptus Health Inc. Common Stoc
ACTA,Actua Corporation
ZAIS,ZAIS Group Holdings Inc.
PRTY,Party City Holdco Inc.
ONCS,OncoSec Medical Incorporated
KMPH,KemPharm  Inc.
HZN,Horizon Global Corporation
CGNT,Cogentix Medical  Inc.
BPMC,Blueprint Medicines Corporation
ABEO,Abeona Therapeutics Inc. 
UFAB,Unique Fabricating  Inc.
AGFS,AgroFresh Solutions  Inc.
DMTX,Dimension Therapeutics  Inc.
SAUC,Diversified Restaurant Holdings  Inc.
SGRY,Surgery Partners  Inc.
WINS,Wins Finance Holdings Inc.
XTNT,Xtant Medical Holdings  Inc.
BSTG,Biostage  Inc.
RILY,B. Riley Financial  Inc.
SSKN,Strata Skin Sciences  Inc.
COE,China Online Education Group
APFH,AdvancePierre Foods Holdings  Inc.
COGT,Cogint Inc 
