ABCD,Cambium Learning Group Inc. 
ADES,ADA-ES Inc. 
ALSK,Alaska Communications Systems G 
AMOT,Allied Motion Technologies Inc 
AP,Ampco-Pittsburgh Corporation Co 
ARNA,Arena Pharmaceuticals Inc. 
ATEC,Alphatec Holdings Inc. 
AVEO,AVEO Pharmaceuticals Inc. 
AVID,Avid Technology Inc. 
AXR,AMREP Corporation Common 
BONT,The Bon-Ton Stores Inc. 
BSTC,BioSpecifics Technologies Corp 
CIA,Citizens Inc. Class A Common S 
CIE,Cobalt International Energy In 
CLDX,Celldex Therapeutics Inc. 
CLRO,ClearOne Communications Inc. 
CRMD,CorMedix Inc Common 
CUR,Neuralstem Inc. Common 
DRRX,DURECT Corporation 
DSW,DSW Inc. Common 
EEI,Ecology and Environment Inc. 
EGAS,Gas Natural Inc. Common 
ENOC,EnerNOC Inc. 
EVOL,Evolving Systems Inc. 
FTEK,Fuel Tech Inc. 
INFI,Infinity Pharmaceuticals Inc. 
INO,Inovio Pharmaceuticals Inc. Co 
KNDI,Kandi Technolgies Corp. 
LTBR,Lightbridge Corporation 
LWAY,Lifeway Foods Inc. 
MSON,MISONIX Inc. 
RDNT,RadNet Inc. 
RPRX,Repros Therapeutics Inc. 
RRTS,Roadrunner Transportation Syste 
RST,Rosetta Stone Rosetta Stone In 
SHEN,Shenandoah Telecommunications C 
SHIP,Seanergy Maritime Holdings Corp 
SMTX,SMTC Corporation 
STRS,Stratus Properties Inc. 
SYNL,Synalloy Corporation 
TINY,Harris & Harris Group Inc. 
TLP,Transmontaigne Partners L.P. Tr 
TRIB,Trinity Biotech plc 
TWER,Towerstream Corporation 
WAC,Walter Investment Management Co 
ATRS, Antares Pharma  Inc. 
CCXI, ChemoCentryx  Inc. 
CUI, CUI Global  Inc. 
FAC, First Acceptance Corp 
FEIM, Frequency Electronics  Inc. 
GALT, Galectin Therapeutics Inc. 
GURE, Gulf Resources  Inc. 
GV, Goldfield Corporation (The) Com 
HCOM, Hawaiian Telcom Holdco  Inc. 
HHS, Harte-Hanks  Inc. Common 
HTHT, China Lodging Group  Limited 
IFMI, Institutional Financial Markets 
NPTN, NeoPhotonics Corporation 
STML,Stemline Therapeutics Inc. 
FTD,FTD Companies Inc. 
ELSE,Electro-Sensors Inc. 
CRVP,Crystal Rock Holdings Inc. 
CHMI,Cherry Hill Mortgage Investment Corporation 
YY,YY Inc. 
AKAO,Achaogen  Inc. 
BPTH,Bio-Path Holdings Inc. 
RUBI,the Rubicon Project Inc. 
RXDX,Ignyta Inc. 
CFRX,ContraFect Corporation
CNXR,Connecture Inc.
EARS,Auris Medical Holding AG
OHAI,OHA Investment Corporation
PRTO,Proteon Therapeutics Inc.
SIEN,Sientra Inc.
VRTV,Veritiv Corporation Common Stoc
CBMG,Cellular Biomedicine Group Inc
ARDM,Aradigm Corporation
ABAC,Aoxin Tianli Group Inc.
PN,Patriot National Inc. Common S
FOGO,Fogo de Chao  Inc.
EVRI,Everi Holdings Inc.
KURA,Kura Oncology  Inc.
NXRT,NexPoint Residential Trust  Inc. 
PLSE,Pulse Biosciences  Inc.
WKHS,Workhorse Group Inc.
TRTN,Triton International Limited
CLSD,Clearside BioMedical  Inc.
