ABIO,ARCA biopharma Inc. 
ALOT,Astro-Med Inc. 
ARTX,Arotech Corporation 
ATEC,Alphatec Holdings Inc. 
AVEO,AVEO Pharmaceuticals Inc. 
AVID,Avid Technology Inc. 
AXAS,Abraxas Petroleum Corporation 
AXR,AMREP Corporation Common 
BSTC,BioSpecifics Technologies Corp 
CALL,magicJack VocalTec Ltd 
CBK,Christopher & Banks Corporation 
CIA,Citizens Inc. Class A Common S 
CPRX,Catalyst Pharmaceutical Partner 
CRMD,CorMedix Inc Common 
CUR,Neuralstem Inc. Common 
CWCO,Consolidated Water Co. Ltd. 
EEI,Ecology and Environment Inc. 
EGAS,Gas Natural Inc. Common 
EMAN,eMagin Corporation Common 
EVOL,Evolving Systems Inc. 
GES,Guess? Inc. Common 
INO,Inovio Pharmaceuticals Inc. Co 
JBL,Jabil Circuit Inc. Common Stoc 
KNDI,Kandi Technolgies Corp. 
LTBR,Lightbridge Corporation 
LTS,Ladenburg Thalmann Financial Se 
LWAY,Lifeway Foods Inc. 
MCF,Contango Oil & Gas Company Comm 
MLR,Miller Industries Inc. Common  
ORCL,Oracle Corporation 
PRMW,Primo Water Corporation 
RAVN,Raven Industries Inc. 
RMTI,Rockwell Medical Inc. 
RPRX,Repros Therapeutics Inc. 
SHEN,Shenandoah Telecommunications C 
SHIP,Seanergy Maritime Holdings Corp 
STRS,Stratus Properties Inc. 
TINY,Harris & Harris Group Inc. 
TWER,Towerstream Corporation 
TWI,Titan International Inc. Commo 
VRS,Verso Paper Corp. Common 
WSM,Williams-Sonoma Inc. Common St 
ARCO, Arcos Dorados Holdings Inc. Cla 
GALE, Galena Biopharma  Inc. 
GALT, Galectin Therapeutics Inc. 
GTXI, GTx  Inc. 
GURE, Gulf Resources  Inc. 
GV, Goldfield Corporation (The) Com 
HHS, Harte-Hanks  Inc. Common 
NEON, Neonode Inc. 
SYNC, Synacor  Inc. 
TROV, TrovaGene  Inc. 
STML,Stemline Therapeutics Inc. 
SAEX,SAExploration Holdings Inc. 
REI,Ring Energy Inc. 
ORM,Owens Realty Mortgage Inc. 
HCAP,Harvest Capital Credit Corporation 
EVOK,Evoke Pharma Inc. 
ELSE,Electro-Sensors Inc. 
CRVP,Crystal Rock Holdings Inc. 
CNAT,Conatus Pharmaceuticals Inc. 
AWX,Avalon Holdings Corp. 
CELP,Cypress Energy Partners L.P. 
DRNA,Dicerna Pharmaceuticals Inc. 
FRSH,Papa Murphy's Holdings Inc. 
OFS,OFS Capital Corporation 
CFRX,ContraFect Corporation
HRTG,Heritage Insurance Holdings In
INNL,Innocoll AG
MMAC,MMA Capital Management LLC
PFNX,Pfenex Inc. Common
PRTO,Proteon Therapeutics Inc.
QRHC,Quest Resource Holding Corporat
ARDM,Aradigm Corporation
CHEK,Check-Cap Ltd.
CAPR,CAPRICOR THERAP
FBIO,Fortress Biotech  Inc.
ERN,Erin Energy Corporation
CVRS,Corindus Vascular Robotics Inc.
ALRM,Alarm.com Holdings  Inc. 
AIMT,Aimmune Therapeutics
NRE,Northstar Realty Europe Corp.
VYGR,Voyager Therapeutics  Inc.
FH,FORM Holdings Corp.
SHSP,SharpSpring  Inc.
SITE,SiteOne Landscape Supply  Inc.
YRD,Yirendai Ltd.
OR,Osisko Gold Royalties Ltd.
GEMP,Gemphire Therapeutics Inc.
