ASUR,Asure Software Inc 
BBGI,Beasley Broadcast Group Inc. 
CCIH,ChinaCache International Holdin 
CIA,Citizens Inc. Class A Common S 
DCTH,Delcath Systems Inc. 
GIII,G-III Apparel Group LTD. 
INTX,Intersections Inc. 
JMBA,Jamba Inc. 
MOV,Movado Group Inc. Common 
PESI,Perma-Fix Environmental Service 
RFIL,RF Industries Ltd. 
RRTS,Roadrunner Transportation Syste 
SHEN,Shenandoah Telecommunications C 
SOL,Renesola Ltd. Common Shares of  
HHS, Harte-Hanks  Inc. Common 
NQ, NQ Mobile Inc. American Deposit 
SVT, Servotronics  Inc. Common 
DXLG,Destination XL Group Inc. 
GLMD,Galmed Pharmaceuticals Ltd. 
FSNN,Fusion Telecommunications Inter
LEU,Centrus Energy Corp. Class A Co
PIRS,Pieris Pharmaceuticals  Inc.
COE,China Online Education Group
