AMS,American Shared Hospital Servic 
CALM,Cal-Maine Foods Inc. 
CCIH,ChinaCache International Holdin 
CONN,Conn's Inc. 
CPHC,Canterbury Park Holding Corpora 
DEST,Destination Maternity Corporati 
DGLY,Digital Ally Inc. 
ELTK,Eltek Ltd. 
GIII,G-III Apparel Group LTD. 
PFIN,P & F Industries Inc. 
RAVN,Raven Industries Inc. 
RHT,Red Hat Inc. Common 
SNX,Synnex Corporation Common 
UG,United-Guardian Inc. 
AFB, AllianceBernstein National Muni 
AKP, Alliance California Municipal I 
HEB, Hemispherx BioPharma  Inc. Comm 
HH, Hooper Holmes  Inc. Common Stoc 
RH,Restoration Hardware Holdings Inc. 
ONTX,Onconova Therapeutics Inc. 
NSPR,InspireMD Inc. 
HOTR,Chanticleer Holdings Inc. 
EVK,Ever-Glory International Group Inc. 
ARGS,Argos Therapeutics  Inc. 
NVFY,Nova Lifestyle Inc. 
VBLT,Vascular Biogenics Ltd.
WHLM,Wilhelmina International Inc.
CASI,CASI Pharmaceuticals Inc.
STDY,STEADYMED LTD.
ZYNE,Zynerba Pharmaceuticals
COYN,COPsync  Inc.
DFFN,Diffusion Pharmace
BGNE,BeiGene  Ltd.
GMRE,Global Medical REIT  Inc.
MATN,Mateon Therapeutics  Inc.
SELB,Selecta Biosciences  Inc. 
