ACFN,Acorn Energy Inc. 
AEHR,Aehr Test Systems 
ANGO,AngioDynamics Inc. 
ARCI,Appliance Recycling Centers of  
ARL,American Realty Investors Inc. 
ASA,ASA  Gold and Precious Metals L 
ATRM,Aetrium Incorporated 
BSET,Bassett Furniture Industries I 
CAAS,China Automotive Systems Inc. 
CHCI,Comstock Holding Companies Inc 
CPHI,China Pharma Holdings Inc. Com 
CVV,CVD Equipment Corporation 
DPW,Digital Power Corporation Commo 
EGLE,Eagle Bulk Shipping Inc. 
FC,Franklin Covey Company Common S 
FPP,FieldPoint Petroleum Corporatio 
FSI,Flexible Solutions Internationa 
GBR,New Concept Energy Inc Common  
GLF,GulfMark Offshore Inc. New Com 
LIME,Lime Energy Co. 
LNN,Lindsay Corporation Common Stoc 
NFEC,NF Energy Saving Corporation 
NLST,Netlist Inc. 
NTZ,Natuzzi S.p.A. 
OBCI,Ocean Bio-Chem Inc. 
PRKR,ParkerVision Inc. 
PSID,POSITIVEID CORPORATI 
QCCO,QC Holdings Inc. 
SNAK,Inventure Foods Inc. 
SNFCA,Security National Financial Cor 
TCI,Transcontinental Realty Investo 
TGC,Tengasco Inc. Common 
TITN,Titan Machinery Inc. 
UQM,UQM TECHNOLOGIES INC Common Sto 
WOR,Worthington Industries Inc. Co 
WYY,WidePoint Corporation Common St 
AFB, AllianceBernstein National Muni 
AKP, Alliance California Municipal I 
CLNT, Cleantech Solutions Internation 
HEB, Hemispherx BioPharma  Inc. Comm 
HH, Hooper Holmes  Inc. Common Stoc 
IDN, Intellicheck Mobilisa  Inc. Com 
MARK, Remark Media  Inc. 
NETE, Net Element International  Inc. 
OBAS, Optibase Ltd. 
ROSG, Rosetta Genomics Ltd. 
RVP, Retractable Technologies  Inc.  
SGRP, SPAR Group  Inc. 
UNXL, Uni-Pixel  Inc. 
ZX, China Zenix Auto International  
SAIC,Science Applications International Corporation 
NSPR,InspireMD Inc. 
LIQT,LiqTech International Inc. 
IPDN,Professional Diversity Network LLC 
ERS,Empire Resources Inc. 
BDR,Blonder Tongue Laboratories Inc. 
ATOS,Atossa Genetics Inc. 
VJET,Voxeljet AG 
AKER,Akers Biosciences Inc. 
ARGS,Argos Therapeutics  Inc. 
DRNA,Dicerna Pharmaceuticals Inc. 
NVFY,Nova Lifestyle Inc. 
RXII,RXi Pharmaceuticals Corporation 
MARA,Marathon Patent Group Inc.
NDRM,NeuroDerm Ltd.
PVCT,Provectus Biopharmaceuticals I
RESN,Resonant Inc.
CASI,CASI Pharmaceuticals Inc.
ALDX,Aldeyra Therapeutics Inc.
AFMD,Affimed N.V.
ADPT,Adeptus Health Inc. Common Stoc
OHGI,One Horizon Group Inc.
HLG,Hailiang Education Group Inc.
STKS,The ONE Group Hospitality  Inc.
COYN,COPsync  Inc.
DFFN,Diffusion Pharmace
FH,FORM Holdings Corp.
NOMD,Nomad Foods Limited
MATN,Mateon Therapeutics  Inc.
MSDI,Monster Digital  Inc.
NH,NantHealth  Inc.
DVMT,Dell Technologies Inc.
