ACOR,Acorda Therapeutics Inc. 
ADM,Archer-Daniels-Midland Company  
AET,Aetna Inc. Common 
AFG,American Financial Group Inc.  
AGCO,AGCO Corporation Common 
AKS,AK Steel Holding Corporation Co 
ALNY,Alnylam Pharmaceuticals Inc. 
AMOT,Allied Motion Technologies Inc 
AMRS,Amyris Inc. 
AMSC,American Superconductor Corpora 
AMT,American Tower Corporation (REI 
ANH,Anworth Mortgage Asset Corporat 
APC,Anadarko Petroleum Corporation  
APT,Alpha Pro Tech Ltd. Common Sto 
ARII,American Railcar Industries In 
ARRY,Array BioPharma Inc. 
ARTNA,Artesian Resources Corporation 
BBG,Bill Barrett Corporation Common 
BBOX,Black Box Corporation 
BGFV,Big 5 Sporting Goods Corporatio 
BGS,B&G Foods Inc. B&G Foods Inc. 
BPOP,Popular Inc. 
CBT,Cabot Corporation Common 
CHKP,Check Point Software Technologi 
CHRW,C.H. Robinson Worldwide Inc. 
CIX,CompX International Inc. Common 
CLDT,Chatham Lodging Trust (REIT) Co 
CMI,Cummins Inc. Common 
CNX,CONSOL Energy Inc. Common 
CPLA,Capella Education Company 
CRVL,CorVel Corp. 
DBD,Diebold Incorporated Common St 
DDD,3D Systems Corporation Common S 
DMRC,Digimarc Corporation 
DRRX,DURECT Corporation 
DVN,Devon Energy Corporation Common 
ECL,Ecolab Inc. Common 
ENSG,The Ensign Group Inc. 
FDP,Fresh Del Monte Produce Inc. C 
FFIC,Flushing Financial Corporation 
FIS,Fidelity National Information S 
FISV,Fiserv Inc. 
FLWS,1-800 FLOWERS.COM Inc. 
FORM,FormFactor Inc. 
FSP,Franklin Street Properties Corp 
FTR,Frontier Communications Corpora 
GEO,Geo Group Inc (The) Common Stoc 
GGP,General Growth Properties Inc. 
GLDD,Great Lakes Dredge & Dock Corpo 
GLT,Glatfelter Common 
GOOD,Gladstone Commercial Corporatio 
GOV,Government Properties Income Tr 
INCY,Incyte Corporation 
IO,Ion Geophysical Corporation Com 
IPGP,IPG Photonics Corporation 
IPHI,Inphi Corporation Common 
IPHS,Innophos Holdings Inc. 
ITIC,Investors Title Company 
IXYS,IXYS Corporation 
JCTCF,Jewett-Cameron Trading Company 
K,Kellogg Company Common 
KAR,KAR Auction Services Inc Commo 
KBR,KBR Inc. Common 
KCAP,KCAP Financial Inc. 
KFRC,Kforce Inc. 
LBY,Libbey Inc. Common 
LL,Lumber Liquidators Holdings In 
MA,Mastercard Incorporated Common  
MASI,Masimo Corporation 
MGRC,McGrath RentCorp 
MGYR,Magyar Bancorp Inc. 
MLP,Maui Land & Pineapple Company  
MOD,Modine Manufacturing Company Co 
MOS,Mosaic Company (The) Common Sto 
MSM,MSC Industrial Direct Company  
NFX,Newfield Exploration Company Co 
NPO,Enpro Industries Inc 
OIIM,O2Micro International Limited 
OKE,ONEOK Inc. Common 
OSK,Oshkosh Corporation Common Stoc 
PEG,Public Service Enterprise Group 
PEIX,Pacific Ethanol Inc. 
PFE,Pfizer Inc. Common 
PICO,PICO Holdings Inc. 
PLT,Plantronics Inc. Common 
QUAD,Quad Graphics Inc Class A Comm 
RGR,Sturm Ruger & Company Inc. Co 
RGS,Regis Corporation Common 
RPT,Ramco-Gershenson Properties Tru 
RRD,R.R. Donnelley & Sons Company 
SB,Safe Bulkers Inc Common 
SEB,Seaboard Corporation Common Sto 
SHOO,Steven Madden Ltd. 
SSW,Seaspan Corporation Seaspan Cor 
SYX,Systemax Inc. Common 
TECH,Techne Corporation 
TNH,Terra Nitrogen Company L.P. Co 
TOWR,Tower International Inc. Commo 
TRNO,Terreno Realty Corporation Comm 
TX,Ternium S.A. Ternium S.A. Ameri 
TYPE,Monotype Imaging Holdings Inc. 
UA,Under Armour Inc. Class A Comm 
UFPT,UFP Technologies Inc. 
VRSK,Verisk Analytics Inc. 
WCG,Wellcare Health Plans Inc. Com 
WES,Western Gas Partners LP Limite 
WFT,Weatherford International Ltd  
WLB,Westmoreland Coal Company 
WNC,Wabash National Corporation Com 
WR,Westar Energy Inc. Common Stoc 
WTR,Aqua America Inc. Common 
WTT,Wireless Telecom Group  Inc. C 
X,United States Steel Corporation 
ATTU, Attunity Ltd. 
BKEP, Blueknight Energy Partners L.P. 
BKU, BankUnited  Inc. Common 
CG, The Carlyle Group L.P. 
EA, Electronic Arts Inc. 
ETN, Eaton Corporation Common 
FET, Forum Energy Technologies  Inc. 
GWR, Genesee & Wyoming Inc. Class A  
HCA, HCA Holdings  Inc. Common 
