ACHN,Achillion Pharmaceuticals Inc. 
ACXM,Acxiom Corporation 
AGN,Allergan Inc. Common 
ALE,Allete Inc. 
ALIM,Alimera Sciences Inc. 
ALL,Allstate Corporation (The) Comm 
AM,American Greetings Corporation  
ANSS,ANSYS Inc. 
AREX,Approach Resources Inc. 
ARI,Apollo Commercial Real Estate F 
ARRS,Arris Group Inc 
ATRC,AtriCure Inc. 
ATRI,ATRION Corporation 
AUMN,Golden Minerals Co. Common Stoc 
AVA,Avista Corporation Common 
AWK,American Water Works Company I 
BBRG,Bravo Brio Restaurant Group In 
BDC,Belden Inc Common 
BG,Bunge Limited Bunge Limited 
BGC,General Cable Corporation Commo 
BXP,Boston Properties Inc. Common  
CACI,CACI International Inc. Class  
CAKE,The Cheesecake Factory Incorpor 
CAVM,Cavium Inc. 
CCRN,Cross Country Healthcare Inc. 
CEVA,CEVA Inc. 
CF,CF Industries Holdings Inc. Co 
CHDN,Churchill Downs Incorporated 
CLH,Clean Harbors Inc. Common Stoc 
CLX,Clorox Company (The) Common Sto 
CMT,Core Molding Technologies Inc C 
CQP,Cheniere Energy Partners LP Ch 
CRIS,Curis Inc. 
CSGS,CSG Systems International Inc. 
CSU,Capital Senior Living Corporati 
CTRP,Ctrip.com International Ltd. 
CTSH,Cognizant Technology Solutions  
CVI,CVR Energy Inc. Common 
CWST,Casella Waste Systems Inc. 
CYH,Community Health Systems Inc.  
DENN,Denny's Corporation 
DMLP,Dorchester Minerals L.P. 
DNB,Dun & Bradstreet Corporation (T 
DX,Dynex Capital Inc. Common Stoc 
DXCM,DexCom Inc. 
EAT,Brinker International Inc. Com 
EE,El Paso Electric Company Common 
EGOV,NIC Inc. 
EL,Estee Lauder Companies Inc. (T 
EML,Eastern Company (The) 
ENG,ENGlobal Corporation 
EQIX,Equinix Inc. 
ES,EnergySolutions Inc Common Stoc 
ESIO,Electro Scientific Industries  
ESS,Essex Property Trust Inc. Comm 
EXEL,Exelixis Inc. 
EXR,Extra Space Storage Inc Common  
FICO,Fair Isaac Incorporated Commo 
FIG,Fortress Investment Group LLC C 
FLOW,Flow International Corporation 
FLS,Flowserve Corporation Common St 
FLT,FleetCor Technologies Inc. Com 
FOE,Ferro Corporation Common 
FRT,Federal Realty Investment Trust 
GAIN,Gladstone Investment Corporatio 
GEN,GenOn Energy Inc. Common 
GLDD,Great Lakes Dredge & Dock Corpo 
GLUU,Glu Mobile Inc. 
GNCMA,General Communication Inc. 
GNRC,Generac Holdlings Inc. Common S 
GPOR,Gulfport Energy Corporation 
GPRE,Green Plains Renewable Energy  
GPRO,Gen-Probe Incorporated 
GRMN,Garmin Ltd. 
GRPN,Groupon Inc. 
IO,Ion Geophysical Corporation Com 
IPAS,iPass Inc. 
IRIX,IRIDEX Corporation 
IRWD,Ironwood Pharmaceuticals Inc. 
ITG,Investment Technology Group In 
ITRI,Itron Inc. 
JCS,Communications Systems Inc. 
KEX,Kirby Corporation Common 
KMT,Kennametal Inc. Common 
LBTYA,Liberty Global Inc. 
LFUS,Littelfuse Inc. 
LGCY,Legacy Reserves LP 
LINC,Lincoln Educational Services Co 
LNC,Lincoln National Corporation Co 
LOPE,Grand Canyon Education Inc. 
LPSN,LivePerson Inc. 
LSI,LSI Corporation Common 
MANT,ManTech International Corporati 
MD,Mednax Inc. Common 
MDR,McDermott International Inc. C 
MET,MetLife Inc. Common 
MFNC,Mackinac Financial Corporation 
MGEE,MGE Energy Inc. 
MGLN,Magellan Health Services Inc. 
MIC,Macquarie Infrastructure Compan 
MMYT,MakeMyTrip Limited 
MNDO,MIND C.T.I. Ltd. 
MNTA,Momenta Pharmaceuticals Inc. 
MRO,Marathon Oil Corporation Common 
MUR,Murphy Oil Corporation Common S 
MUSA,Metals USA Holdings Corp. Commo 
MWA,MUELLER WATER PRODUCTS Common S 
MYRG,MYR Group Inc. 
NBIX,Neurocrine Biosciences Inc. 
NC,NACCO Industries Inc. Common S 
NEWS,NewStar Financial Inc. 
NEWT,Newtek Business Services Inc. 
NHC,National HealthCare Corporation 
NI,NiSource Inc Common 
NKTR,Nektar Therapeutics 
NLY,Annaly Capital Management Inc C 
NNBR,NN Inc. 
NUS,Nu Skin Enterprises Inc. Commo 
NWE,NorthWestern Corporation Common 
NXTM,NxStage Medical Inc. 
NYT,New York Times Company (The) Co 
OCLR,Oclaro Inc. 
