AAPL,Apple Inc. 
ABC,AmerisourceBergen Corporation ( 
ABTL,Autobytel Inc. 
ACET,Aceto Corporation 
ACIW,ACI Worldwide Inc. 
ACLS,Axcelis Technologies Inc. 
ADP,Automatic Data Processing Inc. 
AER,Aercap Holdings N.V. Ordinary S 
AES,The AES Corporation Common Stoc 
AGII,Argo Group International Holdin 
AGO,Assured Guaranty Ltd. Common St 
AHS,AMN Healthcare Services Inc AMN 
AHT,Ashford Hospitality Trust Inc C 
AIG,American International Group I 
AIZ,Assurant Inc. Common 
AKR,Acadia Realty Trust Common Stoc 
AMAG,AMAG Pharmaceuticals Inc. 
AME,AMETEK Inc. 
AN,AutoNation Inc. Common 
AOSL,Alpha and Omega Semiconductor L 
APA,Apache Corporation Common 
APRI,Apricus Biosciences Inc. 
ARW,Arrow Electronics Inc. Common  
ASCMA,Ascent Capital Group Inc. 
ATVI,Activision Blizzard Inc 
AVP,Avon Products Inc. Common Stoc 
AYR,Aircastle Limited Common 
BAS,Basic Energy Services Inc. Com 
BDX,Becton Dickinson and Company C 
BH,Biglari Holdings Inc. 
BIO,Bio-Rad Laboratories Inc. Clas 
BIOS,BioScrip Inc. 
BKH,Black Hills Corporation Common  
BLL,Ball Corporation Common 
BRKR,Bruker Corporation 
CALD,Callidus Software Inc. 
CATM,Cardtronics Inc. 
CBB,Cincinnati Bell Inc. Common Sto 
CBL,CBL & Associates Properties In 
CBS,CBS Corporation Class B Common  
CBZ,CBIZ Inc. Common 
CCOI,Cogent Communications Group In 
CDR,Cedar Realty Trust Inc. Common 
CECO,Career Education Corporation 
CHD,Church & Dwight Company Inc. C 
CHFN,Charter Financial Corp. 
CHK,Chesapeake Energy Corporation C 
CHSP,Chesapeake Lodging Trust Common 
CI,Cigna Corporation Common 
CIE,Cobalt International Energy In 
CIM,Chimera Investment Corporation  
CLCT,Collectors Universe Inc. 
CLNE,Clean Energy Fuels Corp. 
CNMD,CONMED Corporation 
CNSL,Consolidated Communications Hol 
COHU,Cohu Inc. 
CORT,Corcept Therapeutics Incorporat 
CPSI,Computer Programs and Systems  
CPST,Capstone Turbine Corporation 
CRK,Comstock Resources Inc. Common 
CRUS,Cirrus Logic Inc. 
CTHR,Charles & Colvard Ltd 
CVR,Chicago Rivet & Machine Co. Com 
DCO,Ducommun Incorporated Common St 
DCT,DCT Industrial Trust Inc Common 
DDR,DDR Corp. Common 
DHX,Dice Holdings Inc. Common Stoc 
DISCA,Discovery Communications Inc 
DSPG,DSP Group Inc. 
DV,DeVry Inc. Common 
DWSN,Dawson Geophysical Company 
EBS,Emergent Biosolutions Inc. Com 
ECPG,Encore Capital Group Inc 
ED,Consolidated Edison Inc. Commo 
EEP,Enbridge Energy L.P. Class A C 
EOG,EOG Resources Inc. Common Stoc 
EPAY,Bottomline Technologies Inc. 
EPD,Enterprise Products Partners L. 
ERII,Energy Recovery Inc. 
ETM,Entercom Communications Corpora 
EVC,Entravision Communications Corp 
EXC,Exelon Corporation Common 
FFG,FBL Financial Group Inc. Commo 
FLL,Full House Resorts Inc. Common 
FLR,Fluor Corporation Common 
FNGN,Financial Engines Inc. 
FSS,Federal Signal Corporation Comm 
FUN,Cedar Fair L.P. Common 
GBL,Gamco Investors Inc. Common St 
GCI,Gannett Co. Inc. Common 
GIGM,GigaMedia Limited 
GNMK,GenMark Diagnostics Inc. 
GSAT,Globalstar Inc. 
INAP,Internap Network Services Corpo 
INSM,Insmed Inc. 
IT,Gartner Inc. Common 
ITT,ITT Corporation Common 
JCOM,j2 Global Inc. 
JOE,St. Joe Company (The) Common St 
KEYW,The KEYW Holding Corporation 
KTOS,Kratos Defense & Security Solut 
KVHI,KVH Industries Inc. 
