ABCO,The Advisory Board Company 
ACY,AeroCentury Corp. Common 
ADUS,Addus HomeCare Corporation 
AEL,American Equity Investment Life 
ANDE,The Andersons Inc. 
ANH,Anworth Mortgage Asset Corporat 
ANTH,Anthera Pharmaceuticals Inc. 
ATAX,America First Tax Exempt Invest 
AWR,American States Water Company C 
BAH,Booz Allen Hamilton Holding Cor 
BAP,Credicorp Ltd. Common 
BDE,Black Diamond Inc. 
BKD,Brookdale Senior Living Inc. Co 
BSFT,BroadSoft Inc. 
CAH,Cardinal Health Inc. Common St 
CAR,Avis Budget Group Inc. 
CCC,Calgon Carbon Corporation Commo 
CFX,Colfax Corporation Common 
CHH,Choice Hotels International In 
CIA,Citizens Inc. Class A Common S 
CLDX,Celldex Therapeutics Inc. 
CNTY,Century Casinos Inc. 
CPE,Callon Petroleum Company Common 
CRC,Chromcraft Revington Inc. Comm 
CRNT,Ceragon Networks Ltd. 
CSWC,Capital Southwest Corporation 
CTIC,Cell Therapeutics Inc. 
CTWS,Connecticut Water Service Inc. 
CUR,Neuralstem Inc. Common 
CVGI,Commercial Vehicle Group Inc. 
CVS,CVS Caremark Corporation Common 
CXO,Concho Resources Inc. Common St 
DHT,DHT Holdings Inc. 
DRH,Diamondrock Hospitality Company 
DVAX,Dynavax Technologies Corporatio 
EFC,Ellington Financial LLC Common  
EFX,Equifax Inc. Common 
EGLE,Eagle Bulk Shipping Inc. 
ESGR,Enstar Group Limited 
EXPD,Expeditors International of Was 
FBP,First BanCorp. New Common 
FBSS,Fauquier Bankshares Inc. 
FMC,FMC Corporation Common 
FN,Fabrinet Ordinary Shares 
FUNC,First United Corporation 
IPCC,Infinity Property and Casualty  
ISR,IsoRay Inc. Common 
IVR,INVESCO MORTGAGE CAPITAL INC Co 
IXYS,IXYS Corporation 
JLL,Jones Lang LaSalle Incorporated 
JMBA,Jamba Inc. 
KERX,Keryx Biopharmaceuticals Inc. 
KFFB,Kentucky First Federal Bancorp 
KND,Kindred Healthcare Inc. Common 
KORS,Michael Kors Holdings Limited O 
KRO,Kronos Worldwide Inc Common Sto 
LAMR,Lamar Advertising Company 
LCI,Lannett Co Inc Common 
LHCG,LHC Group 
LPX,Louisiana-Pacific Corporation C 
MCHP,Microchip Technology Incorporat 
MG,Mistras Group Inc Common 
MIDD,The Middleby Corporation 
MTW,Manitowoc Company Inc. (The) C 
MYL,Mylan Inc. 
NAII,Natural Alternatives Internatio 
NCMI,National CineMedia Inc. 
NRIM,Northrim BanCorp Inc 
NXST,Nexstar Broadcasting Group Inc 
OLP,One Liberty Properties Inc. Co 
PBT,Permian Basin Royalty Trust Com 
PCLN,priceline.com Incorporated 
PDCE,Pioneer Drilling Company Common 
PHII,PHI Inc. 
PLOW,Douglas Dynamics Inc. Common S 
POPE,Pope Resources 
PRA,ProAssurance Corporation Common 
QGEN,Qiagen N.V. 
RBC,Regal Beloit Corporation Common 
RDCM,Radcom Ltd. 
REN,Resolute Energy Corporation Com 
RNET,RigNet Inc. 
RNN,Rexahn Pharmaceuticals Inc. Co 
RPRX,Repros Therapeutics Inc. 
RRGB,Red Robin Gourmet Burgers Inc. 
RWT,Redwood Trust Inc. Common Stoc 
SCSC,ScanSource Inc. 
SNCR,Synchronoss Technologies Inc. 
STC,Stewart Information Services Co 
SWFT,Swift Transportation Company Cl 
SWKS,Skyworks Solutions Inc. 
SYKE,Sykes Enterprises Incorporated 
SYY,Sysco Corporation Common 
TDW,Tidewater Inc. Common 
THC,Tenet Healthcare Corporation Co 
THLD,Threshold Pharmaceuticals Inc. 
TISI,Team Inc. Common 
TLP,Transmontaigne Partners L.P. Tr 
TRC,Tejon Ranch Co Common 
VHI,Valhi Inc. Common 
WTW,Weight Watchers International I 
XCO,EXCO Resources Inc. Exco Resou 
ZGNX,Zogenix Inc. 
FANG, Diamondback Energy  Inc. 
FENG, Phoenix New Media Limited Ameri 
FNHC, Federated National Holding Comp 
FRGI, Fiesta Restaurant Group  Inc. 
GALT, Galectin Therapeutics Inc. 
GTN, Gray Communications Systems  In 
HALL, Hallmark Financial Services  In 
HHC, Howard Hughes Corporation (The) 
HIHO, Highway Holdings Limited 
HSIC, Henry Schein  Inc. 
HZNP, Horizon Pharma  Inc. 
IBOC, International Bancshares Corpor 
ICON, Iconix Brand Group  Inc. 
IFF, Internationa Flavors & Fragranc 
KOS, Kosmos Energy Ltd. Common Share 
MTDR, Matador Resources Company Commo 
NAT, Nordic American Tankers Limited 
NPTN, NeoPhotonics Corporation 
PACD, Pacific Drilling S.A. Common Sh 
RAND, Rand Capital Corporation 
REXX, Rex Energy Corporation 
SLCA, U.S. Silica Holdings  Inc. Comm 
SUPN, Supernus Pharmaceuticals  Inc. 
TCP, TC PipeLines  LP Common Units r 
TRIP, TripAdvisor  Inc. 
VSTM, Verastem  Inc. 
THST,Truett-Hurst Inc. 
SXE,Southcross Energy Partners L.P. 
STML,Stemline Therapeutics Inc. 
PTLA,Portola Pharmaceuticals Inc. 
PLPM,Planet Payment Inc. 
PINC,Premier Inc. 
PGEM,Ply Gem Holdings Inc 
PCMI,PCM Inc. 
OTEL,Otelco Inc. 
OPHT,Ophthotech Corporation 
OCIP,OCI Partners LP 
KNOP,KNOT Offshore Partners LP 
FATE,Fate Therapeutics Inc. 
CHGG,Chegg Inc. 
AMC,AMC Entertainment Holdings Inc. 
AAMC,Altisource Asset Management Corporation 
AMRK,A-Mark Precious Metals Inc. 
CIO,City Office Reit Inc. 
CNCE,Concert Pharmaceuticals Inc. 
CPTA,Capitala Finance Corp. 
HRTX,Heron Therapeutics Inc. 
LPCN,Lipocine Inc. 
PAHC,Phibro Animal Health Corporation 
RSPP,RSP Permian Inc. 
XXII,22nd Century Group Inc. 
CHRS,Coherus BioSciences Inc.
CNXR,Connecture Inc.
CTLT,Catalent Inc. Common
DPLO,Diplomat Pharmacy Inc. Common
MOMO,Momo Inc.
NVRO,Nevro Corp. Common
ONDK,On Deck Capital Inc. Common St
OUT,OUTFRONT Media Inc. Common Stoc
PGRE,Paramount Group Inc. Common St
PRTO,Proteon Therapeutics Inc.
TRUE,TrueCar Inc.
VCEL,Vericel Corporation
ZAYO,Zayo Group Holdings Inc. Commo
CBMG,Cellular Biomedicine Group Inc
BEL,Belmond Ltd. Class A Common Sto
ARDX,Ardelyx Inc.
NVTA,Invitae Corporation Common Stoc
FLKS,Flex Pharma Inc.
BLPH,Bellerophon Therapeutics LLC
WMLP,Westmoreland Resource Partners
ON,ON Semiconductor Corp.
GNL,Global Net Lease  Inc.
GDDY,GoDaddy Inc.
FOGO,Fogo de Chao  Inc.
ETSY,Etsy  Inc. 
CDOR,Condor Hospitality Trust Inc.
BWXT,BWX Technologies  Inc.
BSM,Black Stone Minerals  L.P.
AXON,Axovant Sciences Ltd.
APPF,AppFolio  Inc.
APLE,Apple Hospitality REIT  Inc.
CERC,Cerecor Inc.
EXTN,Exterran Corporation
ATOM,Atomera Incorporated
ADVM,Adverum Biotechnologies  Inc.
EIGR,Eiger BioPharmaceuticals  Inc.
MRUS,Merus B.V.
PZRX,PhaseRx  Inc.
AFI,Armstrong Flooring  Inc.
BMCH,BMC Stock Holdings  Inc.
CHUBA,CommerceHub  Inc.
DXTR,Dextera Surgical Inc.
WBT,Welbilt  Inc.
