ELTK,Eltek Ltd. 
MTSC,MTS Systems Corporation 
PTIE,Pain Therapeutics 
SOL,Renesola Ltd. Common Shares of  
TECD,Tech Data Corporation 
THO,Thor Industries Inc. Common St 
WILC,G. Willi-Food International  L 
HPF, John Hancock Pfd Income Fund II 
KF, Korea Fund  Inc. (The) New Comm 
NQ, NQ Mobile Inc. American Deposit 
KANG,iKang Healthcare Group Inc. 
FWP,Forward Pharma A/S
TOUR,Tuniu Corporation
OOMA,Ooma  Inc.
CSBR,Champions Oncology  Inc.
ATKR,Atkore International Group Inc.
COE,China Online Education Group
