ALCO,Alico Inc. 
BKS,Barnes & Noble Inc. Common Sto 
BOSC,B.O.S. Better Online Solutions 
DCI,Donaldson Company Inc. Common  
EXPR,Express Inc. Common 
GENC,Gencor Industries Inc. 
GLNG,Golar LNG Limited 
KR,Kroger Company (The) Common Sto 
PERY,Perry Ellis International Inc. 
SHLD,Sears Holdings Corporation 
TITN,Titan Machinery Inc. 
TNP,Tsakos Energy Navigation Ltd Co 
VMW,Vmware Inc. Common stock Clas 
ZUMZ,Zumiez Inc. 
AMBA, Ambarella  Inc. 
FIVE, Five Below  Inc. 
GMLP, Golar LNG Partners LP 
PFLT, PennantPark Floating Rate Capit 
MIK,The Michaels Companies Inc.
NTNX,NUTANIX INC
AABA,Altaba Inc.
