AVAV,AeroVironment Inc. 
AZO,AutoZone Inc. Common 
CASY,Caseys General Stores Inc. 
CHKE,Cherokee Inc. 
COST,Costco Wholesale Corporation 
GIII,G-III Apparel Group LTD. 
KEQU,Kewaunee Scientific Corporation 
LAYN,Layne Christensen Company 
LQDT,Liquidity Services Inc. 
LRAD,LRAD Corporation 
MAYS,J. W. Mays Inc. 
MLNK,ModusLink Global Solutions Inc 
OXM,Oxford Industries Inc. Common  
POWL,Powell Industries Inc. 
TOL,Toll Brothers Inc. Common 
VLGEA,Village Super Market Inc. 
FRAN, Francesca's Holdings Corporatio 
IDT, IDT Corporation New Preferred S 
VNET, 21Vianet Group  Inc. 
VEEV,Veeva Systems Inc. 
RH,Restoration Hardware Holdings Inc. 
HDS,HD Supply Holdings Inc. 
DLNG,Dynagas LNG Partners LP 
