ALOG,Analogic Corporation 
AVGO,Avago Technologies Limited 
CMTL,Comtech Telecommunications Corp 
FRED,Fred's Inc. 
GEF,Greif Inc. Class A Common 
KFY,Korn/Ferry International Common 
LULU,lululemon athletica inc. 
MIND,Mitcham Industries Inc. 
NCS,NCI Building Systems Inc. New  
SEAC,SeaChange International Inc. 
SGU,Star Gas Partners L.P. Common  
TCCO,Technical Communications Corpor 
VRA,Vera Bradley Inc. 
VRNT,Verint Systems Inc. 
DLHC, DLH Holdings Corp. 
HOV, Hovnanian Enterprises  Inc. Cla 
HRB, H&R Block  Inc. Common 
KEYS,Keysight Technologies Inc. Comm
KLXI,KLX Inc.
ONCS,OncoSec Medical Incorporated
SCWX,SecureWorks Corp.
NXEO,Nexeo Solutions  Inc.
