CIEN,Ciena Corporation 
CONN,Conn's Inc. 
COO,Cooper Companies Inc. (The) Co 
DG,Dollar General Corporation Comm 
FGP,Ferrellgas Partners L.P. Commo 
FNSR,Finisar Corporation 
GLBS,Globus Maritime Limited 
JKS,JinkoSolar Holding Company Limi 
MEI,Methode Electronics Inc. Commo 
MTN,Vail Resorts Inc. Common 
OPTT,Ocean Power Technologies Inc. 
SIGM,Sigma Designs Inc. 
TTC,Toro Company (The) Common 
UNFI,United Natural Foods Inc. 
VIRC,Virco Manufacturing Corporation 
IESC, Integrated Electrical Services  
MCC, Medley Capital Corporation Comm 
CMD,ProShares UltraShort DJ-UBS Commodity ETF
SAIC,Science Applications International Corporation 
APWC,Asia Pacific Wire & Cable Corp. Ltd. 
DTEA,DAVIDsTEA Inc.
DLTH,Duluth Holdings Inc.
CSBR,Champions Oncology  Inc.
GMS,GMS 
DVMT,Dell Technologies Inc.
