price_date,close_price,dma_10,dma_50,dma_200,ema_12,ema_26,ema_diff,ema_macd_9,signalstrength1,signalstrength2
2012-10-24,50.61,52.168,52.6358,51.8597,52.0005,52.1866,-0.186089,-0.132303,-40.6528928514672,-28.9029909213439
2012-10-23,51.27,52.193,52.6734,51.8797,52.2533,52.3127,-0.0593719,-0.118857,50.0474872979079,100.190129766609
2012-10-22,52.45,52.224,52.704,51.8895,52.4321,52.3961,0.0359497,-0.133728,126.882615093101,-471.987619707661
2012-10-19,52.93,52.096,52.7176,51.8915,52.4288,52.3918,0.0370636,-0.176148,121.041158782374,-575.258996114656
2012-10-18,53.91,51.905,52.7182,51.8911,52.3377,52.3487,-0.0110283,-0.229451,95.193624091315,1980.56968285195
2012-10-17,53.35,51.658,52.6862,51.8884,52.0518,52.2238,-0.171967,-0.284057,39.4606345247831,65.1817775343833
2012-10-16,52.51,51.398,52.6668,51.888,51.8158,52.1337,-0.31789,-0.31208,-1.86162088016241,-1.82759793539174
2012-10-15,51.72,51.349,52.6476,51.8839,51.6896,52.1036,-0.413986,-0.310628,-33.27411775553,-24.9666764379308
2012-10-12,51.3,51.384,52.6398,51.8825,51.6841,52.1343,-0.450188,-0.284788,-58.0781716007911,-36.7401590065585
2012-10-11,51.63,51.455,52.611,51.8802,51.7539,52.201,-0.447144,-0.243438,-83.6789177037564,-45.5571704961353
2012-10-10,50.86,51.537,52.5924,51.8833,51.7764,52.2467,-0.47028,-0.192511,-144.28692532855,-59.0645304223684
2012-10-09,51.58,51.626,52.5818,51.8905,51.943,52.3576,-0.414593,-0.123069,-236.879158304829,-70.3157653019561
2012-10-08,51.17,51.737,52.5818,51.8926,52.009,52.4198,-0.410854,-0.0501876,-718.637170318489,-87.7845761680849
2012-10-05,51.02,51.988,52.5936,51.8945,52.1615,52.5198,-0.358353,0.039979,996.352245726967,-111.156328382811
2012-10-04,51.44,52.316,52.578,51.8952,52.369,52.6398,-0.270824,0.139562,294.053697380475,-151.532128142827
2012-10-03,50.75,52.598,52.5116,51.8797,52.5379,52.7358,-0.19791,0.242158,181.727761358907,-222.357444199225
2012-10-02,52.02,52.976,52.4612,51.8742,52.863,52.8947,-0.0317001,0.352175,109.001240412361,-1210.95799488568
2012-10-01,52.07,53.28,52.4038,51.8568,53.0163,52.9647,0.0516167,0.448144,88.4821278823974,768.215925467445
2012-09-28,52.01,53.646,52.3518,51.8419,53.1884,53.0363,0.152142,0.547276,72.2001912269335,259.714704573377
2012-09-27,52.45,54.088,52.289,51.8378,53.4027,53.1184,0.284256,0.646059,56.001559173638,127.280781140963
2012-09-26,51.75,54.366,52.2112,51.8372,53.5759,53.1719,0.404064,0.73651,45.1379633249683,82.2754058372591
2012-09-25,52.69,54.619,52.131,51.8499,53.9079,53.2856,0.622223,0.819621,24.0840343272233,31.7245972092795
2012-09-24,53.68,54.738,52.0168,51.8494,54.1293,53.3333,0.795975,0.86897,8.40022852202645,9.17057803364325
2012-09-21,54.3,54.667,51.881,51.8527,54.211,53.3056,0.905426,0.887219,-2.05217163705275,-2.01090442675857
2012-09-20,54.26,54.558,51.7172,51.859,54.1948,53.226,0.968746,0.882667,-9.7521914832181,-8.88564624671689
2012-09-19,54.53,54.333,51.5612,51.8676,54.1829,53.1433,1.03957,0.861147,-20.7196798703401,-17.1634648903926
2012-09-18,55.06,53.994,51.3878,51.869,54.1198,53.0324,1.08735,0.816541,-33.1652272731254,-24.905320970243
2012-09-17,55.73,53.594,51.2238,51.8677,53.9488,52.8702,1.07866,0.748839,-44.0441497020282,-30.5768403598054
2012-09-14,56.43,53.177,51.0434,51.8638,53.625,52.6414,0.983612,0.666384,-47.6043973972251,-32.2513409062704
2012-09-13,55.23,52.614,50.8612,51.8385,53.115,52.3383,0.776619,0.587077,-32.2856211122487,-24.4059942726907
2012-09-12,54.28,52.263,50.7164,51.8161,52.7304,52.107,0.623402,0.539692,-15.5107121600994,-13.4279426297722
2012-09-11,53.88,52.064,50.5564,51.7878,52.4487,51.9332,0.515491,0.518764,0.6307870982093,0.634791279702219
2012-09-10,52.97,51.937,50.4024,51.762,52.1885,51.7775,0.410992,0.519582,20.8994975756364,26.4214473171275
2012-09-07,53.21,51.897,50.2338,51.7509,52.0464,51.6821,0.364239,0.546729,33.3785114423591,50.1017196778484
2012-09-06,52.01,51.835,50.0482,51.7427,51.8348,51.5599,0.274857,0.592351,53.5990059965824,115.512624562816
2012-09-05,51.14,51.943,49.8618,51.7475,51.8029,51.5239,0.278988,0.671724,58.4668888384289,140.771753435428
2012-09-04,51.06,52.143,49.692,51.7589,51.9234,51.5546,0.368786,0.769908,52.1000362315475,108.768425135764
2012-08-31,51.56,52.352,49.5524,51.7817,52.0804,51.5942,0.486217,0.870189,44.1250702342961,78.9711421908221
2012-08-30,50.8,52.532,49.407,51.802,52.175,51.5969,0.578148,0.966182,40.1615697924661,67.1166834644163
2012-08-29,51.72,52.772,49.3262,51.8241,52.425,51.6606,0.764366,1.06319,28.1060214983354,39.0937072674099
