price_date,close_price,dma_10,dma_50,dma_200,ema_12,ema_26,ema_diff,ema_macd_9,signalstrength1,signalstrength2
2012-10-24,74.4,88.841,104.115,68.4442,86.9311,94.6333,-7.70222,-4.40033,-75.0371823650748,-42.8692814584788
2012-10-23,71.3,91.405,104.816,68.2397,89.2095,96.252,-7.04251,-3.57486,-97.0009186305669,-49.2388153846487
2012-10-22,75.3,94.43,105.577,68.0523,92.4658,98.2482,-5.78231,-2.70795,-113.530908615152,-53.1683723688776
2012-10-19,77.01,97.316,106.313,67.8417,95.5869,100.084,-4.49718,-1.93936,-131.889673851976,-56.8760443969429
2012-10-18,77.99,99.988,107.028,67.6214,98.9645,101.93,-2.96535,-1.29991,-128.120151912585,-56.1634519521451
2012-10-17,98.15,102.909,107.663,67.3932,102.778,103.845,-1.0669,-0.883549,-20.7519228435357,-17.1855837612002
2012-10-16,104.92,103.87,107.818,67.0677,103.62,104.301,-0.680244,-0.837711,18.7972616810234,23.1485564035845
2012-10-15,104.37,103.668,107.88,66.7056,103.384,104.251,-0.867249,-0.877078,1.12068536677458,1.13338706981491
2012-10-12,103.38,103.34,107.931,66.3458,103.205,104.242,-1.03719,-0.879535,-17.9243494828765,-15.1998714103394
2012-10-11,101.59,103.155,107.953,65.9903,103.173,104.311,-1.13814,-0.840121,-35.4731162106432,-26.1846166995133
2012-10-10,100.04,103.373,107.995,65.6463,103.461,104.529,-1.06789,-0.765616,-39.4815939572027,-28.3059526616228
2012-10-09,101.55,103.415,108.091,65.3072,104.083,104.888,-0.80542,-0.690048,-16.7194087906765,-14.3244460916187
2012-10-08,104.16,103.344,108.191,64.9629,104.543,105.155,-0.612068,-0.661205,7.43137943542949,8.02796821439701
2012-10-05,103.73,103.61,108.186,64.5961,104.613,105.235,-0.622086,-0.673489,7.63243726986353,8.26311428413746
2012-10-04,107.2,104.343,108.148,64.2402,104.773,105.355,-0.581398,-0.68634,15.2901363027547,18.0500069713273
2012-10-03,107.76,104.347,107.873,63.8652,104.332,105.207,-0.874992,-0.712576,-22.7928536589711,-18.5620359652794
2012-10-02,102.9,104.033,107.529,63.4874,103.709,105.003,-1.29385,-0.671972,-92.5458937450887,-48.0643299864967
2012-10-01,101.09,103.958,107.234,63.1303,103.856,105.171,-1.3154,-0.516502,-154.674749485284,-60.7342305422476
2012-09-28,101.53,104.081,106.997,62.7809,104.359,105.498,-1.13889,-0.316777,-259.524968720832,-72.185520144597
2012-09-27,103.77,104.07,106.845,62.4361,104.873,105.815,-0.942833,-0.111249,-747.497908460909,-88.2005608507513
2012-09-26,100.46,104.098,106.097,62.0844,105.073,105.979,-0.905281,0.096647,1036.68820553849,-110.675911088526
2012-09-25,100.84,104.189,105.333,61.7579,105.912,106.42,-0.507782,0.347129,246.280401757494,-168.361857636802
2012-09-24,106.82,104.346,104.633,61.4268,106.834,106.866,-0.0319138,0.560857,105.690174834847,-1857.41524474062
2012-09-21,111.06,103.829,103.818,61.0727,106.837,106.87,-0.0333405,0.70905,104.702133352589,-2226.69425772311
2012-09-20,107.24,103.808,102.92,60.6979,106.069,106.535,-0.466446,0.894647,152.137436879913,-291.800759654388
2012-09-19,104.62,105.077,102.1,60.344,105.856,106.479,-0.623024,1.23492,150.450748222357,-298.213115808036
2012-09-18,102.15,106.412,101.388,60.0019,106.081,106.628,-0.546547,1.6994,132.161122117295,-410.93442459902
2012-09-17,102.32,108.03,100.813,59.6711,106.796,106.986,-0.189583,2.26089,108.385313047764,-1292.56132037507
2012-09-14,101.42,109.237,100.241,59.3345,107.61,107.359,0.250732,2.87351,91.2743635226631,1046.04820244036
2012-09-13,104.05,110.356,99.7488,58.9912,108.735,107.834,0.900894,3.52921,74.4732118711984,291.74532845819
2012-09-12,101.37,111.547,99.1682,58.6359,109.587,108.137,1.45033,4.18629,65.3551780862362,188.643423392145
2012-09-11,102.41,112.999,98.5872,58.2851,111.081,108.678,2.40379,4.87028,50.6436102130538,102.608011711683
2012-09-10,101.65,114.438,97.9554,57.9313,112.658,109.179,3.47891,5.4869,36.5960572416404,57.7188983043413
2012-09-07,110.85,115.698,97.2566,57.5866,114.659,109.781,4.87706,5.9889,18.5650155092099,22.7973464049834
2012-09-06,119.93,115.953,96.409,57.1986,115.351,109.696,5.65572,6.26686,9.75193124386821,10.8056952112957
2012-09-05,117.97,115.106,95.3746,56.7714,114.519,108.877,5.64114,6.41965,12.1270719586279,13.8006917817946
2012-09-04,118.33,114.709,94.38,56.3593,113.891,108.15,5.74071,6.61428,13.2073442237577,15.2171218931325
2012-08-31,114.39,114.195,93.4,55.9488,113.084,107.336,5.74725,6.83267,15.8857486133675,18.8859180834273
2012-08-30,112.61,113.841,92.4322,55.5568,112.846,106.772,6.07404,7.10402,14.4984552161701,16.9569511905614
2012-08-29,115.96,113.473,91.5918,55.1671,112.889,106.305,6.58394,7.36151,10.5626361517122,11.8100933404406
2012-08-28,115.89,112.716,90.7156,54.7613,112.331,105.533,6.79848,7.5559,10.0241059779518,11.1408795510223
2012-08-27,116.8,112.074,89.8284,54.3528,111.684,104.704,6.98045,7.74525,9.87449521999275,10.9563827066445
2012-08-24,114.25,111.327,88.827,53.9388,110.754,103.736,7.01759,7.93645,11.5778165639767,13.0937917545925
2012-08-23,113.4,111.111,87.842,53.548,110.118,102.895,7.2224,8.16617,11.557089416979,13.0672875200443
2012-08-22,111.46,111.049,86.8706,53.1554,109.521,102.055,7.46525,8.40211,11.1502776255876,12.5495919712617
2012-08-21,114,110.877,85.9488,52.774,109.168,101.303,7.86568,8.63632,8.9232824173754,9.79754503040825
2012-08-20,113.19,110.066,84.9308,52.3733,108.29,100.287,8.00279,8.82898,9.35770354679197,10.3237714764019
2012-08-17,110.85,109.547,83.8998,51.9719,107.399,99.2549,8.14363,9.03553,9.87105945214305,10.9521529845363
2012-08-16,108.93,109.154,82.8852,51.5765,106.771,98.3273,8.44415,9.25851,8.79584798538892,9.6441310961148
2012-08-15,108.39,108.713,81.9366,51.1937,106.379,97.4791,8.89962,9.4621,5.9445574567583,6.32026950915181
2012-08-14,109.47,108.239,80.9288,50.8158,106.013,96.6062,9.40641,9.60272,2.04433646261703,2.08700180141891
2012-08-13,109.33,107.778,79.8954,50.4347,105.384,95.5771,9.80726,9.6518,-1.61070809539553,-1.58517554457286
2012-08-10,112.09,107.5,78.8628,50.0574,104.667,94.4769,10.1898,9.61293,-6.0014369210128,-5.6616561957408
2012-08-09,112.78,106.683,77.83,49.6602,103.317,93.0678,10.2497,9.46871,-8.24792066603147,-7.61947260998953
2012-08-08,109.74,105.588,76.7682,49.2657,101.597,91.4908,10.1066,9.27346,-8.98439026517257,-8.24374045063924
2012-08-07,105.89,103.959,75.7762,48.8792,100.117,90.0309,10.0864,9.06518,-11.264869496022,-10.1243721823848
2012-08-06,108,102.425,74.8388,48.5088,99.0677,88.7622,10.3055,8.80988,-16.976885792922,-14.5130259519606
2012-08-03,106.92,100.442,73.848,48.1302,97.4437,87.2232,10.2205,8.43597,-21.1539361578736,-17.4603787782085
2012-08-02,104.52,98.674,72.8944,47.7658,95.7208,85.6475,10.0733,7.98984,-26.0758940984433,-20.6826961529082
2012-08-01,103.65,97.612,71.9852,,94.1209,84.1377,9.98327,7.46897,-33.6631856816331,-25.1850840678106
2012-07-31,104.86,93.885,71.0828,,92.3884,82.5767,9.8117,6.8404,-43.4375877897716,-30.2832670704388
2012-07-30,106.55,89.623,70.068,,90.1208,80.794,9.32684,6.09757,-52.9600524010624,-34.6234533590514
2012-07-27,103.92,85.553,69.0326,,87.1337,78.7335,8.40015,5.29025,-58.7853116332673,-37.0218825838492
2012-07-26,101.83,81.768,68.116,,84.0816,76.7186,7.36297,4.51278,-63.1582311925605,-38.7098038088074
2012-07-25,93.45,78.204,67.2428,,80.8546,74.7097,6.14485,3.80023,-61.6966627909304,-38.1558046567124
2012-07-24,90.55,75.479,66.5388,,78.5645,73.2105,5.35402,3.21408,-66.5799436162941,-39.9687634482916
2012-07-23,88.17,73.327,65.8882,,76.3853,71.8233,4.56194,2.6791,-70.2789366519059,-41.2728303533949
