Symbol,Date,Open,High,Low,Close,Volume
A,13 Aug 2018,66.44,66.99,65.67,65.94,2989300
AA,13 Aug 2018,44.95,44.95,44.01,44.45,4337500
AABA,13 Aug 2018,71.14,71.2,70.08,70.2,12439700
AAC,13 Aug 2018,9.11,9.53,9.08,9.41,85400
AADR,13 Aug 2018,52.1,52.45,51.72,51.74,37600
AAL,13 Aug 2018,37.29,37.33,36.68,36.79,4052000
AAMC,13 Aug 2018,67.8,67.875,62.1,66.75,1500
AAME,13 Aug 2018,2.4,2.65,2.4,2.4,1400
AAN,13 Aug 2018,46.78,47.07,46.09,46.19,459800
AAOI,13 Aug 2018,42.19,43.35,41.53,42.28,850400
AAON,13 Aug 2018,38.85,39.3,38.6,39,134200
AAP,13 Aug 2018,147,147.84,144.5,144.84,1407300
AAPL,13 Aug 2018,207.7,210.95,207.7,208.87,25890800
AAT,13 Aug 2018,38.6,38.6,38.17,38.31,92800
AAU,13 Aug 2018,0.645,0.645,0.605,0.606,332300
AAV,13 Aug 2018,3.1,3.2,3.1,3.15,197600
AAWW,13 Aug 2018,60.7,60.95,59.5,60.2,286500
AAXJ,13 Aug 2018,70.73,70.83,70.11,70.18,706300
AAXN,13 Aug 2018,61.21,62.585,60.57,60.98,556300
AB,13 Aug 2018,29.25,29.6,29.2,29.4,224700
ABAC,13 Aug 2018,2.28,2.28,2.15,2.15,3100
ABB,13 Aug 2018,22.62,22.72,22.48,22.53,1321700
ABBV,13 Aug 2018,96,97.58,95.81,96.78,5920000
ABC,13 Aug 2018,82,83.27,81.9,83.06,1245000
ABCB,13 Aug 2018,48.85,48.95,48.45,48.55,259800
ABCD,13 Aug 2018,12,12.14,11.5,11.69,110900
ABDC,13 Aug 2018,6.12,6.22,6.1,6.21,27700
ABEO,13 Aug 2018,13.6,14.075,12.85,12.9,760500
ABEOW,13 Aug 2018,8.15,8.15,8,8,1500
ABEV,13 Aug 2018,4.8,4.93,4.79,4.89,31252800
ABG,13 Aug 2018,75.3,75.3,74.4,74.55,228300
ABIL,13 Aug 2018,6.8,8.3,5.92,5.99,9790400
ABIO,13 Aug 2018,0.66,0.67,0.6,0.61,551300
ABM,13 Aug 2018,30.87,30.87,30.575,30.75,410600
ABMD,13 Aug 2018,377.67,383.55,367.68,368,379000
ABR,13 Aug 2018,11.49,11.58,11.44,11.48,1705600
ABR-A,13 Aug 2018,26,26,25.97,26,1800
ABR-B,13 Aug 2018,25.7,25.75,25.65,25.75,1600
ABR-C,13 Aug 2018,26.46,26.46,26.15,26.18,4000
ABT,13 Aug 2018,64.02,64.32,63.36,63.43,4407700
ABTX,13 Aug 2018,44.85,45.15,44.1,44.9,26100
ABUS,13 Aug 2018,9.7,10.3,9.35,9.65,471600
ABX,13 Aug 2018,10.79,10.82,10.41,10.5,13799200
AC,13 Aug 2018,39.2,39.2,37.9,38.5,21200
ACAD,13 Aug 2018,14.82,14.96,14.18,14.29,2468100
ACBI,13 Aug 2018,18.15,18.25,17.95,17.95,40800
ACC,13 Aug 2018,40.5,42.04,40.45,40.77,759400
ACCO,13 Aug 2018,12.6,12.8,12.2,12.35,585100
ACER,13 Aug 2018,27.7,29.47,26,29,36600
ACES,13 Aug 2018,25.97,25.98,25.97,25.97,2000
ACET,13 Aug 2018,3.14,3.2,3.1,3.18,134500
ACGL,13 Aug 2018,30.14,30.54,30.04,30.1,580800
ACGLO,13 Aug 2018,24.51,24.55,24.42,24.5,25500
ACGLP,13 Aug 2018,23.9,23.9,23.82,23.85,20200
ACH,13 Aug 2018,10.45,10.52,10.29,10.35,87000
ACHC,13 Aug 2018,38.43,38.89,38.07,38.55,483600
ACHN,13 Aug 2018,2.69,2.77,2.6,2.67,1038200
ACHV,13 Aug 2018,3.07,3.17,2.92,3.05,73500
ACIA,13 Aug 2018,38.93,39.29,38.55,39.23,576300
ACIM,13 Aug 2018,79.09,79.09,78.79,78.94,1300
ACIU,13 Aug 2018,9.39,9.6,9.01,9.1,77500
ACIW,13 Aug 2018,27.24,27.48,27.05,27.22,306800
ACLS,13 Aug 2018,21.35,21.45,20.9,21,249600
ACM,13 Aug 2018,33.6,33.6,32.58,32.66,917100
ACMR,13 Aug 2018,14.7,14.9,13.52,13.75,119900
ACN,13 Aug 2018,160.73,161.9,160.05,160.23,1590000
ACNB,13 Aug 2018,34,34.7,34,34.6,5500
ACOR,13 Aug 2018,26.9,27.9,26.75,27.75,417400
ACP,13 Aug 2018,14.09,14.1,14.02,14.1,56100
ACRE,13 Aug 2018,13.95,14.01,13.875,13.97,63500
ACRS,13 Aug 2018,17.31,17.39,17,17.12,136700
ACRX,13 Aug 2018,3.1,3.1,3,3.05,215300
ACSF,13 Aug 2018,12.25,12.3,12.25,12.25,42900
ACSI,13 Aug 2018,33.31,33.31,33.31,33.31,1600
ACST,13 Aug 2018,0.49,0.5,0.43,0.47,362600
ACT,13 Aug 2018,25.47,25.708,25.47,25.665,1600
ACTG,13 Aug 2018,3.95,4,3.9,3.9,105600
ACU,13 Aug 2018,21.9,22.06,21.37,21.5,1500
ACV,13 Aug 2018,24.33,24.4,24.2,24.33,33000
ACWF,13 Aug 2018,30.31,30.37,30.16,30.21,5500
ACWI,13 Aug 2018,72.52,72.71,72.12,72.22,1455300
ACWV,13 Aug 2018,85.28,85.37,84.92,85.14,697200
ACWX,13 Aug 2018,46.97,47.1,46.72,46.84,418600
ACXM,13 Aug 2018,43.98,44.69,42.85,43.18,657400
ACY,13 Aug 2018,15.6,15.605,15.453,15.453,2400
ADAP,13 Aug 2018,8.78,8.78,8.52,8.63,220700
ADBE,13 Aug 2018,254.16,256.6,253.3,253.54,1535400
ADC,13 Aug 2018,53.78,54.38,53.43,53.62,148400
ADES,13 Aug 2018,11.26,11.325,11.19,11.23,47500
ADI,13 Aug 2018,95.19,96.13,94.84,95.13,1939300
ADIL,13 Aug 2018,3.42,3.57,3.4,3.42,6600
ADILW,13 Aug 2018,0.6,0.6,0.5,0.5,2000
ADM,13 Aug 2018,49.97,50,49.115,49.32,2140400
ADMA,13 Aug 2018,6.13,6.21,5.94,6.02,143900
ADMP,13 Aug 2018,3.25,3.5,3.25,3.45,366600
ADMS,13 Aug 2018,22.78,23.63,21.42,23.41,803000
ADNT,13 Aug 2018,42.8,43.5,42.04,42.45,942600
ADOM,13 Aug 2018,0.71,0.71,0.67,0.68,314000
ADP,13 Aug 2018,139.82,141.3,139.42,139.67,1721200
ADRA,13 Aug 2018,32.66,32.66,32.5,32.51,600
ADRD,13 Aug 2018,22.275,22.275,22.206,22.212,29800
ADRE,13 Aug 2018,40.82,40.89,40.43,40.59,6900
ADRO,13 Aug 2018,5.65,5.75,5.35,5.5,278900
ADRU,13 Aug 2018,21.8,21.8,21.75,21.75,2800
ADS,13 Aug 2018,227.8,229.88,226.58,227.36,258900
ADSK,13 Aug 2018,135.24,136.56,133.26,133.39,1178700
ADSW,13 Aug 2018,24.55,24.7,24.35,24.42,209200
ADT,13 Aug 2018,8.89,9.23,8.89,9.15,2992900
ADTN,13 Aug 2018,15.95,16.125,15.75,16.1,319200
ADUS,13 Aug 2018,63.95,65.07,63.95,64.7,41700
ADVM,13 Aug 2018,5.3,5.35,5.1,5.3,441300
ADX,13 Aug 2018,16.1,16.15,16.085,16.1,78500
ADXS,13 Aug 2018,1.45,1.48,1.41,1.48,238900
ADXSW,13 Aug 2018,0.05,0.05,0.05,0.05,100
AE,13 Aug 2018,42.98,45.15,42.98,44.48,8800
AEB,13 Aug 2018,25.03,25.03,24.93,25.02,6200
AED,13 Aug 2018,26.11,26.11,26.01,26.04,8000
