AAPL,Apple Inc. ,Bullish
ALL,Allstate Corporation (The) Comm ,Bullish
APA,Apache Corporation Common ,Bullish
BIIB,Biogen Idec Inc. ,Bullish
CBS,CBS Corporation Class B Common  ,Bullish
CVX,Chevron Corporation Common Stoc ,Bullish
DFS,Discover Financial Services Com ,Bullish
DOW,Dow Chemical Company (The) Comm ,Bullish
DVN,Devon Energy Corporation Common ,Bullish
GLW,Corning Incorporated Common Sto ,Bullish
MS,Morgan Stanley Common ,Bullish
PG,Procter & Gamble Company (The)  ,Bullish
TEL,TE Connectivity Ltd. New Switze ,Bullish
UTX,United Technologies Corporation ,Bullish
BLK,BlackRock Inc,Bullish
ETN, Eaton Corporation Common ,Bullish
GLD, SPDR Gold Trust ,Bullish
KMI, Kinder Morgan  Inc. Common Stoc ,Bullish
VIAB, Viacom Inc. ,Bullish
AEP,American Electric Power Company ,Bearish
ALL,Allstate Corporation (The) Comm ,Bearish
AMZN,Amazon.com Inc. ,Bearish
CB,Chubb Corporation (The) Common  ,Bearish
D,Dominion Resources Inc. Common ,Bearish
EMC,EMC Corporation Common ,Bearish
KMB,Kimberly-Clark Corporation Comm ,Bearish
LOW,Lowe's Companies Inc. Common S ,Bearish
PFE,Pfizer Inc. Common ,Bearish
PPL,PP&L Corporation Common ,Bearish
SO,Southern Company (The) Common S ,Bearish
UPS,United Parcel Service Inc. Com ,Bearish
V,Visa Inc. ,Bearish
MDLZ, Mondelez International  Inc. ,Bearish
