EA, Electronic Arts Inc. ,Bullish
ACN,Accenture plc. Class A Ordinary ,Bearish
ADM,Archer-Daniels-Midland Company  ,Bearish
ADP,Automatic Data Processing Inc. ,Bearish
AON,Aon plc Class A Ordinary Shares ,Bearish
APC,Anadarko Petroleum Corporation  ,Bearish
APD,Air Products and Chemicals Inc ,Bearish
BA,Boeing Company (The) Common Sto ,Bearish
BHI,Baker Hughes Incorporated Commo ,Bearish
BK,Bank of New York Mellon Corpora ,Bearish
C,Citigroup Inc. Common ,Bearish
CAT,Caterpillar Inc. Common ,Bearish
CBS,CBS Corporation Class B Common  ,Bearish
CMCSA,Comcast Corporation ,Bearish
CSX,CSX Corporation Common ,Bearish
DE,Deere & Company Common ,Bearish
EMC,EMC Corporation Common ,Bearish
EMR,Emerson Electric Company Common ,Bearish
EOG,EOG Resources Inc. Common Stoc ,Bearish
F,Ford Motor Company Common ,Bearish
FDX,FedEx Corporation Common ,Bearish
GM,General Motors Company Common S ,Bearish
ITW,Illinois Tool Works Inc. Common ,Bearish
LMT,Lockheed Martin Corporation Com ,Bearish
LYB,LyondellBasell Industries NV Or ,Bearish
NOC,Northrop Grumman Corporation Co ,Bearish
NSC,Norfolk Southern Corporation Co ,Bearish
OXY,Occidental Petroleum Corporatio ,Bearish
PM,Philip Morris International Inc ,Bearish
PNC,PNC Financial Services Group I ,Bearish
PRU,Prudential Financial Inc. Comm ,Bearish
PX,Praxair Inc. Common ,Bearish
QCOM,QUALCOMM Incorporated ,Bearish
SLB,Schlumberger N.V. Common ,Bearish
STI,SunTrust Banks Inc. Common Sto ,Bearish
TRV,The Travelers Companies Inc. C ,Bearish
TWX,Time Warner Inc. New Common Sto ,Bearish
TXN,Texas Instruments Incorporated ,Bearish
UPS,United Parcel Service Inc. Com ,Bearish
USB,U.S. Bancorp Common ,Bearish
UTX,United Technologies Corporation ,Bearish
V,Visa Inc. ,Bearish
ETN, Eaton Corporation Common ,Bearish
HAL, Halliburton Company Common Stoc ,Bearish
HON, Honeywell International Inc. Co ,Bearish
HPQ, Hewlett-Packard Company Common  ,Bearish
IBM, International Business Machines ,Bearish
PSX, Phillips 66 Common ,Bearish
IYE,iShares Dow Jones U.S. Energy Sector Fund ETF,Bearish
IYF,iShares Dow Jones U.S. Financial Sector Index Fund ETF,Bearish
IGE,iShares Goldman Sachs Natural Resources Index Fund ETF,Bearish
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund ETF,Bearish
EEM,iShares MSCI Emerging Index Fund ETF,Bearish
EPP,iShares MSCI Pacific Ex-Japan Index Fund ETF,Bearish
IWM,iShares Russell 2000 ETF,Bearish
IWV,iShares Russell 3000 ETF,Bearish
IVV,iShares S&P 500 Index Fund ETF,Bearish
IJH,iShares S&P MidCap 400 Index Fund ETF,Bearish
