CME,CME Group Inc. ,Bullish
APD,Air Products and Chemicals Inc ,Bearish
CMG,Chipotle Mexican Grill Inc. Co ,Bearish
COST,Costco Wholesale Corporation ,Bearish
EMC,EMC Corporation Common ,Bearish
ORLY,O'Reilly Automotive Inc. ,Bearish
PCP,Precision Castparts Corporation ,Bearish
PSA,Public Storage Common ,Bearish
SBUX,Starbucks Corporation ,Bearish
TJX,TJX Companies Inc. (The) Commo ,Bearish
UTX,United Technologies Corporation ,Bearish
HCN, Health Care REIT  Inc. Common S ,Bearish
MPC, Marathon Petroleum Corporation  ,Bearish
