DG,Dollar General Corporation Comm ,Bullish
ACN,Accenture plc. Class A Ordinary ,Bearish
AMGN,Amgen Inc. ,Bearish
AVB,AvalonBay Communities Inc. Com ,Bearish
AXP,American Express Company Common ,Bearish
BA,Boeing Company (The) Common Sto ,Bearish
BK,Bank of New York Mellon Corpora ,Bearish
CCI,Crown Castle International Corp ,Bearish
CMG,Chipotle Mexican Grill Inc. Co ,Bearish
COST,Costco Wholesale Corporation ,Bearish
DAL,Delta Air Lines Inc. (New) Comm ,Bearish
DIS,Walt Disney Company (The) Commo ,Bearish
DUK,Duke Energy Corporation (Holdin ,Bearish
EMC,EMC Corporation Common ,Bearish
EQR,Equity Residential Common Share ,Bearish
ITW,Illinois Tool Works Inc. Common ,Bearish
KR,Kroger Company (The) Common Sto ,Bearish
LMT,Lockheed Martin Corporation Com ,Bearish
LUV,Southwest Airlines Company Comm ,Bearish
MO,Altria Group Inc. ,Bearish
MSFT,Microsoft Corporation ,Bearish
NFLX,Netflix Inc. ,Bearish
NKE,Nike Inc. Common ,Bearish
NOC,Northrop Grumman Corporation Co ,Bearish
PCLN,priceline.com Incorporated ,Bearish
PEP,Pepsico Inc. Common ,Bearish
SBUX,Starbucks Corporation ,Bearish
TJX,TJX Companies Inc. (The) Commo ,Bearish
WMT,Wal-Mart Stores Inc. Common St ,Bearish
GLD, SPDR Gold Trust ,Bearish
PSX, Phillips 66 Common ,Bearish
