IBM, International Business Machines ,Bullish
ALXN,Alexion Pharmaceuticals Inc. ,Bearish
AVGO,Avago Technologies Limited ,Bearish
AZO,AutoZone Inc. Common ,Bearish
BA,Boeing Company (The) Common Sto ,Bearish
BBT,BB&T Corporation Common ,Bearish
BK,Bank of New York Mellon Corpora ,Bearish
CCL,Carnival Corporation Common Sto ,Bearish
CMCSA,Comcast Corporation ,Bearish
CME,CME Group Inc. ,Bearish
F,Ford Motor Company Common ,Bearish
FISV,Fiserv Inc. ,Bearish
GD,General Dynamics Corporation Co ,Bearish
JPM,JP Morgan Chase & Co. Common St ,Bearish
NEE,NextEra Energy Inc. Common Sto ,Bearish
PM,Philip Morris International Inc ,Bearish
PX,Praxair Inc. Common ,Bearish
QCOM,QUALCOMM Incorporated ,Bearish
RTN,Raytheon Company Common ,Bearish
SBUX,Starbucks Corporation ,Bearish
SLB,Schlumberger N.V. Common ,Bearish
UPS,United Parcel Service Inc. Com ,Bearish
USB,U.S. Bancorp Common ,Bearish
UTX,United Technologies Corporation ,Bearish
WFC,Wells Fargo & Company Common St ,Bearish
ICE, IntercontinentalExchange  Inc.  ,Bearish
DVY,iShares Dow Jones Select Dividend Index Fund ETF,Bearish
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund ETF,Bearish
WBA,Walgreens Boots Alliance Inc.,Bearish
