ticker,name,price_date, close_price, macd long,macd short,RSI, Stoch,bolli
ARM,ARM Holdings plc ,2016-05-27,28400,-500.557931423187,-1006.33697509766,39.3426,0,0.237712205535355
MCF,Contango Oil & Gas Company Comm ,2016-05-27,11.16,-0.16937068104744,-0.258984565734863,37.3,28.3122,0.108448906937976
ZNH,China Southern Airlines Company ,2016-05-27,29.34,-0.210396885871887,-0.381385505199432,35.8874,11.8193,0.120910993486699
BRP, Brookfield Residential Properti ,2016-05-27,18.79,-0.281105875968933,-0.450101971626282,24.3442,2.15286,0.244601669496827
FAZ, Direxion Financial Bear 3X Shar ,2016-05-27,35.46,-0.190626204013824,-0.487942457199097,36.4769,12.613,0.14267996146599
IGLD, Internet Gold Golden Lines Ltd. ,2016-05-27,12.66,-0.105361968278885,-0.190876424312592,33.5359,17.3215,0.13267228133469
MIDZ, Direxion Mid Cap Bear 3X Shares ,2016-05-27,33.48,-0.256090879440308,-0.66381049156189,35.2195,6.10328,0.14928877275872
SMDD,ProShares UltraPro Short MidCap400 ETF,2016-05-27,25.63,-0.187417238950729,-0.487510800361633,35.6203,6.89759,0.144532966013533
MICT,Micronet Enertec Technologies Inc. ,2016-05-27,1.96,-0.0206090766005218,-0.0299238748848438,32.974,7.40739,0.127715261074824
IDSA,Industrial Services of America Inc. ,2016-05-27,2.17,-0.0326891802251339,-0.0647264048457146,36.4621,20.2704,0.191508865363376
RWLK,ReWalk Robotics Ltd,2016-05-27,8.18,-0.123642146587372,-0.181678801774979,31.6789,11.3324,0.180521810223925
